key,source,target
/0E6A1F784095ED9A7146A5A88D5439A7,0G20 1037 Crewe TMD (E) to Stafford,0G20 1037 克鲁机务段（东）至斯塔福德
/FFA5BC2844192EFD161BA1B5CB6C1DAC,0G95 1008 Kidderminster to Basford Hall,0G95 1008 基德明斯特至巴斯福德霍尔
/AD610D83432AF204DF15C8B525EC6D9F,0K21 1158 Stafford to Crewe TMD (E),0K21 1158 斯塔福德至克鲁机务段（东）
/A09D4C064B2FE6063C4AF68E14B58903,1A10 - Liverpool Lime Street to London Euston,1A10 - 从利物浦莱姆街站开往伦敦尤斯顿站
/FED3D18A484D5AE3973A45BF8EE07B92,1A11 - Manchester Piccadilly to London Euston,1A11 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/07264AC54411922D3DF3BEAE6266A9A5,1A11 0755 Manchester Picc to Euston,1A11 0755 曼彻斯特皮卡迪利至尤斯顿站
/AE961BD943256B12530E7DBEC7BC5AC4,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/EAD6688847FF53D889EE61A947EB5446,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/0863B6F2422CA4DB541C06BFB52E7675,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/C5628B4F40C47470A9EC6683CEEC27E9,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/B07FC5C4430C9D1BB73A5384CAAD8032,1A14 0648 Holyhead to Euston,1A14 0648 霍利黑德至尤斯顿
/CBD5F9BE45300570FC7E388F5B44B8AD,1A15 - Manchester Piccadilly to London Euston,1A15 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/4452906C46BC0E87804D71844C7EA1FF,1A16 - Liverpool Lime Street to London Euston,1A16 - 从利物浦莱姆街站开往伦敦尤斯顿站
/06BF8D554239048C3789AD8F4E6C15F2,1A17 - Birmingham New Street to London Euston,1A17 - 伯明翰新街站至伦敦尤斯顿站
/3E3E888E408AD0BC14FA1E81A53FAD3F,1A17 - Manchester Piccadilly to London Euston,1A17 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/A2537B554E94B7D8FED3BC80A2718462,1A17 0855 Manchester Picc to Euston,1A17 0855 曼彻斯特皮卡迪利至尤斯顿站
/75F1A26C4D2E8630AADC45BF5A76A6F3,1A18 - Manchester Piccadilly to London Euston,1A18 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/CA3850F94F508E10982C9A943048A533,1A18 - Manchester Piccadilly to London Euston,1A18 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/22CDA6A94BAC636BB562F79CD70F76FF,1A20 - Chester to London Euston,1A20 - 切斯特至伦敦尤斯顿
/F5C8EE9F4B4EB55B153480934E274FF1,1A20 - Chester to London Euston,1A20 - 切斯特至伦敦尤斯顿
/2802E4554183577CBEF0FB869A49C657,1A20 0932 Chester to Euston,1A20 0932 切斯特至尤斯顿
/50EF7CD84076E5B1AF7322811EA10CD5,1A21 - Manchester Piccadilly to London Euston,1A21 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/09B6851E4A5E775A0D196C852809670C,1A22 - Liverpool Lime Street to London Euston,1A22 - 从利物浦莱姆街站开往伦敦尤斯顿站
/8FE74F524905CCE935E00EB938DF391A,1A22 - Manchester Piccadilly to London Euston,1A22 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/F8BF59AC40A8558F10E53CAA9031C70F,1A23 - Manchester Piccadilly to London Euston,1A23 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
/C66036F545682F532EC68C98188766F7,1A23 0955 Manchester Picc to Euston,1A23 0955 曼彻斯特皮卡迪利开往尤斯顿站
/888F7AF046294320F7168793F9212467,1A24 - Manchester Piccadilly to London Euston,1A24 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
/DCAECA704C4DA0FADB6E0686B04860B8,1A24 - Manchester Piccadilly to London Euston,1A24 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
/C389EECD46F6318F7AFAC3BC6D373D12,1A26 -  Crewe to London Euston,1A26 - 克鲁至伦敦尤斯顿
/E59AF4884F93E79A54DBA486237DF576,1A26 -  Crewe to London Euston,1A26 - 克鲁至伦敦尤斯顿
/B6551FA54923442CE5C14C8C8C21AE26,1A26 - BLOCKED AT CAMDEN,1A26 - 受阻卡姆登
/9D129AF049344168A60782950083C916,1A26 - Blocked at Camden,1A26 - 受阻卡姆登
/6C8EE96B4B8773F08E3DC4971AE3198A,1A26 0853 Holyhead to Euston,1A26 0853 霍利黑德至尤斯顿
/68343C624F87EB5705B9179386DF9520,1A26 Holyhead to London Euston,1A26 霍利黑德至伦敦尤斯顿
/087EA5714D79EE64FC6537952B18BA2C,1A28 - Liverpool Lime Street to London Euston,1A28 - 从利物浦莱姆街站开往伦敦尤斯顿站
/7FCA7AAF42A3AB415014C5BB0540B526,1A28 - Liverpool Lime Street to London Euston,1A28 - 从利物浦莱姆街站开往伦敦尤斯顿站
/DD04C60A45B4DCA83A0E2F9119723F30,1A29 - Manchester Piccadilly to London Euston,1A29 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/E2477F5241DDCE7539DDC0A05957CABF,1A29 1055 Manchester Picc to Euston,1A29 1055 曼彻斯特皮卡迪利至尤斯顿站
/41BDB9D64DAC4F840BF2C2837FA73D8F,1A30 - Manchester Piccadilly to London Euston,1A30 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
/BD7870514FDB7E34BEAC6A81B0FA5889,1A30 - Manchester Piccadilly to London Euston,1A30 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
/0A91A4304B4FB891AF1C109907119C0F,1A32 - Chester to London Euston,1A32 - 切斯特至伦敦尤斯顿
/E3AF9EAD4461751D67BF008B0E9BD0A8,1A32 - Chester to London Euston,1A32 - 切斯特至伦敦尤斯顿
/0B2D1A8442702B426DEEAF8515365E5A,1A32 1132 Chester to Euston,1A32 1132 切斯特至尤斯顿
/FFCCB29847F5FE566E93A1A64BCFEDAA,1A32 Chester to London Euston,1A32 切斯特至伦敦尤斯顿
/A5F1E71A4E575C31F5D4BFAE77CE5158,1A33 - Manchester Piccadilly to London Euston,1A33 - 曼彻斯特皮卡迪利站至伦敦尤斯顿
/A86A401C490B21C86105E69C57D99CF1,1A33 Manchester Piccadilly to London Euston,1A33 曼彻斯特皮卡迪利站至伦敦尤斯顿
/398695C54642EB1033CD5D9141D27AEB,1A34 - Liverpool Lime Street to London Euston,1A34 - 从利物浦莱姆街站开往伦敦尤斯顿站
/CF40FAA149058D35B4FB848150C5296E,1A34 - Liverpool Lime Street to London Euston,1A34 - 从利物浦莱姆街站开往伦敦尤斯顿站
/BF255DE146392D8BD5404E951ED57AE9,1A34 Liverpool Lime Street to London Euston,1A34 利物浦莱姆街站至伦敦尤斯顿站
/BA77C2504A21BAC5F3D946B6077401DE,1A35 - Manchester Piccadilly to London Euston,1A35 - 曼彻斯特皮卡迪利站至伦敦尤斯顿
/C8F4B73D4A8C03475D226B8E8C1FAFF2,1A35 1155 Manchester Picc to Euston,1A35 1155 曼彻斯特皮卡迪利至尤斯顿站
/5F7C0EAB4E7FF248488E1EBFAB7472EE,1A35 Manchester Piccadilly to London Euston,1A35 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/929EA84D4A8A8B0CB5B86EB22695B45A,1A36 - Manchester Piccadilly to London Euston,1A36 - 曼彻斯特皮卡迪利站开往伦敦尤斯顿站
