key,source,Translation
321BF41A4F697C0117778BA1FD99E212,0,
3DBDD0A34D72F835CD385A85259F91EF,1,
8E587291479BC75EC7C970BB5F65D232,2,
528E6D4E4805DD076B230BA1A2DF7CEB,20c,
65DAB0DA48EE34C15EA95CB2908490C7,22c,
86F0316E447E1408FF3E788970C76EB9,24c,
E3330D7C4B5C160BFC730C80FD7CD927,26c,
47C7240C4705F536F655E58406B0D6EF,3,
DFB2B07747C68DAFCA32568456BBB6E0,4,
A1E77E114DAC88E84CF4C495EFA1AC19,5,
60E8B78C49E1A4E4B2A9DC9BADFF62EC,6,
B4FFB80D4E4746386E9D5E9F9FC575D9,7,
298BB8514EAEF19869437F9490BB7DF1,8,
F250EB6A473903CD7E27E48E91316C8D,9,
5E16E3A64D42FCDBA28E5396A237B141,====,
04220DC64D87FD58F3A58DB45BC40B3E,======,
72341BBA4352A0AC29F17285A51975BA,======,
08209E7A4377EB26496DB8A51A1A790D,========,
189FC3E0462085C6DB9C968419753064,================,
40FB8F0440A561B9ECA7CA879B107B89,====================,
4C162780489CDB7D23D4D8A9BE61616B,====================,
1DE452444ABE0FD36F0B0AA740D39925,A passenger door has become stuck. Indentify and manually operate the door to unstick it.,
3DCB07BE4CC64F8C1CC5D2937F413D00,AC Power,
4863A3B94CEAB3BB51E4459FA637B4DE,AWS Acknowledge,
1DE8D435434011EAEF0906B19531BEB0,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",
46151AA9449BEE4CA764A6819E138BFB,Air Con,
833B9DB64F5A5E85E5C8DF8EA876ACA4,BP,
5415204A47809B5204FEF391B2CD5028,Backup Day,
85A117064F9E9F149222EAB716478408,Backup Day,
E16903AD450C3B83DB0FEBADF8C144DD,Backup Night,
F9139A8E4D7EF2E5A7FBF1BA6B9F422F,Backup Night,
B738536C454F92F73183A08E6BA956DA,Battery Off,
1CAE6099469E267172A1FCA100B39769,Battery On,
F17DC82940FCAB83847581A6C785A23C,Battery power must be turned on to power the cab and enable the controls on the drivers desk.,
942815244B1BB7F5440CFEBB992CAD6A,Blind,
2F17A3B140FAD0B533008C9FF2938D04,Brake Hold,
9867941A47A97D0A8011DBA7AF087227,Brightness,
A3875971472B35024872AEA5901EDA94,C,
4C60953E45D791F5E5377FA7B6A77087,Cab Equipment Lights,
25811B464BC387F0986D5DA35EF38B95,Cab Lighting,
EEFAA398438D13E25C76C1A322F59C22,Cab Lighting,
772BA4404F39C5C533B085A0C9A62910,Cab Lights,
464948FD4FA2810EA8C3EABC2C0EFB86,Cancel,
F170F1B348F5C940876B3491CB9D5100,Class 350 DMS1,
983E551E4C402A1B33159A98B6135ED1,Class 350 DMS2,
B210EEA04BAADB0D70E683B812FB14FD,Class 350 PTS,
F73362A640FD91665C7518A56E84FF0E,Class 350 TC,
173D536B48B082411B33AD87F59450DF,Class 350-2,
4F8E55FB4B1F536078BD7BAC007A653E,Class 350-2,
1788EC714B7B609FB077F89E5C0E73B4,Class 350-2 Ex-LM,
CDF15E8B49174DF0934565AA52AC597C,Class 350-2 Ex-LM,
0907AEC34F4701843C724BA1522092E4,Class 350/2,
27CCE0EA4437AD7BA4EED49F38D28981,Class 350/2,
782646D045F454172B4CF7BB77AD8A88,Class 350/2,
D0D542704065C7C5C61074BD82B5F37E,Class 350/2,
D8B7460E445DB1B0CA59BAAA0B5D3040,Class 350/2 Ex-LM,
C76E47CC49DE3231910AC9BEE286A9E6,Class 350/2 LNR,
A985EEDC41EFA42D7BE710B0BB542C8F,Clear Destination,
1A600FD049EA98C9855744AC02A73B48,Close Cab Door,
3F2303A44C629E561A6DB3B1A456D0FF,Close Cab Door,
130327974BEBA9DB4ECA219C96FDCE77,Close Doors,
3994A078471695A8A0A00E938CE6E3A4,Close Doors,
798978B54B34D4346B4D098DC1D0675E,Close Doors,
AD5C58A94FFB092DDB1B98A8BE5BCCE9,Close Doors,
2B918A00453881F16AC1E49C1297AACD,Close Train Doors,
4C109ADB4F6250EAB93502BC98EE2426,Close Train Doors,
BBBD22544F0BC72159D93EA24C2B2EFC,Close Train Doors,
BED2498D418D0733D3C5989BCF2209A7,Close Train Doors,
4AE782CA45E83F8957C3E0B6AF7A9019,Closed,
6539D7244D64EBD426DEBFA5C41FA7B0,Closed,
676FFBE44C34763A41D61486502064BB,Closed,
8D5D1D3F41DA1C0C5DA494A65D8383CF,Closed,
9279AA5F4BEC86805975C88C494CED1E,Closed,
E91104434FCC17A14A968CAC3EDBF372,Closed,
4DCA2AB84B3A6F3A3E2604BABD3F4DB1,Come to a full stop and press the Power Reduction button to disable Power Reduction.,
6C984CB74CE903849226458C01B24261,Confirm,
3B35C185437FB300D26192A706268601,Confirm Destination,
4052B4BD4D5E554E560771A801000C21,Contact Signaller,
5F74508C45FB9D774FC716BA84D50705,Contact Signaller,
1A587B1A4D53DD73B2B50DB977182DB6,Contacting Signaller,
4C66DCA748ED0EB662C13CAC27853AFB,Contrast,
4FCA7139457D2379BACD22B1743B6CC4,Control Supply Mode AC/DC,
2461D15940452ACA82279ABE1F4A3809,Coupler,
F45C74F0444CDD07FF7123A86C97FCE3,Coupler,
35B421134EFA234912F3F0A230C7CA4E,Cut-In,
64F961BD48CA217DBD4E67B845F7ECB3,Cut-In,
EA1265634C9295BE118405887E7CC1AE,Cut-In,
EB0E9A074F6BD61421BF93986F6F7375,Cut-In,
2F36E08E419FCAB5D8D8D5A45F5A2F68,Cut-Out,
4E5C282B437BFA720D17909C152C4F56,Cut-Out,
762416E84F0A4BDEFF3E08B501098A41,Cut-Out,
F98619ED4D6E1030B10132A4232D07C6,Cut-Out,
15E9D3BE4741B4BBFC12E89797824F91,DC Power,
CD5CAE8A4468E1163258AA9288650131,DRA,
27885B9944040FF0BA4D76B3CDEC9B69,DSD,
1857E6384394C9599932EA9950F78C40,DSD Isolation,
01434D4F49A255C6E97555A2C4B6FF5A,Day,
3A19656844A6861A9F59B698CDFE3562,Day Light,
5CF7B6AE4BF7B03EEE3057AAE6D4DE5D,Decrease Brightness,
06AE5F61477C93ABD4028592F2922C46,Decrease Volume,
4726AF9743F7AD036A2D8A9714AE15C2,Desk Light Dimmer,
19A36D8C4421485B232CE68678151819,Door Close,
62EE835742F285AC9A8305A546E2B4A9,Door Close,
A66ADD48477648C6F1F41ABBB5F09127,Door Close,
AFC194D14A2796BBFD1965BC6BAA0A67,Door Close,
10CD1D2A42A74614BFEAF4A833E3B409,Door Open,
321E2B2A40C48B4E45E982AE7555D78C,Door Open,
3EF592524C9364D498E9CEBAD73210DD,Door Open,
51143C05427AA74769D3E8A5767FE79E,Door Open,
846F012248DC5BA4AA5C79B9B247DEC8,Door Open,
905F23AF420643EB827245A5B23E995A,Door Open,
D523CC6E48003DE56938FB914308F4C3,Door Open,
DAE409E14DCABFE1F219E3A16D7BC3BE,Door Open,
8D3CB87E4A3517FD0ACBDCA876741AFF,Door Release,
AF34C1FA45A09DA0DC6743AA4CBAF550,Door Release,
B9DF43A84E19329B7BB42AA0429B216A,Door Release,
C5F3143448BF420DA27C048F14E75848,Door Release,
CCD1F526462355E2248C1882DF739CEE,Door Release,
F0489DD04B68258C4CE19B94AFA5760D,Door Release,
4B96687E462283101F701DB4D60298B3,Down,
7E70699843C1C9DAD6B87082E9631614,Down,
C41AB9B841C437BEB0593DA94E81712E,Down,
CF019CDB472C910047E07EBB41FAB46E,Down,
7DB638E14DF45FD0A652659F482AF318,Driven 3.5 Miles!,
F72879B84A48B97CEFC6A78C9EF9F243,Driven 35 Miles!,
65868E80482E6F7DA36A3682268F8E85,Driven 350 Miles!,
11E451EF4054943A820E28895ACBD336,Driver Assist,
