key,source,Translation
321BF41A4F697C0117778BA1FD99E212,0,0
3DBDD0A34D72F835CD385A85259F91EF,1,1
8E587291479BC75EC7C970BB5F65D232,2,2
528E6D4E4805DD076B230BA1A2DF7CEB,20c,20℃
65DAB0DA48EE34C15EA95CB2908490C7,22c,22℃
86F0316E447E1408FF3E788970C76EB9,24c,24℃
E3330D7C4B5C160BFC730C80FD7CD927,26c,26℃
47C7240C4705F536F655E58406B0D6EF,3,3
DFB2B07747C68DAFCA32568456BBB6E0,4,4
A1E77E114DAC88E84CF4C495EFA1AC19,5,5
60E8B78C49E1A4E4B2A9DC9BADFF62EC,6,6
B4FFB80D4E4746386E9D5E9F9FC575D9,7,7
298BB8514EAEF19869437F9490BB7DF1,8,8
F250EB6A473903CD7E27E48E91316C8D,9,9
5E16E3A64D42FCDBA28E5396A237B141,====,====
04220DC64D87FD58F3A58DB45BC40B3E,======,======
72341BBA4352A0AC29F17285A51975BA,======,======
08209E7A4377EB26496DB8A51A1A790D,========,========
189FC3E0462085C6DB9C968419753064,================,================
40FB8F0440A561B9ECA7CA879B107B89,====================,====================
4C162780489CDB7D23D4D8A9BE61616B,====================,====================
1DE452444ABE0FD36F0B0AA740D39925,A passenger door has become stuck. Indentify and manually operate the door to unstick it.,乘客侧车门卡住了。请找到该车门并手动操作，使其脱离卡住状态。
3DCB07BE4CC64F8C1CC5D2937F413D00,AC Power,交流电源
4863A3B94CEAB3BB51E4459FA637B4DE,AWS Acknowledge,AWS 确认
1DE8D435434011EAEF0906B19531BEB0,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",AWS 已强制执行惩罚性制动，将重置 AWS 并等待惩罚持续时间结束后再开始恢复供电。
46151AA9449BEE4CA764A6819E138BFB,Air Con,空调
833B9DB64F5A5E85E5C8DF8EA876ACA4,BP,BP
5415204A47809B5204FEF391B2CD5028,Backup Day,备用日间前照灯
85A117064F9E9F149222EAB716478408,Backup Day,备用日间前照灯
E16903AD450C3B83DB0FEBADF8C144DD,Backup Night,备用夜间前照灯
F9139A8E4D7EF2E5A7FBF1BA6B9F422F,Backup Night,备用夜间前照灯
B738536C454F92F73183A08E6BA956DA,Battery Off,电池关闭
1CAE6099469E267172A1FCA100B39769,Battery On,电池开启
F17DC82940FCAB83847581A6C785A23C,Battery power must be turned on to power the cab and enable the controls on the drivers desk.,必须打开电池电源才能为驾驶室供电并启用驾驶员桌上的控制装置。
