key,source,target
/6D16B3724673166F7FE291AAFBB219FE,"'Evero' Class 805",
/F6B29972456B218B669A1CAC0983E6F8,"'Evero' Class 805",
/AC7223BB4A54091D2D8CB5AACB7F8BE3,0,
/AC876D764FC12F03C3888E8DFC57CF79,10,
/24CCF3774049FB35FAB8D19626A5DF13,18,
/90F55F234A7FC951D96EE685B769BFFA,19,
/AF092FAF44B5E37150CBFAB9328764E9,20,
/B49DCA9A4517EE9768BF8E946F042F61,21,
/B9F564E6494B70AC2E8E139C77C831B7,22,
/5E60BF794B5CB406E2D0B48C9AFF97E9,23,
/2BA176A74326B78401DB66963AB523D9,24,
/053C39ED4A80D9DE29E69BB02A635318,25,
/06737772406B3420028A6A92AFCDD194,25,
/BC0F00C947A4A7B142045894BA898627,25 kV AC Overhead/MTU 12V 1600 R80L Diesel Engine,
/C7FB8A1D485613C64256D69B91098E7B,25 kV AC Overhead/MTU 12V 1600 R80L Diesel Engine,
/BC6E83D3409BFA47BB22F29AB90D9747,26,
/AC86F4824ACC0A877D23409EEBB571F4,40,
/4BF005E642AF41A14F44E9A06B1A19C5,5,
/7E071A114127CDC3E1EAB6AAB75788E2,60,
/3C21E27049238FA3F14DE08554F224D3,====,
/B457FE50499CD16137A27490B3BE9869,======,
/C1EA498240193650C7F43B9BF069D9E9,======,
/78138E3D461E158A956AFFADBF8AE2C3,========,
/A6DEDFDE4B749D7D9DFDE3B288BE5424,================,
/5DC7A5014870E603FA7A8086E1CCE37B,====================,
/977E4A7B49FE1BF605AB01B63CD0727D,====================,
/D12F69064E56BD737A82F7A86F9AEBE0,A TPWS Overspeed has caused a penalty brake application. Acknowledge the alarm by pressing the Overspeed button on the TPWS control panel.,
/DEF29A7446A3491613FD38B060D31049,A TPWS SPAD has caused a penalty brake application. Acknowledge the alarm by pressing the SPAD button on the TPWS control panel.,
/7DC753F148A153159BD254AA9A25352E,"A Vigilance warning was not acknowledged in time and has caused a penalty brake application. Wait for the train to come to a stop and the 60 second timer to elapse, the brakes will then release allowing you to continue.",
/1DE452444ABE0FD36F0B0AA740D39925,A passenger door has become stuck. Indentify and manually operate the door to unstick it.,
/A4FF980347028C09AFE42EBFAD9CAC88,AWC Class 805,
/FA76408B40EF4006386772A61E9B9BFF,AWC Class 805,
/A4B390984F7B1E53E5357F9A9F54BABE,AWS,
/F80019AD47C9AFA856DF6FA6CDBEB6B0,AWS Acknowledge,
/F74DA2414C221B38EB6A6D8609D5EF2A,AWS Isolation,
/CC1A699B4BF08200FB99E4B74D0B6184,AWS TPWS,
/5672C3964B18F04A40E9DFB2887F50D8,AWS/TPWS Fuse,
/2A842F6A43DB94376553C7A3E3B36253,An AWS warning was not acknowledged in time causing a penalty brake application.,
/1F3BE5164CCD345677DDDBB44CA1C781,Auto,
/1AB747C7495F3878573ACE8566B65202,Automatic Warning System,
/38BBF2054ECCA2ED56528182C545B5D8,Automatic Warning System,
/9749D16841D641E7BBA190BFE5ECCCC6,Automatic Warning System,
/EF19CB214897CCC04EE5748B8CE8A085,Automatic Warning System/Train Protection and Warning System,
/3AA0111C4019E01F1ECADBAA9C3D0332,Aux Off,
/56A1F57A42EC293265112E966FA88E2E,Aux On,
/9D2BA87F485C45D9350C6B809A9D10A4,Auxilary Power Off,
/1865452C4949109FF636B9979B26EE85,Auxilary Power On,
/EC277BB848FF45B506BDF0A2702ACF9D,Auxiliary Power must be turned on before attempting to drive this train.,
/7C8A4E824A4016AEEC421CAEDE2AA1DD,"Auxillary Power has tripped. Bring the train to a stop. Once stopped, press and hold the Aux On button for 10 seconds.",
/27482CAA4D343A24762486B75D61FEF6,BP,
/335A202140FF81D851C83DB1DBEC0FEA,Bi-Mode Multiple Unit,
/BDBFC98E4E188B235314F99345278674,Bi-Mode Multiple Unit,
/11DC442F4C926A97AA09DAA050569F2E,Blind,
/C86C21D340143F286039639E02B4AA19,Brake Hold,
/1943DD8D48C3DA73B6490E9CA0D70E2E,Brake Release,
/556ECD534EA50D70BDB7E2BE1B870CEF,Buzzer Only,
/8421A3A44A508C3ACE0BF1ADD5F4A1B1,Buzzer Only,
/8483E36B4F5D8FD8FA6DA6946F0430A8,Buzzer Only,
/870B81D5430B5620CA13C59386DCECB3,Buzzer Only,
/9AD7571B418CF28CC6B8839383FD17E0,Buzzer Only,
/FD77C01549A6D9588058FA96B26FACD4,Buzzer Only,
/24FE6E3A4BD00E27B5B1DE948A33CA50,Cab Back Wall,
/CD26720B4AB7C30C453013900342BB55,Cab Ceiling Light Fuse,
/A5562B324B05BB5AED2153BB25E5562D,Cab Central Light,
/14CA3CAD4DE6353B82B3A9810F71EF8A,Cab Light,
/9EDFCADB4B730171F144FC8614318F20,Cab Lighting - Off,
/AC3EB93A4D08641AFF3177B133A17B99,Cab Lighting - On,
/D914E8D742DA3CA41C2B92AB1E6379FC,Cab Lighting - Toggle,
/32DF04C84A5110306C0884A2CD483992,Cancel,
/9482B2BF443B0A08E2BAAEAAC89F158C,Class 805 AWC,
/0BC4511A46256C891E638D861B5240EC,Climb Down,
/2939A4224739328BA9191A90AFE822FA,Climb Down,
/2091060549FC1CA9674872AB3315C65C,Climb Up,
/9E00535F47C5EA20B2A941A35123226B,Climb Up,
/A9202BB44025920187004A87FB43272C,Climb Up,
/B6569B6240177928A3372295CE8FF56B,Climb Up,
/D9E6750D46A1AE7AAA99E3AC940559B9,Climb Up,
/F544A2E941F46C2A573FF388AE192551,Climb Up,
/2D47660D44BF6F278BA804A2FE84DEC3,Close Door,
/5CA8712B452343413E8ACA8B554B63B1,Close Door,
/92C4DABF44E1BB5A301532B18ED27914,Close Door,
/C7A88E774F606C69F71B24B4080296BA,Close Door,
/619AE437445C9EC3643193BB8D0655E1,Close the passenger doors before applying power.,
/267DAD9C4A57A6D3623EEBACE112896A,Closed,
/4535834E4EA43AF316472184F845FABB,Closed,
/4F7484AB49E4D002FAE6A79A5D68DEC5,Closed,
/56B3017741D18EA08AFCB583F9495046,Closed,
/5EB7EFA745FA6AB0DD83B9A1278CCB10,Closed,
/E402DF764AB19533F4366F9EF4D7679C,Closed,
/9F321EF64AC9B8CBB88C809EC6522AD5,Confirm,
/55CD243F49D81624B7130487A102F576,Contact Signaller,
/49F810CB48328A936A9726B4F095A3E0,Control Panel Active Switch,
/A36F2E6A4A6C8238DE74FE951E96F495,Control Panel Active Switch,
/B9A50FC24289240E3744C88C3DBAC0EE,Cool,
/07C5C45D463EFD359085EF971F7106D8,Couple,
/8601BE874D18CDB5FD49199F8068A40C,Coupler,
/FB6B45F14AA93C650336BEB5017F8898,DPTF-L1c,
/1EF7768B48AC588F70229C87CA259F61,DPTS,
/B93CA89041E4469D39D160A4904BCD45,DRA ,
/965673BF49F111E1437534A1633F6D9A,DRA Isolation,
/931F4B8D4676F0B83B95FDB4544186AF,DSD Fuse,
/ED52123644DB59C44596FA80F4CF2840,DSD Isolation,
/CA7810314B13833506FE518059398B45,DSD Override,
/17F511A64966FEDB78534586E49B775B,Decrease Brightness,
/0174EB064BC03A5EE6E9478BF2013EDE,Decrease Volume,
/9838B2E749A42D2D05299A9978C7D6CF,Desk Illumination,
/9B9AE0DF464284CC270B9292F28E4382,Desk Lamp Fuse,
/3B30FC714547A6463D1879BA68B8007A,Diesel,
/50C2DE5A4409DBE23BD4049347AD2F98,Dimmed,
/00A5853D49A14820261B4BA3B85E29D2,Door ,
/021DA8DF48F8E239ABD706A43AFDD864,Door ,
/55B9A9B34CA262D1AFB91D96104E38BE,Door ,
/5B2AAD054D0859B5C780319EADE1C58B,Door ,
/62F4467743A844317B0EEEB0A6943A01,Door ,
/A5D652104BFD450A423904BAEFF311C4,Door ,
/C19EDEA14937933B2B6FC896E48759D4,Door ,
