key,source,target
/6D16B3724673166F7FE291AAFBB219FE,'Evero' Class 805,“Evero”805型
/F6B29972456B218B669A1CAC0983E6F8,'Evero' Class 805,“Evero”805型
/AC7223BB4A54091D2D8CB5AACB7F8BE3,0,0
/AC876D764FC12F03C3888E8DFC57CF79,10,10
/24CCF3774049FB35FAB8D19626A5DF13,18,18
/90F55F234A7FC951D96EE685B769BFFA,19,19
/AF092FAF44B5E37150CBFAB9328764E9,20,20
/B49DCA9A4517EE9768BF8E946F042F61,21,21
/B9F564E6494B70AC2E8E139C77C831B7,22,22
/5E60BF794B5CB406E2D0B48C9AFF97E9,23,23
/2BA176A74326B78401DB66963AB523D9,24,24
/053C39ED4A80D9DE29E69BB02A635318,25,25
/06737772406B3420028A6A92AFCDD194,25,25
/BC0F00C947A4A7B142045894BA898627,25 kV AC Overhead/MTU 12V 1600 R80L Diesel Engine,25千伏交流架空线路/MTU 12V 1600 R80L柴油发动机
/C7FB8A1D485613C64256D69B91098E7B,25 kV AC Overhead/MTU 12V 1600 R80L Diesel Engine,25千伏交流架空线路/MTU 12V 1600 R80L柴油发动机
/BC6E83D3409BFA47BB22F29AB90D9747,26,26
/AC86F4824ACC0A877D23409EEBB571F4,40,40
/4BF005E642AF41A14F44E9A06B1A19C5,5,5
/7E071A114127CDC3E1EAB6AAB75788E2,60,60
/3C21E27049238FA3F14DE08554F224D3,====,====
/B457FE50499CD16137A27490B3BE9869,======,======
/C1EA498240193650C7F43B9BF069D9E9,======,======
/78138E3D461E158A956AFFADBF8AE2C3,========,========
/A6DEDFDE4B749D7D9DFDE3B288BE5424,================,================
/5DC7A5014870E603FA7A8086E1CCE37B,====================,====================
/977E4A7B49FE1BF605AB01B63CD0727D,====================,====================
/D12F69064E56BD737A82F7A86F9AEBE0,A TPWS Overspeed has caused a penalty brake application. Acknowledge the alarm by pressing the Overspeed button on the TPWS control panel.,TPWS 超速警报已触发惩罚性制动。请按下TPWS控制面板上的超速按钮确认警报。
/DEF29A7446A3491613FD38B060D31049,A TPWS SPAD has caused a penalty brake application. Acknowledge the alarm by pressing the SPAD button on the TPWS control panel.,TPWS SPAD 系统触发了罚刹。请按下 TPWS 控制面板上的 SPAD 按钮确认警报。
/7DC753F148A153159BD254AA9A25352E,"A Vigilance warning was not acknowledged in time and has caused a penalty brake application. Wait for the train to come to a stop and the 60 second timer to elapse, the brakes will then release allowing you to continue.",由于未及时响应警示，列车已启动惩罚性制动。请等待列车完全停稳且60秒倒计时结束后，制动系统将自动解除，您即可继续行驶。
/1DE452444ABE0FD36F0B0AA740D39925,A passenger door has become stuck. Indentify and manually operate the door to unstick it.,乘客车门卡住了。请找到该车门并手动操作，使其脱离卡住状态。
/A4FF980347028C09AFE42EBFAD9CAC88,AWC Class 805,AWC 805型
/FA76408B40EF4006386772A61E9B9BFF,AWC Class 805,AWC 805型
/A4B390984F7B1E53E5357F9A9F54BABE,AWS,AWS
/F80019AD47C9AFA856DF6FA6CDBEB6B0,AWS Acknowledge,AWS 确认
/F74DA2414C221B38EB6A6D8609D5EF2A,AWS Isolation,AWS 隔离
/CC1A699B4BF08200FB99E4B74D0B6184,AWS TPWS,AWS TPWS
/5672C3964B18F04A40E9DFB2887F50D8,AWS/TPWS Fuse,AWS/TPWS 保险丝
/2A842F6A43DB94376553C7A3E3B36253,An AWS warning was not acknowledged in time causing a penalty brake application.,AWS 警告未及时得到确认，导致实施了惩罚性制动。
/1F3BE5164CCD345677DDDBB44CA1C781,Auto,汽车
/1AB747C7495F3878573ACE8566B65202,Automatic Warning System,自动报警系统
/38BBF2054ECCA2ED56528182C545B5D8,Automatic Warning System,自动报警系统
/9749D16841D641E7BBA190BFE5ECCCC6,Automatic Warning System,自动报警系统
/EF19CB214897CCC04EE5748B8CE8A085,Automatic Warning System/Train Protection and Warning System,自动报警系统/列车保护和报警系统
/3AA0111C4019E01F1ECADBAA9C3D0332,Aux Off,辅助动力关闭
/56A1F57A42EC293265112E966FA88E2E,Aux On,辅助动力开启
/9D2BA87F485C45D9350C6B809A9D10A4,Auxilary Power Off,辅助电源关闭
/1865452C4949109FF636B9979B26EE85,Auxilary Power On,辅助电源开启
/EC277BB848FF45B506BDF0A2702ACF9D,Auxiliary Power must be turned on before attempting to drive this train.,驾驶这列火车之前，必须先打开辅助电源。
/7C8A4E824A4016AEEC421CAEDE2AA1DD,"Auxillary Power has tripped. Bring the train to a stop. Once stopped, press and hold the Aux On button for 10 seconds.",辅助电源跳闸。请将列车停下。停车后，按住辅助电源开启按钮 10 秒钟。
/27482CAA4D343A24762486B75D61FEF6,BP,BP
/335A202140FF81D851C83DB1DBEC0FEA,Bi-Mode Multiple Unit,双模多单元
/BDBFC98E4E188B235314F99345278674,Bi-Mode Multiple Unit,双模多单元
/11DC442F4C926A97AA09DAA050569F2E,Blind,遮阳帘
/C86C21D340143F286039639E02B4AA19,Brake Hold,制动保持
/1943DD8D48C3DA73B6490E9CA0D70E2E,Brake Release,制动释放
/556ECD534EA50D70BDB7E2BE1B870CEF,Buzzer Only,仅蜂鸣器
/8421A3A44A508C3ACE0BF1ADD5F4A1B1,Buzzer Only,仅蜂鸣器
/8483E36B4F5D8FD8FA6DA6946F0430A8,Buzzer Only,仅蜂鸣器
/870B81D5430B5620CA13C59386DCECB3,Buzzer Only,仅蜂鸣器
/9AD7571B418CF28CC6B8839383FD17E0,Buzzer Only,仅蜂鸣器
/FD77C01549A6D9588058FA96B26FACD4,Buzzer Only,仅蜂鸣器
/24FE6E3A4BD00E27B5B1DE948A33CA50,Cab Back Wall,驾驶室后壁
/CD26720B4AB7C30C453013900342BB55,Cab Ceiling Light Fuse,驾驶室顶灯保险丝
/A5562B324B05BB5AED2153BB25E5562D,Cab Central Light,驾驶室中央灯
/14CA3CAD4DE6353B82B3A9810F71EF8A,Cab Light,驾驶室灯
