key,source,Translation
B41DB8424052D9D98921A792C4A8BEA7,18c,18℃
8EFD2BE4449A0F518E647299BA3CD96C,19c,19℃
1947B90E47660EB7EFF2BEB0DC34303A,20c,20℃
75F8C3A6415D00853780CDB243EC57BA,21c,21℃
B769D0E845E8D7343CD1C9A2EFD9E55A,22c,22℃
B04DE9F3404362EE9D445ABD5754C732,23c,23℃
126D7A9745510D0BAC69C99BE9D1B4B6,24c,24℃
6B107E85420B2E99F878A5AF1C5D68E8,25c,25℃
DDE46DA44F54DD72614A6BBA5DBB3A48,26c,26℃
820491404218FD192A8C63AB160DE8E5,27c,27℃
276EBA7E4309BBBADE20F0B62C43C18F,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
32CE487844FA31B90C1682A058AB27DC,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
5ED2380E4190876C3BC29BB5958F18B2,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
7BA4A959410D16EAC99251806AA35208,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
809EF9A54729970E61825F989CAF7AAC,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
B40E25A846B29027C1BECC8ED1F6993F,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
C8C2CEE14C1945CF0BC96FAE134FD148,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
D2DB28A0400B76A27F8E0FB9E942ADF5,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
DB64407344D491159366D9A0A2642374,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
E17B26E044FC15408FE7FB990E2D6740,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H（欧11）直列六缸四冲程涡轮增压柴油发动机
33829BD84FF9DCBA80010D88C3C9F87C,====,====
A13D1F84411CA0E0C796768D01469C3A,======,======
F2A09DFD4B57B543E6903C9BF290BB19,======,======
50094A434DDF79029EC32B8D9EBB98A9,========,========
44587D8D499F9136A3706F8094530335,================,================
6053F8AE47649A7B3FCCD6B3EB0568FE,====================,====================
