key,source,Translation
95F0835C4F89243953EDB7887BD165CA,    112,    112
3B36DF004639B473CF9EAF90DA9C9452,    119,    119
6488945746222B8A80A08D8559006DE7,   Disable the SkyDomeMesh and fly around to see volumetric light shafts,   关闭天空穹顶网格并四处飞行，即可看到体积光束。
111212DB46349A8A1F45339CED4FCA8A,   Use CTRL + L + Mouse to move the sun around,   使用 CTRL + L + 鼠标移动太阳
B4E41C594194245A3449748F03E11A0E,  O,  这
557E981543EDBA86B21404BC37914386,0.5MM,0.5毫米
076B34D74F3A90ABE9AC478C8BDEB005,01632 960351,01632 960351
07EB39E04E479067585243AE72FB73ED,01632 960351,01632 960351
1D05945144FAA675FC274EB8EE5AA47F,01632 960351,01632 960351
3CF0BC8B4FD115B4FA3417A4DCCDEA54,01632 960351,01632 960351
5BF4D68649FA0AF5445B0E87BAC41C93,01632 960351,01632 960351
5C25C278419A019B14A39A80F3E4E474,01632 960351,01632 960351
8FD6B7FC427AE917990E0C8D2FB9A829,01632 960351,01632 960351
9502EC694D9DD9291F67F1A2ACAF8A5D,01632 960351,01632 960351
BB10328D4A6B949552BEBAA948A6847C,01632 960351,01632 960351
C2CEA2914DD3E207AD88D7A54CBBCFBA,01632 960351,01632 960351
781ACAAF4A554A3937A6FC821E4B97E9,01632 960353,01632 960353
CAAC9CE241C9D488D9C704A4CC26C801,061,061
01CC44EA4CB1C354BB287B926FE428CE,075 7351,075 7351
0B12E50744A6CDB439B55DBB8A1BB8B9,075 7351,075 7351
3A5974F24F1A76CB2B639B86A6662B0E,075 7351,075 7351
4F5AFA824AAB889A0DF605A2066CA085,075 7351,075 7351
5B8708184FC44DDE937509ABF4FA6437,075 7351,075 7351
8814218B497664D39D25C79CD7D4D32B,075 7351,075 7351
8D645D5C4A1109D907F34DA53840A71F,075 7351,075 7351
9852CC7E4C8CF435C6E3B9A477502E97,075 7351,075 7351
D65720694B3762D4E4D0EF9A7DCD4CBF,075 7351,075 7351
E51DEADA4DA3CEEBABD93A98E9D7E095,075 7351,075 7351
577718314A42457B38B7BB9F933B5093,075 7353,075 7353
6BAE597F4FD940F289721B9BAF4092F2,08 CAB,08 驾驶室
3B0B5F334D26A3038A6FFCBCAEAB0040,0MM,0毫米
3E800B104AA67CAF62CF209E3433B4BE,0MM,0毫米
6FB2F92A47CE1794AEC8A69448A200D0,0MM,0毫米
73E9F20F4E1F6ADDC2D371B525F3F1D1,0MM,0毫米
8196F84E4D3EB67BFCDFB8906B6B1905,0MM,0毫米
A52ADD6A4216DA0E84F931A9FF8A3334,0MM,0毫米
A6CF816940BB8F8EAF0101A7D50B810A,0MM,0毫米
B94C431948D981F01DF0C09E380B9D39,0MM,0毫米
BB68A71045CB796CAB04B1BDB590E19F,0MM,0毫米
D1168F4D41FAF950F0488C9799EB73DD,0MM,0毫米
E4A6F6E040BE882ACCDD33985190E259,0MM,0毫米
E6B6EB77401F66E72668839AE7FC09B5,0MM,0毫米
FAB77ACC4D5CD75B0B18529CFE77775D,0MM,0毫米
5CDDA7CB40ABB33DAA3BB18FCBB1A2FB,10,10
B23D2F2246F5A71BCC30DEB5F1FCE1EF,10,10
762AB3AC4D7B6E51B7B5638DEBA1B7CF,10A<cf>BM6210,10A<cf> BM6210
502D0DB8401A546A02B1E89E77D4FF76,10B<cf>BM5110,10B<cf> BM5110
6252C3A34DE4DA6E2304E7BC9BBE8D2C,11,11
1E5B3D3540E182BAF0CD8CB766CEF7CC,110,110
20FF0E1E471C0118B13AE4A7DBC25464,110,110
46580448422C341732D6B08D98093EEF,110,110
4DB129C94E525BDD287FE296D2B4B88A,110,110
6F13EB724D316E9D6D1EA1B93DD42B8E,110,110
74C070B74BE6F04679C234B7A5733330,110,110
816471514E0A1A5444BA178C2AB31947,110,110
AD0CBBAE428EBC5EE341A8B5CD408CDF,110,110
B6013BDB479AC51FC33315964017A6E6,110,110
C1383F3147526435AF5D499A8CAEEE3F,110,110
C8EB0FD64C7D75CF2A72A0833ED9F547,110,110
FA0F736D43C0E7947DCCAC84CF34FE9A,110,110
925E84A94CF0B907CD1AD4AB3441BE1E,11A<cf>BM6211,11A<cf> BM6211
C581F3A44E758EFFDFAD9D93D56D066F,11A<cf>BM6211,11A<cf> BM6211
133703B9418661C9503BCE9C9E613AD4,11B<cf>BM5111,11B<cf> BM5111
950D807A4469491CE311F7B3C3B9C396,11B<cf>BM5111,11B<cf> BM5111
799D1B7E4621C54FFEEA7BB53511317E,11m 0yds,11米0码
4CA4D08448E4FBCE70D2CB9E0EA4A7FC,11m 1330yds,11米1330码
20AEA4ED4D493C43989BC19ADFF5EA44,121MM,121毫米
DBD2A3BB45DFDA309A45C89378794631,122,122
32BEB1CA4ACACCB92AC9C5804649FD07,122MM,122毫米
1CF965644550973D8AB95E87CD757875,125,125
779773784B00DB878BA6D6900685769B,125,125
