key,source,target
/B33A6F914D261C3CD975D88FDDE1712E,750V DC Third Rail,750V 直流第三轨
/F5FD81E64C69944E81AF31B57219A3BB,750V DC Third Rail,750V 直流第三轨
/4FD8F1B342D174CB2524CE9288E09D81,====,====
/7502825D407B51D039BF45AFF41B01FC,======,======
/EC9F23E344B156A41C3A3EA8E4ECFBE3,======,======
/4732B96D4A1CE27B1822A0AA2BD42605,========,========
/4921691E4BB6E2B49C36D180A56DF462,================,================
/083EF7934C6F19D017AD2996D940E78D,====================,====================
/65B3B33A4475ACAE96724D81C8E9DBCE,====================,====================
/E335974E498CE0D56B0CC9AA03E3D634,A Windshield Wiper appears to have become stuck.,雨刷似乎卡住了。
/2F2777B3458054D8A4E6F2B1DEA8A637,A passenger door has become stuck. Identify and manually operate the door to unstick it.,乘客门卡住了。找到并手动操作该门以使其恢复。
/762F62B446F6EA44254E36827E256005,A.C,空调
/519E167045EBAB66FAEB169573B0C017,A.C Temperature,空调温度
/061ABB644A8A2D8017222184ED42CF4A,AWS,AWS
/4CEBD465483C6A2A677E6CB48122ADAF,AWS,AWS
/CBD0198E45E57FCCC31A08A36C8F9D6D,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",自动警报系统强制实施惩罚制动，请复位自动警报系统并等待惩罚时间结束，之后即可再次施加动力。
/A20DC0FE4006256DBC54129B2A8C8F80,Acknowledge,确认
/5B5ED1DD4D223E71AE403E97FCA8FF1B,Active,激活
/D385DAB342D848ED2E3312A4E175E4F9,Active,激活
/DC3D8B2F4BB4CFCB876B5C88F835639E,Active,激活
/737E8375430EFB50394817933D9DD0CE,All Release,全释放
/A8947FB0467E4B09403D0A91279B3BD8,All Release,全释放
/B8F309324F464A455EFCA3B858742431,All Release,全释放
/E680C2CB4F9AAB99DA0C239362F9FC51,All Release,全释放
/FC8076D8414FA615B07FD5B315146A9C,All Release,全释放
/916779974490A5A4F97617A4720E8374,Auto,自动
/FD53229E41E199D3D3F8AA9D73D23CC0,Aux Off,辅助电源关闭
/483131894C5834E43C1A648540E3C8D8,Aux On,辅助电源开启
/1D8775054578A3897BBBD69F11DD0499,Blind,遮阳帘
/855E590947C30F5251EE1E88F2DA1686,Blind,遮阳帘
/91F761314AB075CADA7C1C92D4AFBABF,Blind,遮阳帘
/9C16B82D4A8D7174AC6173A8A07FD2C1,Bombardier Transportation 2003 - 2018,庞巴迪运输 2003 - 2018
/BE5791A343704DAAF5EB2CA18D8A8069,Bombardier Transportation 2003 - 2018,庞巴迪运输 2003 - 2018
/58E52BCD49D8164BE164A38CB67340CD,Brake Hold,制动保持
/AD463EE54C8A1A97D5B3E6ADAE2E72D9,B{BrakeID},B{BrakeID}
/300BCD7B4E57E6C0E05DC699968558CD,Cab Light,司机室灯
/6E1ED3764A184FF9D4CA999AB52EBDA4,Cab Light,司机室灯
/BA73F7C94E288EDC0CCD5292E8D35D78,Cab Light,司机室灯
/0E7FDCD8482B7FF43E08D3B3A9058D3F,Cab Light Toggle,开关司机室灯
/79D771DD4C5D30C219D2F3A9540D5480,Cancel,取消
/0DACC43B4893FFA7301ED4AB9D765DFE,Class 377/3 SN,南方铁路 Class 377/3 型动车组
