key,source,target
/734474AA437A2A7268F454852B3CB96E,1A15: Liverpool Lime Street to London Euston,1A15：利物浦莱姆街站至伦敦尤斯顿站
/CFA50CC14D15F5CE7BA2FAB612331C47,1A20: Liverpool Lime Street to London Euston,1A20：利物浦莱姆街站至伦敦尤斯顿站
/D9E20BD640338E81BBEB32872C841E69,1A25: Liverpool Lime Street to London Euston,1A25：利物浦莱姆街站至伦敦尤斯顿站
/51D074714AB0C0B740BC4AA50E554E63,1A30: Liverpool Lime Street to London Euston,1A30：利物浦莱姆街站至伦敦尤斯顿站
/D6A5EC494882BC74006EBA86DF696EAE,1A35: Liverpool Lime Street to London Euston,1A35：利物浦莱姆街站至伦敦尤斯顿站
/41D055B04F90DAF32887B0BF36D2900E,1A40: Liverpool Lime Street to London Euston,1A40：利物浦莱姆街站至伦敦尤斯顿站
/4C9695A0478A10B1A114599A1968A5D3,1A45: Liverpool Lime Street to London Euston,1A45：利物浦莱姆街站至伦敦尤斯顿站
/9B69DB374C8B37D240288B85E8CBB803,1A50: Liverpool Lime Street to London Euston,1A50：利物浦莱姆街站至伦敦尤斯顿站
/6D3653A6493439BF41BAD89C629858AB,1A60: Liverpool Lime Street to London Euston,1A60：利物浦莱姆街站至伦敦尤斯顿站
/A81DE099437277BACAA081BF3D4E3603,1A65: Liverpool Lime Street to London Euston,1A65：利物浦莱姆街站至伦敦尤斯顿站
/DAE6225A4C354922A700ACA5395A1702,1A74: Liverpool Lime Street to London Euston,1A74：利物浦莱姆街站至伦敦尤斯顿站
/CB1583B0474100080B355DB20BC89491,1B45: Wolverhampton to London Euston,1B45：伍尔弗汉普顿至伦敦尤斯顿
/F36A103D474F773C8F3ED88650178F9F,1B46 Evening Run: Wolverhampton to London Euston,1B46 晚间班次：伍尔弗汉普顿至伦敦尤斯顿
/159B3BA14490E447D33AED9CD07B2D2D,1D11: Birmingham International to Llandudno,1D11：伯明翰国际机场飞往兰迪德诺
/6431066047C041A04AE98CBF05E63B93,1D12: Birmingham International to Holyhead,1D12：伯明翰国际机场飞往霍利黑德
/FAA3F80E48251E914248F89F63A0144F,1D13: Birmingham International to Holyhead,1D13：伯明翰国际机场飞往霍利黑德
/21396DDD480F280DAAE6F6A673AC9AF2,1D14: Birmingham International to Holyhead,1D14：伯明翰国际机场飞往霍利黑德
/242E9712401468647657F9919F173AC4,1D15: Birmingham International to Holyhead,1D15：伯明翰国际机场飞往霍利黑德
/2D281D1D461F0B5ACA9A2FB0E22FBE98,1D16: Birmingham International to Holyhead,1D16：伯明翰国际机场飞往霍利黑德
/5F37707349D131E4F4AB229E88F48932,1D17: Birmingham International to Chester,1D17：伯明翰国际机场飞往切斯特
/0B1F89C5475CD8CDF9AF7CAD9E356E63,1D19: Birmingham New Street to Holyhead,1D19：伯明翰新街至霍利黑德
/FF0DC1254EAFFA933D7DB58C95BDEFA0,1F10: London Euston to Liverpool Lime Street,1F10：伦敦尤斯顿站至利物浦莱姆街站
/3D9068D54244CE02AE71FF86B5835F83,1F11: London Euston to Liverpool Lime Street,1F11：伦敦尤斯顿站至利物浦莱姆街站
/ECB3F28846AEA187FBF221A3F9552CE5,1F13: London Euston to Liverpool Lime Street,1F13：伦敦尤斯顿站至利物浦莱姆街站
/8BC22B83403FAE32A0B57095E6127BA1,1F14: London Euston to Liverpool Lime Street,1F14：伦敦尤斯顿站至利物浦莱姆街站
/12C73B1A4B45C02748E4ACAD1B0D08F1,1F15: London Euston to Liverpool Lime Street,1F15：伦敦尤斯顿站至利物浦莱姆街站
/AFF2FCA44F1CA32D9E194A8BEBA32DB7,1F16: London Euston to Liverpool Lime Street,1F16：伦敦尤斯顿站至利物浦莱姆街站
/FD3686054C3D492A1AEC5BA290D6C930,1F17: London Euston to Liverpool Lime Street,1F17：伦敦尤斯顿站至利物浦莱姆街站
/D82541D64C1332D8770E60A586EC9F38,1F18: London Euston to Liverpool Lime Street,1F18：伦敦尤斯顿站至利物浦莱姆街站
/143AF9E34CC598DB5855F6897CCC694B,1F19: London Euston to Liverpool Lime Street,1F19：伦敦尤斯顿站至利物浦莱姆街站
/417944BB4DCCD032EBE2B689341B2442,1F20: London Euston to Liverpool Lime Street,1F20：伦敦尤斯顿站至利物浦莱姆街站
/DBDFD16C435A6F7AC6487CB44E767E59,1F22: London Euston to Liverpool Lime Street,1F22：伦敦尤斯顿站至利物浦莱姆街站
/A27FAA5E4F242EEC506A0488E79DB6E2,1F23: London Euston to Liverpool Lime Street,1F23：伦敦尤斯顿站至利物浦莱姆街站
/9A232CE94C7D4D91AA5113AE2D4BFDB6,1F24: London Euston to Liverpool Lime Street,1F24：伦敦尤斯顿站至利物浦莱姆街站
/59A382D346D177759984BF93F4D6E5DB,1F25: London Euston to Liverpool Lime Street,1F25：伦敦尤斯顿站至利物浦莱姆街站
/FFBF8A1A44025747B109868798D41B93,1F27: London Euston to Liverpool Lime Street,1F27：伦敦尤斯顿站至利物浦莱姆街站
/9F6C456B43103B9166F59AB7CC11D128,1F30: Birmingham New Street to Liverpool Lime Street,1F30：伯明翰新街站至利物浦莱姆街站
/1CB45D654360633B243CB99FDBF84730,1F31: Birmingham New Street to Liverpool Lime Street,1F31：伯明翰新街站至利物浦莱姆街站
/DCE6F60C434FA45CBE6EC291A894B2BC,1F33: Birmingham International to Liverpool Lime Street,1F33：伯明翰国际站开往利物浦莱姆街站
/CAC4EEF94C36C38A694F1D80B77CABF6,1F35: Birmingham International to Liverpool Lime Street,1F35：伯明翰国际站开往利物浦莱姆街站
/3EAFDE5446444DC79B1CD292DB8894F0,1F39: Birmingham International to Liverpool Lime Street,1F39：伯明翰国际站开往利物浦莱姆街站
/6E9B60F8407289D4813B74820BF353A8,1F41: Birmingham International to Liverpool Lime Street,1F41：伯明翰国际站开往利物浦莱姆街站
/CEBFAEA540009A9BF92EDB98D91B1EED,1F43: Birmingham International to Liverpool Lime Street,1F43：伯明翰国际站开往利物浦莱姆街站
/D7E05835450C7C459C8B1F921FAEF0DA,1F45: Birmingham International to Liverpool Lime Street,1F45：伯明翰国际站开往利物浦莱姆街站
/C25001E64F9688EDEA2327970C9E7522,1F47: Birmingham International to Liverpool Lime Street,1F47：伯明翰国际站开往利物浦莱姆街站
/C476BC7348CD791EC8CD4887DBE8416D,1F49: Birmingham International to Liverpool Lime Street,1F49：伯明翰国际站开往利物浦莱姆街站
/8B6997F64DD0887D23F1058CC4323248,1F51: Birmingham International to Liverpool Lime Street,1F51：伯明翰国际站开往利物浦莱姆街站
/469C0371430BC952B8B0DAA715163F06,1F53: Birmingham International to Liverpool Lime Street,1F53：伯明翰国际站开往利物浦莱姆街站
/5B56182246A1101EF23E3084F6EF86FB,1F55: Birmingham International to Liverpool Lime Street,1F55：伯明翰国际站开往利物浦莱姆街站
/20856FD6438DE3ED417FE480072DE06A,1F57: Birmingham International to Liverpool Lime Street,1F57：伯明翰国际站开往利物浦莱姆街站
/3F6C459A48D2E1E49768EB9D1C06A497,1F59: Birmingham International to Liverpool Lime Street,1F59：伯明翰国际站开往利物浦莱姆街站
/A1EC6231465655DF5ED49DB797646B53,1F61: Birmingham International to Liverpool Lime Street,1F61：伯明翰国际站开往利物浦莱姆街站
/8F2953DB489AABEFAFC796B80B42AFDF,1G00: Chester to Birmingham New Street,1G00：切斯特至伯明翰新街
/F6C29511426F1045E86F98BCB9E72109,1G05: Shrewsbury to Birmingham New Street,1G05：什鲁斯伯里至伯明翰新街
/33D3D33949939368A351738FECEC4650,1G07: Aberystwyth to Birmingham International,1G07：阿伯里斯特威斯至伯明翰国际机场
/36AC83FD4A978C41225AFBB28DC16860,1G13: Shrewsbury to Birmingham New Street,1G13：什鲁斯伯里至伯明翰新街
/8B12942D4B1086868EFC76A39DFC83F9,1G14: Shrewsbury to Birmingham New Street,1G14：什鲁斯伯里至伯明翰新街
/BF74AA4440A9C20A048AF79E7CCD847A,1G15: Aberystwyth to Birmingham International,1G15：阿伯里斯特威斯至伯明翰国际机场
/524C964B41E5D1B33F480BB7B0B4016E,1G18: Shrewsbury to Birmingham New Street,1G18：什鲁斯伯里至伯明翰新街
/41DC9BE348FEC1378C010CA1CC2866A1,1G19: Shrewsbury to Birmingham New Street,1G19：什鲁斯伯里至伯明翰新街
/DBDAFE3149A13FDAA6EE529D40C9E303,1G23: Shrewsbury to Birmingham New Street,1G23：什鲁斯伯里至伯明翰新街
/863CFB2A41428DE38300F6953C2F7BA3,1G25: Aberystwyth to Birmingham International,1G25：阿伯里斯特威斯至伯明翰国际线
/A410A7D04A867E050BDB1E933805C078,1G27: Shrewsbury to Birmingham New Street,1G27：什鲁斯伯里至伯明翰新街
/79C84B964BE27E04A7DC308F08AAC610,1G28: Shrewsbury to Birmingham International,1G28：什鲁斯伯里至伯明翰国际线
/4898D6A442483EBE2402CD93F2F80DBB,1G28: Shrewsbury to Birmingham New Street,1G28：什鲁斯伯里至伯明翰新街
/856C74124B2F66F277DEB485335688C7,1G29: Shrewsbury to Birmingham New Street,1G29：什鲁斯伯里至伯明翰新街
/EFD0EF6E44063433FAAA8A9D4B259744,1G30: Chester to Birmingham International,1G30：切斯特至伯明翰国际
/BFC0880A40F33E23CDAFCE8A10CFB6C2,1G31: Shrewsbury to Birmingham International,1G31：什鲁斯伯里至伯明翰国际线
/D2E86BCD47F2E0889BC3359C3E155F4E,1G32: Shrewsbury to Birmingham International,1G32：什鲁斯伯里至伯明翰国际线
/557D743B43131F8ADE2E2C95BD0162E9,1G33: Shrewsbury to Birmingham New Street,1G33：什鲁斯伯里至伯明翰新街
/33E23A504763C7FF4343029AE8DFCBBC,1G35: Aberystwyth to Birmingham International,1G35：阿伯里斯特威斯至伯明翰国际火车站
/EBAEFBFA4ACBC0E1A796B895BF85BA2B,1G37: Shrewsbury to Birmingham New Street,1G37：什鲁斯伯里至伯明翰新街
/0ACC1D804E5F87A6CDF5DCB19F07387B,1G39: Shrewsbury to Birmingham New Street,1G39：什鲁斯伯里至伯明翰新街
/F08E398E4D6D77AC87B28785A2546C12,1G40: Holyhead to Birmingham International,1G40：霍利黑德至伯明翰国际机场
/C3B27C964701414CEFEA228564B99CDF,1G41: Shrewsbury to Birmingham New Street,1G41：什鲁斯伯里至伯明翰新街
/EC91F4D640C0866348D65AA7393E0DF5,1G43: Shrewsbury to Birmingham New Street,1G43：什鲁斯伯里至伯明翰新街
/1C3411D649A22BA759BEC7A9FDEC3B4B,1G45: Aberystwyth to Birmingham International,1G45：阿伯里斯特威斯至伯明翰国际线
/38938DAD489D9C0CBEC39E9370FF77C2,1G48: Shrewsbury to Birmingham New Street,1G48：什鲁斯伯里至伯明翰新街
/90731A56444C0E585454BBA62ADCEA93,1G49: Shrewsbury to Birmingham New Street,1G49：什鲁斯伯里至伯明翰新街
/53FD9FDE479F080D7E619EABCB9F7792,1G50: Holyhead to Birmingham International,1G50：霍利黑德至伯明翰国际机场
/A42DDC2647D472BA1715918C66BC9742,1G53: Shrewsbury to Birmingham New Street,1G53：什鲁斯伯里至伯明翰新街
/38B6E401403FDE8B3628A8ADB8FC607E,1G55: Aberystwyth to Birmingham International,1G55：阿伯里斯特威斯至伯明翰国际线
/A7D4D0C14B55828109C0209B91D60931,1G58: Shrewsbury to Birmingham New Street,1G58：什鲁斯伯里至伯明翰新街
/3D4C9C5F4FB9799EF4FD0CBBD4CC4FBD,1G60: Holyhead to Birmingham International,1G60：霍利黑德至伯明翰国际
/CB8CBE404A659E9A419944B1FF5621FA,1G63: Shrewsbury to Birmingham New Street,1G63：什鲁斯伯里至伯明翰新街
/1274C73947F0A540F60254879EC8A26D,1G64: Shrewsbury to Birmingham New Street,1G64：什鲁斯伯里至伯明翰新街
/8D4558FE4307E80F30792EA66232403F,1G65: Aberystwyth to Birmingham International,1G65：阿伯里斯特威斯至伯明翰国际线
/25DB8AA64A3DA9237DF0DA85DB3967E3,1G68: Shrewsbury to Birmingham New Street,1G68：什鲁斯伯里至伯明翰新街
/5DCF06B14007CC9C3FD0418FDE72F9EA,1G70: Manchester Piccadilly to Birmingham New Street,1G70：曼彻斯特皮卡迪利站至伯明翰新街站
/92B530DA400509F4ADB97B977492E06D,1G71: Manchester Piccadilly to Birmingham New Street,1G71：曼彻斯特皮卡迪利站至伯明翰新街站
/BBD8511142666CDE9216E99C0DB50DF5,1G75: Aberystwyth to Birmingham New Street,1G75：阿伯里斯特威斯至伯明翰新街
/72AAF8E142269C8D20349DBF70933577,1G76: Holyhead to Birmingham New Street,1G76：霍利黑德至伯明翰新街
/FDBC4FA149DAADADE45047A93CF73B29,1G91: Manchester Piccadilly to Birmingham New Street,1G91：曼彻斯特皮卡迪利站至伯明翰新街站
/B2A3A0C24DB6FFBEF584978DF1D75318,1G92: Manchester Piccadilly to Birmingham New Street,1G92：曼彻斯特皮卡迪利站至伯明翰新街站
/C41E296B438D97025E3030A503785F2F,1G93: Aberystwyth to Birmingham International,1G93：阿伯里斯特威斯至伯明翰国际机场
/46E18F22446D15B7162317A02DF11B96,1G93: Shrewsbury to Birmingham New Street,1G93：什鲁斯伯里至伯明翰新街
/19184EAE48B64FDD80BB369D89A1525E,1H09: Birmingham New Street to Manchester Piccadilly,1小时09分钟：伯明翰新街站至曼彻斯特皮卡迪利站
/411FBB04436C0D412B9D55890775E116,1H13: Birmingham New Street to Manchester Piccadilly,1小时13分钟：伯明翰新街站至曼彻斯特皮卡迪利站
/439DAA744E751CCBE6F68FAFE66912F4,1H14: Birmingham New Street to Manchester Piccadilly,1小时14分钟：伯明翰新街站至曼彻斯特皮卡迪利站
/B37F6105407CFBEDD12A33BDA890D23D,1H17: Birmingham New Street to Manchester Piccadilly,1小时17分钟：伯明翰新街站至曼彻斯特皮卡迪利站
/64016E5842DB73E494A74B93495BDDA2,1H74: London Euston to Manchester Piccadilly,1H74：伦敦尤斯顿至曼彻斯特皮卡迪利
/4AD0A3154C1C1DBC2D078F9EBFDF5866,1H98: Birmingham International to Manchester Piccadilly,1H98：伯明翰国际站开往曼彻斯特皮卡迪利站
/032AFED24FAB63132A7A2CA54443BAEC,1J02: Birmingham New Street to Shrewsbury,1J02：伯明翰新街站至什鲁斯伯里站
/050B4A3C48DAB45745F8838051D53E6E,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/2F5584544250F4AF23D847A525756B32,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/332B72A144B190657F3D74ADC8C417F8,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/6A38FFD144ABC1D090259796FF977FA3,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/6EAA2ACE45B23BC953C95186E50F76D2,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/ADD72F5543D0229E8BB14A981AFF449C,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/B9A7736B4ED43F99E86287B0A853EED0,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/FAC2EE4D471ADFEE7E1199B38A20587C,1J03: Birmingham New Street to Aberstwyth,1J03：伯明翰新街至阿伯斯特威斯
/5FC1512E4E845C11021E5183B8FC931A,1J04: Walsall to Shrewsbury,1J04：沃尔索尔对阵什鲁斯伯里
/BA63460045F74DA088A1AB8EA96FB337,1J06: Birmingham New Street to Shrewsbury,1J06：伯明翰新街站至什鲁斯伯里站
/21D07FE6406F6A3A3336778E2E6F3D0C,1J07: Birmingham International to Aberystwyth,1J07：伯明翰国际机场飞往阿伯里斯特威斯
/88F8B6C649C3AFB51178E493BA39D795,1J08: Walsall to Shrewsbury,1J08：沃尔索尔对阵什鲁斯伯里
/C2B298B543E344607F27DDB86413E28C,1J10: Birmingham New Street to Shrewsbury,1J10：伯明翰新街站至什鲁斯伯里站
/AC041CF9490C2182B181BF83F9C586CC,1J11: Birmingham International to Aberystwyth,1J11：伯明翰国际机场开往阿伯里斯特威斯
/D66A89854ABD74D1433B04BEE2E8E8E4,1J12: Birmingham New Street to Shrewsbury,1J12：伯明翰新街站至什鲁斯伯里站
/DE5D444D44D06C6831FDFCB59354508D,1J14: Birmingham New Street to Shrewsbury,1J14：伯明翰新街站至什鲁斯伯里站
/817D517B4D435D8E30E6749735759958,1J15: Birmingham International to Aberystwyth,1J15：伯明翰国际机场开往阿伯里斯特威斯
/716FA225474CD3883F4BA4B7A96C98E0,1J16: Birmingham New Street to Shrewsbury,1J16：伯明翰新街站至什鲁斯伯里站
/0F94175B4F64FB1E1EF164A05DCF353D,1J18: Birmingham New Street to Shrewsbury,1J18：伯明翰新街站至什鲁斯伯里站
/5F33F6C7453C6984EFC30DACC3E9F37C,1J19: Birmingham International to Aberystwyth,1J19：伯明翰国际机场飞往阿伯里斯特威斯
/3E277F2A4DFB919A8F9E038D77EECC10,1J20: Birmingham New Street to Shrewsbury,1J20：伯明翰新街站至什鲁斯伯里站
/793FDB814E9FE758D8DDF09710BFF00E,1J22: Birmingham New Street to Shrewsbury,1J22：伯明翰新街站至什鲁斯伯里站
/39E62F1443E8A5C3640BEB8E5469666C,1J23: Birmingham International to Aberystwyth,1J23：伯明翰国际机场开往阿伯里斯特威斯
/A26AE63E4AD956891B3C4C8DB2EBDE74,1J24: Birmingham New Street to Shrewsbury,1J24：伯明翰新街站至什鲁斯伯里站
/40C5947B4A6FA6A8338D2FB29ECC370C,1J26: Birmingham New Street to Shrewsbury,1J26：伯明翰新街站至什鲁斯伯里站
/5A8E06814FA353E0F5B30A80859A8FA2,1J27: Birmingham International to Aberystwyth,1J27：伯明翰国际机场开往阿伯里斯特威斯
/8058827149C9A547A833E297277B6B4D,1J28: Birmingham New Street to Shrewsbury,1J28：伯明翰新街站至什鲁斯伯里站
/47DC49BD4ACD41740FE45D87BE63B03B,1J30: Birmingham New Street to Shrewsbury,1J30：伯明翰新街站至什鲁斯伯里站
/9A7D7C6A4FDC11175534E89F741FFF96,1J31: Birmingham International to Aberystwyth,1J31：伯明翰国际机场开往阿伯里斯特威斯
/94D6C14344CD17D68C93A0BDF95404A7,1J32: Birmingham New Street to Shrewsbury,1J32：伯明翰新街站至什鲁斯伯里站
/CED48A3C4CD49380B07A58B4EEAF0513,1J50: Birmingham New Street to Shrewsbury,1J50：伯明翰新街站至什鲁斯伯里站
/0F3E81DF4E2828B9862E3AB00C147CBD,1J52: Birmingham New Street to Shrewsbury,1J52：伯明翰新街站至什鲁斯伯里站
/6BF9B45742B7F1D38D35EF8B6645815B,1J54: Birmingham New Street to Shrewsbury,1J54：伯明翰新街站至什鲁斯伯里站
/B48E526C41EC34A756EC7F8EC20EFC62,1J56: Birmingham New Street to Shrewsbury,1J56：伯明翰新街站至什鲁斯伯里站
/D0DC8C7D49141CFB7DBB2B86B71739BB,1J58: Birmingham New Street to Shrewsbury,1J58：伯明翰新街站至什鲁斯伯里站
/8AA98DFA49088BB534F4F29C9485CF13,1J60: Birmingham New Street to Shrewsbury,1J60：伯明翰新街站至什鲁斯伯里站
/776BDB6644C7C87557FB99BAD7C4289E,1J62: Birmingham New Street to Shrewsbury,1J62：伯明翰新街站至什鲁斯伯里站
/A9E006974ADA811F7F8F8AB3B6A74EE8,1J64: Birmingham New Street to Shrewsbury,1J64：伯明翰新街站至什鲁斯伯里站
/9AE63C5C44D011ECD92D9689395BA67F,1J66: Birmingham New Street to Shrewsbury,1J66：伯明翰新街站至什鲁斯伯里站
/6D23B891484F60632691FA82E0F011A9,1J68: Birmingham New Street to Shrewsbury,1J68：伯明翰新街站至什鲁斯伯里站
/7603630C400029464037AABE7CF066B4,1J71: Birmingham New Street to Shrewsbury,1J71：伯明翰新街站至什鲁斯伯里站
/1F07479F47B77F86F7EE9BB943408F7C,1K40: Birmingham New Street to Crewe,1K40：伯明翰新街至克鲁
/D8322B70472293D1694982B882857A8F,1K40: Birmingham New Street to Crewe,1K40：伯明翰新街至克鲁
/FFB4011245FE9A49DAE775A97C55144F,1K40: Birmingham New Street to Crewe,1K40：伯明翰新街至克鲁
/AEA4EF414A97D5551C633A99FFEDC0E3,1K42: Birmingham New Street to Crewe,1K42：伯明翰新街至克鲁
/7A2718BA403AAE615739709B58625A2C,1K44: Birmingham New Street to Crewe,1K44：伯明翰新街至克鲁
/D8A0661C4FAEBEFEECBB8BA6E26A60D8,1L69: Liverpool Lime Street to Birmingham New Street,1L69：利物浦莱姆街站至伯明翰新街站
/F6E3C59A412D56ABEA53E8B3DD448AA9,1L71: Liverpool Lime Street to Birmingham New Street,1L71：利物浦莱姆街站至伯明翰新街站
/8F5624B24BCB98B50973109135C7F2AB,1L73: Liverpool Lime Street to Birmingham New Street,1L73：利物浦莱姆街站至伯明翰新街站
/B7FFEE5446DB00A4282C58BD071E8273,1L75: Liverpool Lime Street to Birmingham New Street,1L75：利物浦莱姆街站至伯明翰新街站
/11A9531B42C1F02980C6489E6B50540A,1L77: Liverpool Lime Street to Birmingham New Street,1L77：利物浦莱姆街站至伯明翰新街站
/37B57D02469F29D06A37DF974FE0EDAF,1L79: Liverpool Lime Street to Birmingham New Street,1L79：利物浦莱姆街站至伯明翰新街站
/3F5B37B047880605ACFB27A7487F053A,1L81: Liverpool Lime Street to Birmingham New Street,1L81：利物浦莱姆街站至伯明翰新街站
/E82A06B442B4EFA9DF7364A3CB435477,1L83: Liverpool Lime Street to Birmingham New Street,1L83：利物浦莱姆街站至伯明翰新街站
/FB90582D46FF7D7D39C936A46CDC2FF3,1L85: Liverpool Lime Street to Birmingham New Street,1L85：利物浦莱姆街站至伯明翰新街站
/7B1F483A4BF32DA6717BA8A666CCCF80,1L87: Liverpool Lime Street to Birmingham New Street,1L87：利物浦莱姆街站至伯明翰新街站
/515CC7C64F0FF96FBF3B7D854CE50815,1L89: Liverpool Lime Street to Birmingham New Street,1L89：利物浦莱姆街站至伯明翰新街站
/9D0050EB405B7903FED866807C009130,1L91: Liverpool Lime Street to Birmingham New Street,1L91：利物浦莱姆街站至伯明翰新街站
/D804B26D40604A30F5DE94B971395870,1L93: Liverpool Lime Street to Birmingham New Street,1L93：利物浦莱姆街站至伯明翰新街站
/1E29A5764200287232D3BAAC6C257366,1M18: Southampton Central to Manchester Piccadilly,1M18：南安普顿中央车站至曼彻斯特皮卡迪利车站
/1B33C51B42195C88FAFC96B74528208B,1M21: Bristol Temple Meads to Manchester Piccadilly,1M21：布里斯托尔圣殿草地站至曼彻斯特皮卡迪利站
/18D718304967D6E644A3D1893F8EF75B,1M22: Southampton Central to Manchester Piccadilly,1M22：南安普顿中央车站至曼彻斯特皮卡迪利车站
/239E39AC4576DD88B4632AB5521F8A66,1M25: Cardiff Central to Manchester Piccadilly,1M25：卡迪夫中央车站至曼彻斯特皮卡迪利车站
/E5AB30EF4DB6830464C1CB94424FCC2B,1M26: Bournemouth to Manchester Piccadilly,1M26：伯恩茅斯至曼彻斯特皮卡迪利
/ACFA22F741945BF853AC11B87AB940C4,1M29: Paignton to Manchester Piccadilly,1M29：佩恩顿至曼彻斯特皮卡迪利
