key,source,target
/44D2E2E248E209B907ED19B45683046F,CD 043,
/459638584A8892F4A1C0B58113B1F2BF,CD 043,
/B60375394A1914F3D028F89E608A05BD,CD 043,
/C8216F37437D7A2D388ECDB800BB567A,CD 043 N1,
/708A42564F0ADBDD2CC8A1AEF49505AA,CD 043 N2,
/A33053D04B382C597ACDA1AE2D671554,CD 043 Red,
/3332774F496652705FD64AA1E62DDA72,Climb Under,
/3BCD631A47587DB27C2148BDFCD00D94,Climb Under,
/85F9B24F4DB40578E8FAC48ECBE9D38F,Climb Under,
/B695B2744DF0B7661FE41CAF15A4CEA3,Climb Under,
/5632ACC54E326B702B27F082882DBFAD,Climb up,
/B60EDDED4D5437AFF09FA7AA5A842E4E,Climb up,
/C780C0EA443359AF836732802D5A39F6,Climb up,
/1AEED7A9461FF9ADB15FD08771B0F200,Closed,
/527198A44FC9012853DBF782AFD9F44F,Coach Heating Off,
/D58FF41541FA12084F24C0B6B9997611,Coach Heating On,
/5814CCD143381B2CA74046A6671F1F25,Coach Lights Half,
/5F9372274CC3C1DC13AEB6B9DF287F35,Coach Lights Off,
/6A562B61450166B4CA1D518D80CBEE9B,Coach Lights On,
/FE320DA646997EBB8B164FBB7AFA3C29,Consumption,
/658396194123A4912AB070B96175280F,Coupler,
/71F79C5B43F3D793459DBD8CC6ED2E9B,Coupler,
/A9E020EF4E99F0260FCC1B9BBE04E851,Distributor Cut-Off,
/5729579449FFBC2AD112688BAC46904B,Distributor Release Valve,
/E501050943F94812102C9198B832ACC6,Distributor Release Valve,
/2A5A683F47DD06C406E92382F517F81A,Door Open/Close,
/348BC25141CF989FDF5752B077A45F33,Door Open/Close,
/4D8C4E4146ED47F4F7FE2CA3398827B2,Door Open/Close,
/CA95F8D3493AF1DFFAA377BD62B6DFC7,Door Open/Close,
/1E23798D425AF924D621739AB3511BAD,Emergency Lights,
/50E1D7CF4E4EC49C2649AE8F7F245BA3,End Of Train Device,
/974143D1476AB6DC2102F8A8533157CF,End Of Train Device,
/E217E3E14EF4AADBE2B0C9A2F41C7F56,End Of Train Device,
/EC2488D94EB6A2FEBA061AA8E32C098F,End Of Train Device,
/6EA97B7E4BD2F5CD7C4A819E24590A4E,Gangway cross,
/D6ABA5AB442163E62C894AA348D3B7F7,Gangway cross,
/4B7BA01641F409D0571A3EA1199CB61A,HandBrake,
/7953C3054EB1BB18FB2B0383C886A193,Heating,
/2BCEEC4B42238928A7446BA6A2CCADE5,Liberec - Stará Paka,
/CE70A2AD4D9BC1E07ABD50BFE150900C,Liberec - Stará Paka,
/EDFAB3FF4F73C219E97C0E9B3A9D92E0,Liberec - Stará Paka,
/EECED7314CC062AE99A0D7BB568BDC74,Liberec - Stará Paka,
/485C70554D33456851C55181D1F195E0,Open,
/B18A715B4A1CBE10C5D6AE8E1EC1FFFD,Passenger,
/B099A8F14267DB3700C9B6AA90C658D3,RTO Door,
/DDE730424BDCE563360E0388D4431B9A,Release,
/FD7749424684F72FF346C88DAE245AC1,Release,
/31E5037D4010F936AA15F3A9E77AD6E0,Sit in Seat,
/1954DD3249FB76ACC195A9BFC1059575,Tail Light,
/1F2BAD6F487D52381D7819AE47815B7F,Tail Light,
/515D38CE42E377537D530DA50F7E84AA,Tail Light,
/623483324A41FB4EAD2F4DBE08E7EF4A,Tail Light,
/E2D8F4224247A5737BA4EC83A11F09A0,Test Lights,
/11994A554079239E31A1E19C151A1CB0,Toggle EOTD,
/2C1479574DB9620F05710CBE9B714FEB,Toggle EOTD,
/5382E5CF4E9BC2FBA6A08AB1D6C2FF03,Toggle EOTD,
/C44A93F44CFFFF4283FF3DAA851E1F82,Toggle EOTD,
/0695EC67419E4D78A3492A89F21ED312,Toggle Open/Close,
/36C4897F40853852148FC3904EF100D0,Toggle Open/Close,
/7BFEDAC8413E3700EE570993EBE97974,Toggle Open/Close,
/D183921F4FB384D8A3C77098F6355730,Toggle Open/Close,
/D7B423B74F5C8F8D955F37B5F9D65196,Train Heating Off,
/BD88C2D94C5B83105F55B49DCD83B104,Train Lights On,
/FED5C5C6457EC5FFF14CEB81998B25FF,Train Lights On,
/C7EE1E7B461CFCD4B32513B9416ECEC8,Voltmeter,
/0AA8F3ED4E22DE4BF73CFBAA89BAAA94,{Tertiary},
/172315F343A90D6D287F27ACE11DC4C0,{Tertiary},
/2CF1F6CC4E421D9C804078AB0D8429D5,{Tertiary},
/5A6A7CC14935FC90465DB2ADB4A24657,{Tertiary},
/68ED7CE549A05EBEC17AE2AE281A5BA6,{Tertiary},
/EA1A0EAB4FEEBD5519E8CFB6D2358BA6,{Tertiary},
