key,source,target
/1B83EDA145CFF1411F9950B19C9248F6,Climb Down,
/67DFE15D49AA630CA6F6AA9810F8CD45,Climb Down,
/01CB3A7F4C897B3DA5B02B9D8B69C7FE,Climb Under,
/02C5AA2946036E61DA44AFA0C173588E,Climb Under,
/1BF9758E48FCB31C12D7F69605997AB8,Climb Under,
/C8BC236B469706E2CBC4B6BECA923EEB,Climb Under,
/6C6F8A7D431BE7DA17613D9F8E8A14E3,Climb Up,
/959F0F804BBE81301188899B58E2726C,Climb Up,
/D75C481145633502B2E7F795AA8589EA,Climb Up,
/EB47CB964767979618B6A289E75C9F0C,Climb Up,
/F18B144945D9575F2919DB94D130D682,Closed,
/04E5350B42DF7A77A4B0319FE9912B28,Coupler,
/0E34389E4AB6515D526173A05A2B76C5,Coupler,
/9FE30C2649520C0DA4FF9AADD88DFEAC,Distributor Cut-Off,
/1A00B12D4F70103FA1CB6FB8FCCEF97E,Distributor Release Valve,
/73DC1D634C7535696CE74EAED7845B24,Distributor Release Valve,
/9ECF0A2549D021EF5064B5A0BAC8172A,Fully Applied,
/A843D7F649265B9EA45A399CC17EEE8E,G,
/E9EEAE984EC2A667EF47BC8C861A75DE,G/P Lever,
/8A42DD0449116ED22716F49A6F7D8A23,Handbrake,
/D3FB00DB4D461ED02581289FC5C883EF,Laaers 560,
/286EC2CA4BDF464E393767AAA436BF86,Laaers 560 DB,
/5EBE47014F7A6204B018B0BA928EC299,Laaers 560 DB,
/64938853436D3ADDF030818F5768D09E,Laaers 560 DB,
/6B78E2164C172BC9D3CA13A99F03CD84,Laaers 560 DB,
/E311A31349E01941A7E940BB4F7588F4,Open,
/3173E81E4407A9893A60C7B525AB5B40,P,
/9B07CE4D4667B39BD633CFA52BF06524,Ramp,
/DA4CE951415DD62222EC33BE02747664,Ramp,
/FECA232E49BEE632B360AA8AF09932FC,Ramp,
/4BDCCE2047DB4017A8580BB54ED79FE7,Release,
/4EFA451645A96BA135D0819BE0D1FBB0,Release,
/1A9178A54B9866E1B0FAD79C8A84790E,Released,
/7A77BA9549FE7CA5E50D9A85A691C5B3,Stand On Step,
/651A4E20489CDAA8453D3BAAD657D46F,Step (Front Right),
/B892A4024A1A1B997CF30FBBF18D5473,Train Sim World,
/DF7D17824207D3C935061F949F957501,Train Sim World,
/2D057FF64F2C3BF94FA6C39F12579E0A,{Tertiary} Applied,
/458B921B4B599A568C6FC794A6CB9B66,{Tertiary} Applied,
/8A2ACC1F420ED47959C2238A52590FAF,{Tertiary} Applied,
