key,source,target
/2EE4DA5E4B4A1AC21399FAA8B8FC7643,CDC Roos,CDC Roos
/2B15703D4BC0BCB5BB16BC95962C474B,Climb Under,爬到下方
/6F1D8AB54EFFFADD80F9A091A5772009,Climb Under,爬到下方
/87BA8EF84576A6CA07B44C82E0C25DB8,Climb Under,爬到下方
/898D2335452975667198AD9FD5FB9ACD,Climb Under,爬到下方
/A0A3BD9F4E2B2EE74B2AE19285608810,Climb Under,爬到下方
/A0DA37DF42E4077E924F0A9127DA28D1,Climb Under,爬到下方
/AEB7C50442AB1A8703E081864F011EC3,Climb Under,爬到下方
/EF4C0C75427DA18064C7A0B7E45E4B5C,Climb Under,爬到下方
/FAE5CB39425C76AAEBAD0CB60209E31F,Closed,关闭
/23A6BE1D43723B93D05CA6B7BB745572,Coupler,车钩
/D06B11FA46D121970AA7CCB01FFF1680,Distributor Cut-Off,分配阀截止阀
/0645612748D31B87BCECB08565E29057,Distributor Release Valve,分配阀排风阀
/378437D5427CC4A3DBAD07B8DBACA303,Distributor Release Valve,分配阀排风阀
/24D89E014E8781575D4E38B47057DB5D,G,G 货运模式
/B1DACEB34FB9879EC75B44A94B8A3A9C,G/P Lever,G/P 转换杆
/41CA96F5449E7EABD3A0EAB6FFA929B4,Open,打开
/A0E7EFDF42E57FF65C1EE3A6B949DFDF,P,P 客运模式
/93A489414EE9802130A4AE9D15C982C0,Release,缓解
/AA33E7554702DB52DBEF309AAFC9A338,Release,缓解
/2BBF60194D8B9FE8B972AA81E4013E8C,Roos 207.3,Roos 207.3
/5A6A7CC14935FC90465DB2ADB4A24657,{Tertiary},{Tertiary}
/75960CFC45535B02E9E94A85F9D1A576,{Tertiary},{Tertiary}
/7C5969C845A64044C541028FE059487E,{Tertiary},{Tertiary}
/8E3DF526443EA243BD45589519FB93D0,{Tertiary},{Tertiary}
/BAE42CBB4E831674BD4ACBA5072AD44F,{Tertiary},{Tertiary}
/DEF7126441F64885AC8DB78C5AF63C68,{Tertiary},{Tertiary}
