key,source,target
/6AD308DE4024FC6DC76B6FAF6DBA147A,CDC Zaes,CDC Zaes
/081B0FFD4A74B7CD92F1A5BE1FCED355,Climb Under,爬到车下
/0A881ADE4CFF37F578D521A2126D8177,Climb Under,爬到车下
/4E1C79EF495BEC99A650FA9BD050E112,Climb Under,爬到车下
/69DC52694E11F3239E5524BA6467842D,Climb Under,爬到车下
/78FD54B344CEE1B6BBC3F4AB01F40902,Climb Under,爬到车下
/8B1A79FD4DB87287CCD076BE11A76D13,Climb Under,爬到车下
/CE38C562458C3EF4F9D58EB445B35837,Climb Under,爬到车下
/D585B95845C52C8D049C8FADC8D7501F,Climb Under,爬到车下
/6D60C8F24BC4EAE682B312B0B56388ED,Climb Up,爬上列车
/51C71D924AF615A126EF3CA66657E86D,Closed,关闭
/CB4F772B4FDE534AF9E730A40C0E1734,Coupler,车钩
/E2A5132545F4C23C0029BD87AE0326EE,Coupler,车钩
/1B4A799C41C79E98D41C67BFD1EAD768,Distributor Cut-Off,分配阀隔断
/3135471A43CC5F71FED30C89DE625220,Distributor Load Valve,分配阀负荷阀
/C0DF460445A226BE60480C8A7DCF982C,Distributor Release Valve,分配阀缓解阀
/DD4B7B9F466E8A00C652CAA1DA49B432,Distributor Release Valve,分配阀缓解阀
/6E1538BD4E56B01D66EAF3A8F3BC80EA,Empty,空车
/CFFFCD8347AAD5C6200D23AC104D6CEC,G,货运
/62977355413C67C8DD2C89B381EB38AE,G/P Lever,G/P 转换把手
/FD938EB442EA46B30D58179E88D7C0D9,Loaded,重车
/1013665742B894D07AFBA3B37436010E,Open,开启
/4E032563480D8FBB227A7688B2E7AA91,P,客运
/52B3BCBB46892659C2F8F19167BD408B,Release,缓解
/CFCE89D34A4E6859A25260841AAB18CE,Release,缓解
/921964BF44D9B272D0E9E0876CD104A0,Zaes 343.2,Zaes 343.2
/2D64B61E4AC659E84B25D0BC4019D393,{Tertiary},第三级
/5A6A7CC14935FC90465DB2ADB4A24657,{Tertiary},第三级
/75E6A4484C1B275B56473E9239180D7C,{Tertiary},第三级
/A02BB3D9432CDE8BB755E8A0443C2264,{Tertiary},第三级
/B56A10EB45EAC238BCCB1A8D9B3C058F,{Tertiary},第三级
/D498553349677A67D9D9C5A44A79123F,{Tertiary},第三级
