key,source,target
/74181EE147023EAE155881B7AC19AFA5,115.290,
/8B86AA9B4E0D2AE8F0EEC0A9B37944D0,115.383,
/841243C647B1A9AE1AB15A9E5A4266A5,"1260 to depot, hi! Where are we going?",
/DAA1C47B4B65D6D419E517BA0966FD43,"1260, I have left the second coach in the hall, will we do refueling today?",
/0940AE844A380C6D99650183917D4229,15x Eas,
/040A0D994EF72D23DD11689A640E4824,15x Roos [Wood],
/55DD31864444D64A1CA9B182A55EB1D1,1x Eas,
/7A124FDD4BC4907A1C31D7A6372B2F36,1x Eas [Coal],
/AD9CB6934B45D103F90382A25EC8B632,1x Eas [Wood],
/0B281F6745491F3A4F1592A6A6E1EBD6,1x Habbiins,
/9AE1AD1845092EC3181B1EAD22984EEC,1x Roos [Wood],
/7DEF37A042471AAE650B48B462C414BF,20x Roos [Wood],
/1CBC06FF4441A7A01843FF9854A9D1C9,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,
/4BB8F33A48E8815A8E8856B85562AE0D,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,
/644D926346020F068F4936A6083149FB,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,
/B51C4ED942EA71E23E068D89AD086913,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,
/3009EAF442C1906A4E55DE8AEAFA2442,2x CD 750 + 15x Roos [Wood],
/9344729147CEADCE59E70C91DDEC8ADA,2x CD 750 + 15x Roos [Wood],
/9438EB4B40B7FCC29A7BA7932A648A02,2x CD 750 + 15x Roos [Wood],
/96C7B83C4ADCF9BEEE4D628EF7C3E570,2x CD 750 + 15x Roos [Wood],
/8028A5284C6DFDEFAE94599BE203D774,2x CD 750 + 15x Zaes,
/87C58E6A48700DAB0E772DA323A4158C,2x CD 750 + 15x Zaes,
/BDE611BC4CC7797198F63C8A540AEEDF,2x CD 750 + 15x Zaes,
/E286C80B4ABAEF52B7DCBABC48FD48DB,2x CD 750 + 15x Zaes,
/7BE071504ED3CD163C4003B66521A8F4,2x CD 750 + 32x Laaers,
/9514691343B8E5B0CFE7BBA10A672D2A,2x CD 750 + 32x Laaers,
/A878785D46050DFABB42EAB6A0C530AC,2x CD 750 + 32x Laaers,
/C6949DF04E5D44066483B5BC76A34846,2x CD 750 + 32x Laaers,
/8BF6D30F40646F940937F18B737192AC,2x CD 750 + 32x Laaers [Loaded],
/BF1A13B94BAB5C1FC0D08F866BD598CC,2x CD 750 + 32x Laaers [Loaded],
/DEA121EB49B9FBE8571811A20F678B41,2x CD 750 + 32x Laaers [Loaded],
/E782311C45279DE1C1EABCA2B38A7CAD,2x CD 750 + 32x Laaers [Loaded],
/114D1BEF4CCF521DD85ACB85C97A92B8,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 3x Eas + 3x Zaes + 3x Habbiins,
/238B6DB045CE9B72B26A5A83AD7208B8,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 3x Eas + 3x Zaes + 3x Habbiins,
/3F9D58EA403341DB645050800D6EEFDC,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 3x Eas + 3x Zaes + 3x Habbiins,
/9D34D4EF4453C0F336D62CB7E26F795B,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 3x Eas + 3x Zaes + 3x Habbiins,
/2E49C1AD49B23807E5985C82F7E85CB3,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 5x Habbiins + 3x Eas + 3x Zaes + 3x Habbiins,
/A20357A340CB239EB8F7F79CC9A14B8A,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 5x Habbiins + 3x Eas + 3x Zaes + 3x Habbiins,
/AE1DEB6843DAEB76F22D968F74EE6AFA,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 5x Habbiins + 3x Eas + 3x Zaes + 3x Habbiins,
/CF0CF06344EA858041FC9A8B4911AE16,2x CD 750 + 3x Eas [Wood] + 5x Roos [Wood] + 5x Habbiins + 3x Eas + 3x Zaes + 3x Habbiins,
/35D2F15144BE351E1FDF09A99AF885CC,2x CD750 + 20x Zaes,
/9A2260F845D9DED343A1A3A2BC8AC6E8,2x CD750 + 20x Zaes,
/A80358F44EB9E864B19017A1A3E4BE96,2x CD750 + 20x Zaes,
/DE26C04145C8C6F6F99D938F4047AFF9,2x CD750 + 20x Zaes,
/467553C942C7D0C9CE286EA76144D021,2x Eas,
/8DF44D4C46845B0D09722CA4F76E50B4,2x Eas [Coal],
/511501C0454E5FC159F2FB88818D6E26,2x Habbiins,
/A83426334A84CFC4146D6BB61DC1A959,2x Zaes,
/E6AC919544BBF4159F5D9DA8C5378050,3x Eas,
/90A159804AE664504CE5C0ADEAEC68FD,3x Eas [Coal],
/89033E984C1BF6C2D272B8986F74CCBD,3x Eas [Wood],
/A134472E4ABAFFCEA6881D86B8F37A49,3x Habbiins,
/2098B6F8421E98E39445F6B745A4F423,3x Roos [Wood],
/60DA14134D98871FDE4A51A316813A35,3x Zaes,
/2567ED0D47D3E38AC312FF8F1F4C1B97,3x Zaes LTO,
/B76BE6FA4FD3ABBF63B1B8B6EAE03C4F,3x Zaes LTO,
/AC235D4B4A3E2908B5EA0BB51DE05F85,"4th shunting engine in Liberec speaking, we are going from dolní nádraží and need to go back to the station to track 18, we are approximately 190 meters long.",
