key,source,target
/0E6A1F784095ED9A7146A5A88D5439A7,0G20 1037 Crewe TMD (E) to Stafford,
/FFA5BC2844192EFD161BA1B5CB6C1DAC,0G95 1008 Kidderminster to Basford Hall,
/AD610D83432AF204DF15C8B525EC6D9F,0K21 1158 Stafford to Crewe TMD (E),
/A09D4C064B2FE6063C4AF68E14B58903,1A10 - Liverpool Lime Street to London Euston,
/FED3D18A484D5AE3973A45BF8EE07B92,1A11 - Manchester Piccadilly to London Euston,
/07264AC54411922D3DF3BEAE6266A9A5,1A11 0755 Manchester Picc to Euston,
/AE961BD943256B12530E7DBEC7BC5AC4,1A12 - Manchester Piccadilly to London Euston,
/EAD6688847FF53D889EE61A947EB5446,1A12 - Manchester Piccadilly to London Euston,
/0863B6F2422CA4DB541C06BFB52E7675,1A14 - Holyhead to London Euston,
/C5628B4F40C47470A9EC6683CEEC27E9,1A14 - Holyhead to London Euston,
/B07FC5C4430C9D1BB73A5384CAAD8032,1A14 0648 Holyhead to Euston,
/CBD5F9BE45300570FC7E388F5B44B8AD,1A15 - Manchester Piccadilly to London Euston,
/4452906C46BC0E87804D71844C7EA1FF,1A16 - Liverpool Lime Street to London Euston,
/06BF8D554239048C3789AD8F4E6C15F2,1A17 - Birmingham New Street to London Euston,
/3E3E888E408AD0BC14FA1E81A53FAD3F,1A17 - Manchester Piccadilly to London Euston,
/A2537B554E94B7D8FED3BC80A2718462,1A17 0855 Manchester Picc to Euston,
/75F1A26C4D2E8630AADC45BF5A76A6F3,1A18 - Manchester Piccadilly to London Euston,
/CA3850F94F508E10982C9A943048A533,1A18 - Manchester Piccadilly to London Euston,
/22CDA6A94BAC636BB562F79CD70F76FF,1A20 - Chester to London Euston,
/F5C8EE9F4B4EB55B153480934E274FF1,1A20 - Chester to London Euston,
/2802E4554183577CBEF0FB869A49C657,1A20 0932 Chester to Euston,
/50EF7CD84076E5B1AF7322811EA10CD5,1A21 - Manchester Piccadilly to London Euston,
/09B6851E4A5E775A0D196C852809670C,1A22 - Liverpool Lime Street to London Euston,
/8FE74F524905CCE935E00EB938DF391A,1A22 - Manchester Piccadilly to London Euston,
/F8BF59AC40A8558F10E53CAA9031C70F,1A23 - Manchester Piccadilly to London Euston,
/C66036F545682F532EC68C98188766F7,1A23 0955 Manchester Picc to Euston,
/888F7AF046294320F7168793F9212467,1A24 - Manchester Piccadilly to London Euston,
/DCAECA704C4DA0FADB6E0686B04860B8,1A24 - Manchester Piccadilly to London Euston,
/C389EECD46F6318F7AFAC3BC6D373D12,1A26 -  Crewe to London Euston,
/E59AF4884F93E79A54DBA486237DF576,1A26 -  Crewe to London Euston,
/B6551FA54923442CE5C14C8C8C21AE26,1A26 - BLOCKED AT CAMDEN,
/9D129AF049344168A60782950083C916,1A26 - Blocked at Camden,
/6C8EE96B4B8773F08E3DC4971AE3198A,1A26 0853 Holyhead to Euston,
/68343C624F87EB5705B9179386DF9520,1A26 Holyhead to London Euston,
/087EA5714D79EE64FC6537952B18BA2C,1A28 - Liverpool Lime Street to London Euston,
/7FCA7AAF42A3AB415014C5BB0540B526,1A28 - Liverpool Lime Street to London Euston,
/DD04C60A45B4DCA83A0E2F9119723F30,1A29 - Manchester Piccadilly to London Euston,
/E2477F5241DDCE7539DDC0A05957CABF,1A29 1055 Manchester Picc to Euston,
/41BDB9D64DAC4F840BF2C2837FA73D8F,1A30 - Manchester Piccadilly to London Euston,
/BD7870514FDB7E34BEAC6A81B0FA5889,1A30 - Manchester Piccadilly to London Euston,
/0A91A4304B4FB891AF1C109907119C0F,1A32 - Chester to London Euston,
/E3AF9EAD4461751D67BF008B0E9BD0A8,1A32 - Chester to London Euston,
/0B2D1A8442702B426DEEAF8515365E5A,1A32 1132 Chester to Euston,
/FFCCB29847F5FE566E93A1A64BCFEDAA,1A32 Chester to London Euston,
/A5F1E71A4E575C31F5D4BFAE77CE5158,1A33 - Manchester Piccadilly to London Euston,
/A86A401C490B21C86105E69C57D99CF1,1A33 Manchester Piccadilly to London Euston,
/398695C54642EB1033CD5D9141D27AEB,1A34 - Liverpool Lime Street to London Euston,
/CF40FAA149058D35B4FB848150C5296E,1A34 - Liverpool Lime Street to London Euston,
/BF255DE146392D8BD5404E951ED57AE9,1A34 Liverpool Lime Street to London Euston,
/BA77C2504A21BAC5F3D946B6077401DE,1A35 - Manchester Piccadilly to London Euston,
/C8F4B73D4A8C03475D226B8E8C1FAFF2,1A35 1155 Manchester Picc to Euston,
/5F7C0EAB4E7FF248488E1EBFAB7472EE,1A35 Manchester Piccadilly to London Euston,
/929EA84D4A8A8B0CB5B86EB22695B45A,1A36 - Manchester Piccadilly to London Euston,
/CBE0276D4A8E3EE871C833BF89581F6F,1A36 -Manchester Piccadilly to London Euston,
/326AF4CA46B968C76CE67E95DD958CFA,1A36 Manchester Piccadilly to London Euston,
/7D66E6B64C5932EEF524DCAEA65D26A5,1A38 - Chester to London Euston,
/A0C598C84389102B6206BA817592E9FC,1A38 - Chester to London Euston,
/5B9D5C414289AD48594FC29074873140,1A38 1232 Chester to Euston,
/9E8B362A4A35BBDF0CF15689905ED799,1A38 Manchester Piccadilly to London Euston,
/4EB4B6314D157FBCBEB9BF9D8E0944DE,1A39 - Manchester Piccadilly to London Euston,
/FF8799E64888516F693922920BE79C34,1A41 - Manchester Piccadilly to London Euston,
/62CF8921443384F62E4C37B6F4033640,1A41 1255 Manchester Picc to Euston,
/176ED5B545ED9C89F29F45B1242E4280,1A44 - Chester to London Euston,
/9C16BCBB41794B9577ABC2AE00C0A42E,1A44 - Chester to London Euston,
/A448670C43DE19BBD32C279E21F977E9,1A44 1332 Chester to Euston,
/BD5A614B40CB57B303240EA498C68613,1A45 - Manchester Piccadilly to London Euston,
/144A24DD4FD984E5CCBD61B27E41324E,1A46 - Liverpool Lime Street to London Euston,
/D6D9B81C471E42E04FA543B00D504533,1A47 - Manchester Piccadilly to London Euston,
/822FA8764B220F7033038DB35A1DC92C,1A47 1355 Manchester Picc to Euston,
/2C1BEC1A4055BBE238C07A9541621516,1A48 - Manchester Piccadilly to London Euston,
/61DF61154883D12F499AAFB782210F26,1A48 - Manchester Piccadilly to London Euston,
/734461B746459AB9F1E9FABAD217F0F6,1A50 - Holyhead to London Euston,
/84C8AA4449DC5366012229978D9F1CC9,1A50 - Holyhead to London Euston,
/6A7EA06C453CCBAFBB50CE8D39DD265C,1A50 1248 Holyhead to Euston,
/B55005AA4F7B4CBC421479B4F147C22F,1A51 - Manchester Piccadilly to London Euston,
/5CDF2AE945A827F6EDFDCF97F885A182,1A52 - Liverpool Lime Street to London Euston,
/B160372745FA37F4DB7B67A0B3B3C365,1A53 - Manchester Piccadilly to London Euston,
/9AFA88FA48F46153C95E4DB1A513BB6A,1A53 1455 Manchester Picc to Euston,
/72651B6C467426889B3BFBA43C4E20BB,1A54 - Manchester Piccadilly to London Euston,
/771945034FA2CC54C04E18B69D79F6B9,1A54 -Manchester Piccadilly to London Euston,
/B080824440AF221DA4C86E924E8B806E,1A56 - Chester to London Euston,
/BF4980D847D4671C8A071BA6B469BD48,1A56 - Chester to London Euston,
/AE6007BE4455F82A5C85CFAEF2662F7B,1A56 1532 Chester to Euston,
/7178680D45F3D9208A1BF7B3C3F16289,1A57 - Manchester Piccadilly to London Euston,
/D24F885C489FFA67ABD36FB0F105ACE1,1A58 - Liverpool Lime Street to London Euston,
/C6AD825C421B546DFE6CDEAE585C3285,1A58 - Manchester Piccadilly to London Euston,
/03155EB443B4EBEBFA5B53BF4C336B24,1A59 1555 Manchester Picc to Euston,
/827F784448DF513F02AA1C8CED85C05E,1A60 - Manchester Piccadilly to London Euston,
/AB8AC0C3443E1B6A4DBAF39DAE61FE27,1A60 - Manchester Piccadilly to London Euston,
/154889FB47194D6ED725BDB23A33E38A,1A62 - Holyhead to London Euston,
/4E95AFA24BDA39824AC8B1A04BD14130,1A62 - Holyhead to London Euston,
/526EE5F7494B89A4450AB4B1F3098FDD,1A62 1448 Holyhead to Euston,
/3F00054B4F3BE88E94ECE782465E59CE,1A63 - Manchester Piccadilly to London Euston,
/2215ADDF4CDDADF370F6F182004CA70B,1A64 - Liverpool Lime Street to London Euston,
/ACFE691A48FDCCA75FDDA5B0712AD9AF,1A64 - Liverpool Lime Street to London Euston,
/A39DE8684E9F3DA23C31C59EC26A9F1C,1A65 - Manchester Piccadilly to London Euston,
/C9EB49F346DC2646EFB1C59297BB8AB6,1A65 1655 Manchester Picc to Euston,
/3531CD0E47CB3A499EBF3E9541E77AC0,1A66 - Manchester Piccadilly to London Euston,
/F1FD359E4E2198312C5922929C05A550,1A66 - Manchester Piccadilly to London Euston,
/2E1E67814A014AC98710F797B08753D3,1A68 - Chester to London Euston,
/F40799A6431EAA1DBF48799E70EC1877,1A68 - Chester to London Euston,
/4DD0E95C4B93E2E944CF8696A1253BDA,1A68 1732 Chester to Euston,
/DBEC7D644D198AAF60043CBBCDCD8CFA,1A69 - Manchester Piccadilly to London Euston,
/AED7BD934BB924EC6C928A9F13186B81,1A70 - Liverpool Lime Street to London Euston,
/4009B7694588A12435FEB3A84A6EE484,1A71 - Manchester Piccadilly to London Euston,
/2BEB7D9C441A1922532D06923EBBA28F,1A71 1755 Manchester Picc to Euston,
/C6477CD744F49038DD308EB59106965B,1A72 - Manchester Piccadilly to London Euston,
/DFA7624F4377B13BF9A65A8FD2DEDF7D,1A72 - Manchester Piccadilly to London Euston,
/3543C0B34E57AA537FDFB4A9C3D91F49,1A74 - Manchester Piccadilly to London Euston,
/B7C05B3B4C8E47FFC5904FA8A1F5D3A2,1A74 Manchester Piccadilly to London Euston,
/23FBF0D34984E02FBCB50D8AC99ABB92,1A75 Liverpool Lime Street to London Euston,
/9EA5E3A4472C0D80B5D76AB8801018D5,1A76 1855 Manchester Picc to Euston,
/8444E7194DCD0FE1852CF8BFA6657171,1A76 Manchester Piccadilly to London Euston,
/C17ED20C41121AD418A2A6AD75AE2A72,1A77 - Manchester Piccadilly to London Euston,
/D49FB2D44400960232053F8B48371A64,1A77 - Manchester Piccadilly to London Euston,
/F5ADFEA44C0103531E1C87BFD67619F2,1A77 Manchester Piccadilly to London Euston,
/F4E635FE4E44FB4FF2B6319336FA23C3,1A79 - Liverpool Lime Street to London Euston,
/258E3E5E40514A4136EEDCA7FC570AF1,1A80 - Manchester Piccadilly to London Euston,
/A35C12C1477EF57873ABD3B82EA008F2,1A80 - Manchester Piccadilly to London Euston,
/2B3A7805471393F395C772B95076AE52,1A80 1955 Manchester Picc to Euston,
/3E55CBE84824DC292F4751B5497BD7BE,1A81 - Manchester Piccadilly to London Euston,
/DA3BF8DA4F50CFCF4925FC81559207EA,1A81 - Manchester Piccadilly to London Euston,
/14C11FA04176C45374971391766A3254,1A82 - Liverpool Lime Street to London Euston,
/91D4F5CF43687C69B047F9845D4AA254,1A82 2051 Liverpool to Euston,
/F58E625C43E785553E8364B8252279D5,1A83 - Edinburgh to London Euston,
/45ADB022483FA67D44151DAEB7264449,1A83 - Manchester Piccadilly to London Euston,
/B5D13E064C5B41D1B79B299F90A70259,1B29 - Birmingham New Street to London Euston,
/16C607104AC859CFAEB47EAC09284C0F,1B32 - Birmingham New Street to London Euston,
/83571CE444834F0C7C99AEB3EF10A30F,1B35 - Birmingham New Street to London Euston,
/D815151448D02744904CA7B1B4C1284E,1B38 - Birmingham New Street to London Euston,
/850EEF584E99A19F83EF4796CC656435,1B41 - Birmingham New Street to London Euston,
/AF06331A486C636DE53909B4443CED91,1B47 - Manchester Piccadilly to London Euston,
/9F8293A14D410104055842BEBEFE1713,1B50 - Birmingham New Street to London Euston,
/21A883E048C7F59C4D4F93A867325B4E,1B54 - Birmingham New Street to London Euston,
