key,source,target
/0E6A1F784095ED9A7146A5A88D5439A7,0G20 1037 Crewe TMD (E) to Stafford,0G20 1037 克鲁机务段（东）至斯塔福德
/E6DB7B284DBFEA7B77ACD1A1BB1D65D5,0G20 1037 Crewe TMD (E) to Stafford,0G20 1037 克鲁机务段（东）至斯塔福德
/F9F3E7EA44211832FCE2F0A9B31C5ECF,0G95 1008 Kidderminster to Basford Hall,0G95 1008 基德明斯特至巴斯福德霍尔
/FFA5BC2844192EFD161BA1B5CB6C1DAC,0G95 1008 Kidderminster to Basford Hall,0G95 1008 基德明斯特至巴斯福德霍尔
/5DF9F4FB44EC48854700779D92C22DE2,0K21 1158 Stafford to Crewe TMD (E),0K21 1158 斯塔福德至克鲁机务段（东）
/AD610D83432AF204DF15C8B525EC6D9F,0K21 1158 Stafford to Crewe TMD (E),0K21 1158 斯塔福德至克鲁机务段（东）
/3E13AD324E4395FD1A48D6A487676D91,1A10 - Liverpool Lime Street to London Euston,1A10 - 从利物浦莱姆街站开往伦敦尤斯顿站
/A09D4C064B2FE6063C4AF68E14B58903,1A10 - Liverpool Lime Street to London Euston,1A10 - 从利物浦莱姆街站开往伦敦尤斯顿站
/5C2CA61941DE33D27AAB1281E414AB17,1A11 - Manchester Piccadilly to London Euston,1A11 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/5CD2DA5E428A5761BC08909516D00F69,1A11 - Manchester Piccadilly to London Euston,1A11 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/9CA221DE41F366662229C4905C1B0E07,1A11 - Manchester Piccadilly to London Euston,1A11 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/FED3D18A484D5AE3973A45BF8EE07B92,1A11 - Manchester Piccadilly to London Euston,1A11 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/07264AC54411922D3DF3BEAE6266A9A5,1A11 0755 Manchester Picc to Euston,1A11 0755 曼彻斯特皮卡迪利至尤斯顿站
/872AAC62472CA13BF5554282BE901126,1A11 0755 Manchester Picc to Euston,1A11 0755 曼彻斯特皮卡迪利至尤斯顿站
/8117F3974F71983295C49AAD8C809C27,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/AE961BD943256B12530E7DBEC7BC5AC4,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/E5A0E82848F0B2F67DC8FCA1EDE2757F,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/EAD6688847FF53D889EE61A947EB5446,1A12 - Manchester Piccadilly to London Euston,1A12 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/5FFFFC3B49F0E8498ACF1D808D973D79,1A13 - Liverpool Lime Street to London Euston,TBT
/F265E7F84708CFF9255C57B8706A847C,1A13 - Liverpool Lime Street to London Euston,TBT
/0863B6F2422CA4DB541C06BFB52E7675,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/99A4E16C422171D7DF40368CF61DA212,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/A232247B4F29CFEE0A7251B355FDEE97,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/C5628B4F40C47470A9EC6683CEEC27E9,1A14 - Holyhead to London Euston,1A14 - 霍利黑德至伦敦尤斯顿
/B07FC5C4430C9D1BB73A5384CAAD8032,1A14 0648 Holyhead to Euston,1A14 0648 霍利黑德至尤斯顿
/FEF7BCF9417E379BE720BCA3977EC1A5,1A14 0648 Holyhead to Euston,1A14 0648 霍利黑德至尤斯顿
/104F07EB4DAF9355D142B98F99700FC6,1A15 - Manchester Piccadilly to London Euston,1A15 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/15DD6D4040CC20188C8490B41812BF23,1A15 - Manchester Piccadilly to London Euston,1A15 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/4BFB049441F43EC38AC243B8B3DFBBEF,1A15 - Manchester Piccadilly to London Euston,1A15 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/CBD5F9BE45300570FC7E388F5B44B8AD,1A15 - Manchester Piccadilly to London Euston,1A15 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/03E8D5BD4AACF9BD331E089960732C60,1A16 - Liverpool Lime Street to London Euston,1A16 - 从利物浦莱姆街站开往伦敦尤斯顿站
/4452906C46BC0E87804D71844C7EA1FF,1A16 - Liverpool Lime Street to London Euston,1A16 - 从利物浦莱姆街站开往伦敦尤斯顿站
/06BF8D554239048C3789AD8F4E6C15F2,1A17 - Birmingham New Street to London Euston,1A17 - 伯明翰新街站至伦敦尤斯顿站
/EBECBB1147C7ED8D37EB278AB68ABE4A,1A17 - Birmingham New Street to London Euston,1A17 - 伯明翰新街站至伦敦尤斯顿站
/34FC55AC429B5585F992E88C78D15EBA,1A17 - Manchester Piccadilly to London Euston,1A17 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/38158C754B67D98BA067A8AA7BB6B8C5,1A17 - Manchester Piccadilly to London Euston,1A17 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/3E3E888E408AD0BC14FA1E81A53FAD3F,1A17 - Manchester Piccadilly to London Euston,1A17 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/B46EA1B643491E43725BB1ADFF27CDF7,1A17 - Manchester Piccadilly to London Euston,1A17 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/9B14607B49A0575F857CD8BFE6A12CC3,1A17 0855 Manchester Picc to Euston,1A17 0855 曼彻斯特皮卡迪利至尤斯顿站
/A2537B554E94B7D8FED3BC80A2718462,1A17 0855 Manchester Picc to Euston,1A17 0855 曼彻斯特皮卡迪利至尤斯顿站
/138FBE7C4B0E1118CA521BBE3021BD56,1A18 - Manchester Piccadilly to London Euston,1A18 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
/75F1A26C4D2E8630AADC45BF5A76A6F3,1A18 - Manchester Piccadilly to London Euston,1A18 - 曼彻斯特皮卡迪利站至伦敦尤斯顿站
