key,source,target
/5A0E8A6749EC083C4330DBA99D77081D,0E49: Crewe Gresty Bridge DRS to Daventry DRS,0E49: 克鲁格雷斯蒂桥 DRS - 达文特里 DRS
/9598D29A4141B078C437E9A5BA318187,0M30: Daventry to Rugby C.S (Part 1),0M30: 达文特里 - 拉格比客车整备所第 1 部分
/D6FB3F884EE1CD1DDFEF08B326A13DE8,0M30: Daventry to Rugby C.S (Part 2),0M30: 达文特里 - 拉格比客车整备所第 2 部分
/481C5B62450193F038D58FB580BA1D8E,0M30: Daventry to Rugby C.S (Part 3),0M30: 达文特里 - 拉格比客车整备所第 3 部分
/6D0A4F934AD54F6BCF38949D29604752,0M30: Daventry to Rugby C.S (Part 4),0M30: 达文特里 - 拉格比客车整备所第 4 部分
/D5A8D4ED48079F7640D6079452508DDF,0N42: Leicester L.I.P to Crewe South Yard (Part 1),0N42: 莱斯特机车整备所 - 克鲁南编组站第 1 部分
/09AFB7B44A5EE243C72A72956857D9AE,0N42: Leicester L.I.P to Crewe South Yard (Part 2),0N42: 莱斯特机车整备所 - 克鲁南编组站第 2 部分
/0C7441B547ABC8B6C7F8EEAC21D9EF96,0S46: Shunt Move (Part 1),0S46: 调车作业第 1 部分
/ED28A9DA4B0A3A86A76A60BBC0D17F73,0S46: Shunt Move (Part 2),0S46: 调车作业第 2 部分
/9A36BF2E4F75D38C6C9AE480EDF5958C,1A10: Liverpool Lime Street to London Euston,1A10: 利物浦莱姆街 - 伦敦尤斯顿
/8AC54C5C473F3375A9EED8B6BD132678,1A11: Manchester Piccadilly to London Euston,1A11: 曼彻斯特皮卡迪利 - 伦敦尤斯顿
/FFE638EB417DB2E0B2BEB48C58FF0479,1A12: Manchester Piccadilly to London Euston,1A12: 曼彻斯特皮卡迪利 - 伦敦尤斯顿
/FCC45C7241596B73BC4396A05CBCD014,1A13: Liverpool Lime Street to London Euston,1A13: 利物浦莱姆街 - 伦敦尤斯顿
/DA6BCBBC497F8FD5C3073DA60A7DDEF1,1A14: Holyhead to London Euston,1A14: 霍利黑德 - 伦敦尤斯顿
/F4A5FE564BAFF191BA14C6B91AA6630D,1A15: Manchester Piccadilly to London Euston,1A15: 曼彻斯特皮卡迪利 - 伦敦尤斯顿
/08B571CC42D0B3F6BDF274ABC3B93BA7,1A16: Liverpool Lime Street to London Euston,1A16: 利物浦莱姆街 - 伦敦尤斯顿
/9C973E6C4CD53D47A8C5299F073F1F41,1A17: Manchester Piccadilly to London Euston,1A17: 曼彻斯特皮卡迪利 - 伦敦尤斯顿
/4BCC299D4CD60A5C2B82628282749FD6,1A18: Manchester Piccadilly to London Euston,1A18: 曼彻斯特皮卡迪利 - 伦敦尤斯顿
/2A39496E43E44AAC1F475EAAA1D801D6,1A19: Liverpool Lime Street to London Euston,1A19: 利物浦莱姆街 - 伦敦尤斯顿
/7474A09B49F0FBA867FF6F92727BB3CC,1A20: Chester to London Euston,1A20: 切斯特 - 伦敦尤斯顿
