key,source,target
/23B2092340F9088011DC3180DCDB82AC,"'AFB' in OFF",
/6B3C299A4D0055B8F2180CA517D9A7B3,"'AFB' in OFF",
/6F612B214C1ECD61BFD54CA2FB19D490,"'AFB' in OFF",
/877070314B232C0A8DDCD2B0E665E908,"'Air Compressor' in ON",
/984A8EF945CA389E385B7BB0B823E85D,"'Air Compressor' in ON",
/401D9D7D444090D47D702293888D7DFC,"'Direct Brake' in HOLD",
/88A9FB0F44563694A19D29AD36B2F540,"'Direct Brake' in HOLD",
/99EE19E84B7FAD8D56832F97E6682EB2,"'Direct Brake' in HOLD",
/45229B454C22E9F641726592BA321962,"'LZB' in NORMAL OPERATION",
/9DD2EB58484617AF6EDB06A7DF872C7D,"'LZB' in NORMAL OPERATION",
/EB1162814CD4DEDF883DCF84692DE022,"'LZB' in NORMAL OPERATION",
/4F3AA2964C6B89DDC52FC382F4B6B998,"'Master & Instrument Lights' to ON",
/55E9C18744E1BAE185C5AB85CE9E5BD4,"'Master & Instrument Lights' to ON",
/EAA3994648979A2D300162A70BC70022,"'Master & Instrument Lights' to ON",
/F0AAE12C416A03EE02E33694AC32CABB,"'Master & Instrument Lights' to ON",
/4B7C3886415AA289C1EFE1A38FA909FD,"'Multiple Unit Protocol' in OFF",
/A6866F214ED08013450840A3AEF7E87C,"'Multiple Unit Protocol' in OFF",
/02702BC140FB49789B84408CE3B5F59D,"'NBÜ/ep Switch' in 0",
/ABCF374E43489D7964F119BAE9BB4494,"'NBÜ/ep Switch' in 0",
/D6023D4546EFA2E530FA35AB874C7158,"'NBÜ/ep Switch' in 0",
/79F013334E6F566B21A0C9985DEB5CF8,"'Pantograph' in AUTO",
/D8D12B0C47C0E781F8A000BFE98DA118,"'Pantograph' in AUTO",
/1FB5C460486C22BEF613C6884D61E8EE,"'Throttle' in OFF",
/50ED365D41E666A41DB7DD9ECC7158EE,"'Windshield Heating' to AUTO",
/26594763409B6319EC7A7CA8CD1C54AB,"-  Isolating only changes the behaviour on a logic lever
-  The system still has power
-  The system can technically still vent the brake pipe",
/548B13324CD945A17EAB339A36249FF7,1000Hz flashing,
/3479F10942B7DCA8F5BE0C99BF418019,103 units were built between 1997 and 2002. 20 locomotives were equiped with a package for passenger operations in the year 2000.,
/A48A46CC464B9BD2EC1B4898012C6357,103 units were built between 1997 and 2002. 20 locomotives were equiped with a package for passenger operations in the year 2000.,
/BF8D29DF45FD2A147FBC8B9B654775CF,> 1200t,
/7B8560C643FC88585ECE10839DD3BA54,> 800t,
/F04E4F7548D69E4FD84AE697BD30D92B,A freight loco sometimes has to be used elsewhere.,
/1CCAD42145C6895F0CDC879085EC1A06,A fully green indicator means that these brakes are released. In this case the pneumatic brakes on both bogies are released.,
/9320923D489501D9E5FDDFAB9BE81C18,A fully green indicator means that these brakes are released. In this case the pneumatic brakes on both bogies are released.,
/7409AB7042CB09BD34760FAFD6685126,A red indicator with a black dot in the middle signals fully applied brakes. In this case the parking brake is applied. If the black dot is not fully centered the brakes are only partially applied.,
/B13D1436463C4E2099FA6B877264E468,A red indicator with a black dot in the middle signals fully applied brakes. In this case the parking brake is applied. If the black dot is not fully centered the brakes are only partially applied.,
