key,source,target
/0C9592B54DF0C14ED18374A2ECB5D440,Angle Cock,
/06D7E64B4481C62302DA20BC5F68CE63,Brake Mode,
/49D3BB7F4F7CF5BFE18178AB1E474B75,Brake Pipe Gladhand,
/5A8D99E1430D39E4663E0B86FFE87450,Brake Pipe Gladhand,
/0C77633E4FC4A71AC4F71B983E7E8724,Brake Shoe,
/56D71D02493BDB7A2B329785B1C60A0F,Brake Shoe,
/6EEABD7B4098B7AC4BA1E8838391C318,Brake Shoe,
/76A7B5AE4B25E3C3FC1F46A37AB30A87,Brake Shoe,
/9AD1A5BB403DEF62ADF69B867FC16C21,Brake Shoe,
/AAC982C7400F57DE3C5B59812944CCC0,Brake Shoe,
/E6D9EAF24BE40ACAD12697B38179C721,Brake Shoe,
/FEF029EF41B9675318A2CFA4C482B829,Brake Shoe,
/B65426F3447885AC6A69F8B950E22EC7,CRG Zacns Expert,
/34B1A5A1430E706B540638A387E3B890,Climb Down,
/47AE2DA747C8FC3036F1D49A29B1BEEF,Climb Down,
/558FA33A4DA654FA2FD9719DA11F32E5,Climb Down,
/CF694A6642D7CE841F64778ED096A419,Climb Down,
/588C28114AFB5B7EB001EBA65C0670F0,Climb Under,
/60D16782438C8CE9256315B245296527,Climb Under,
/DB038908469E918EAC620788D178CFC3,Climb Under,
/DE79B3A445A39CA914E77C94B9C8000E,Climb Under,
/1FCCE9CA46F67AD48B579593089AAC56,Climb Up,
/7084597440DA50F3D796CA9A0E1F18D2,Climb Up,
/75DD3D4B41DA2B5D160CAEA8F0CD5F4D,Climb Up,
/B0B8590D486350381C35FAA8CE206439,Climb Up,
/6CE2098A4F77521DCE3061930C3C3AB0,Closed,
/ADBD66E742AB29FEC382E998FA2DF51D,Closed,
/DAEBA3B64EC13C6E076084B454B72185,Coupler Hook,
/DEBE4D234235B6A872C9E1808D79CA44,Coupler Hook,
/C19F9BA74087A3054D5931ADF42852EF,Coupler Screw,
/1549A8154D94F7F2B115CE9243D199BF,Distributor Cut-Off,
/91396AE346849A221FFF5596961C695F,Distributor Release Valve,
/6804811C4DBB44DC878B078BBDC1525C,Empty,
/C64F8D764813AF933056F68D7A7B9756,Empty/Loaded Changeover,
/86D914F84C4D13583E09B38C6DC9620E,Fully Open,
/38785F074B7DA5F57DC632B79C9A38F1,G,
/DE025BE64F2F2EB6B53C3F84C9BB78EB,Handbrake,
/0E4D44E34553139CDA3BFDA2C0FE6A43,Hit,
/6C7C357944F6508BF4A5A6ACA91CBA21,Hook,
/8CD0DFA748AA2FD70CEEDDAE28061173,Hook,
/E98DDE9142CF4D39655D15A313BF5258,Inserted,
/02855703441E7FFE8D4252B585ACA047,Kick,
/2740520546D1AFFA582C35AA106899B9,Kick,
/2CB3F7844F27FE712F00CDB2F9EF38CA,Kick,
/5AA8638248317E39B8F14BBEFCBC9D67,Kick,
/69BA3A014D3992DA4F35918CF9F4E9BB,Kick,
/75E5C07E4DA85FA586AF97BB1BCD965D,Kick,
/867720F74339A150999617BBDD4A6F8C,Kick,
/CC00F02144D081074B1522ADD82CCA9B,Kick,
/8CD010BA4A5DDDBB041D449AD6E0BE6C,Loaded,
/2C2DAF2F45E4F66A4DEC8DB19919DC5E,Open,
/BD61716149F73A133B863BA843E1D444,P,
/E61E7B7D4B271F9D45139A8C1A68A8EC,Partially Open,
/53259A6A4FE94D972C178F95F0D65CDF,Relax,
/85D0ED904C1598DF83D57ABA1A2335DC,Release,
/FA9E280F44267D34E10A4FAE9CEA5250,Removed,
/3E79BC564F6333C1BCFAB181C9C6CFDB,Stand On Step,
/AE64FE544975951649835095E3860F9D,Step,
/3C3A936D4C330C2C6D8B0598209AB601,Tighten,
/F43528B7487A587C8399D395F07066D4,Wheel,
/604480B943D6D5AB23167F9B2EEAC568,Zacns Expert,
/93C98423405B6EA06A10ACB7EDCD48E4,Zg2,
/5A6A7CC14935FC90465DB2ADB4A24657,{Tertiary},
/D815B40D433F8FAE7AFB6F90E3934BF0,{Tertiary},
/E044E42D4DAAE2240E005C9F25698924,{Tertiary},
/E81667F44CA8ACFEB715918CD62A3435,{Tertiary},
/EC630F6E48B6E2A394C93285D178D347,{Tertiary},
/F83832C6419E06D1F276E6A250303B27,{Tertiary},
