key,source,target
/0132703A4B534D8C446D8CA5CC7EE965,2597,2597
/20858DB940EEEC242CC1F3BC39C18807,Birchgrove,Birchgrove
/5EA9210E44592378CE071F82816D07FC,Birchgrove,贝茨格夫站
/B208684C44FB52FA85835DB3A0617838,Birchgrove,贝茨格夫站
/6AD78FB94B60E7C7362021B595D54FED,Birchgrove Station,贝茨格夫站
/6FFBBAE04B8B5D5B4AA268A8E6A3B279,Brickyard Siding 1,布里克亚德站 1 号侧线
/258E25784C4F204B13612A940EFBB563,Brickyard Siding 2,布里克亚德站 2 号侧线
/ABD195D447CBD5682CD212A026C4758D,CCC Leeks,卡迪夫城市通勤线韭葱
/A9DCC48C44FCB63061EB5EA15FBF37A9,CCC Love Spoon,卡迪夫城市通勤线爱情木勺
/9B6E0B9A42B62BBB22FF2281BF90D1DF,CCC Route Map,卡迪夫城市通勤线线路地图
/9ED1F01C44627BF980C480A4225EF78A,CCC Welsh Cakes,卡迪夫城市通勤线威尔士蛋糕
/0E62E7C84C8EC2C6DDF754BD3B45E82A,CF,CF
/173A063344C63E4CB329FA951B947C28,Call the lift,呼叫电梯
/23BA11424940C6CCA3DF2C901B628137,Call the lift,呼叫电梯
/5BA69C1343AD6FD68185EAB25E33DA8A,Call the lift,呼叫电梯
/926EF1BC4B7F31DBA14733B1B7D3389B,Call the lift,呼叫电梯
/CA9557124807CF97F49F819B9D72D423,Call the lift,呼叫电梯
/E697A36E4552EAF1D355A9AFDC285A95,Call the lift,呼叫电梯
/00A23F8F48D0272A61AD24B1BB4AD151,Canton Depot,坎顿车库
/9092500C4DF5D0AA78AF4D81FB0A8956,Canton Depot Shed Siding 10,坎顿车库机车棚 10 号侧线
/F07575BE4BC1F120DFDBFC95537E81FC,Canton Depot Shed Siding 11,坎顿车库机车棚 11 号侧线
/843CC42A46F9E7A3BD05B2B7AD154532,Canton Depot Shed Siding 4,坎顿车库机车棚 4 号侧线
/E405C44141A6E5B0E227ADA744909D75,Canton Depot Shed Siding 5,坎顿车库机车棚 5 号侧线
/3437F5384750B8A3A9AC56B974BE317F,Canton Depot Shed Siding 6,坎顿车库机车棚 6 号侧线
