key,source,target
/2FA4F6F94D0439C232D615AFB066E95A,18c,
/F038688F4F1FA73C4CE4B5B9A210B955,19c,
/FE13BEB64EDE3997EF1EFEBA16C49362,20c,
/36C5528B420388D54EC13099DA7EF543,21c,
/D7CA5EEA468CBCEB4D7FC996ACA4774B,22c,
/824F46004889C3B74B7B03BE953B71D2,23c,
/8859714A49613CB4025FA6BC1692A4F0,24c,
/2D3F5458486BE1AC9038709DEAF935E1,25c,
/7516CF40416A6BE8AFFABE824F8A860C,26c,
/0E0530A044683FAB9B72B4A8CB951447,27c,
/86B58E914BA52DD8E5B9CAAF4C477EAE,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,
/A30E62684AFA305C8BDF49B59F5006D8,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,
/BB766EBF4D9FE37D1748ADA2CDA530C5,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,
/F7FA94F149B222B20BB5F190A470288D,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,
/F14242A347602368E3EDB28A35E525F5,====,
/E6A57F874C0B999E6FADD894F0AFEDDB,======,
/FEA36E444EBCD215C0DA7E96B8221972,======,
/3C8CCC3549EE2D8C4FD6A6A2D0FF80F9,========,
/952DA3A346BE4C4EB3893AAB92A8FB66,================,
/0303D5C546BFB9BFEA799FB9813EB64E,====================,
/AE237164442572BBCE5518856EB5BB8C,====================,
/4A48910546D124A1C0FD838035302AA8,A Windshield Wiper appears to have become stuck.,
/E6F028AB47C5DF3656EBF89D927A8AB5,A passenger door has become stuck. Identify and manually operate the door to unstick it.,
/069C952E45B68183E8A84A8C8E3D29C9,AC,
/677E616D41181B62DAF3F7A4086ED1E1,AC,
/45937C344223370FA6FE3EA0F3037235,AC Mode,
/984B95734A3AAF0FA4971C952C5CA39B,AWS,
/7ED87FA7499ACAC108F1A58A3BB6B520,AWS Cut Out,
/C66CA5F844E8ADCBD1728BBD05C2E5C6,AWS Reset,
/CBD0198E45E57FCCC31A08A36C8F9D6D,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",
/53B5AFCD4C6796E90D33A8A935F33C02,Active,
/7774EE84496B70E4B1085EAA5C786B4D,Active,
/34D85D6B41DD9435A491E3BF0DDD5731,Adtranz - Bombardier,
/798E6E3B47CDE967EDF46AB1287FF91C,Adtranz - Bombardier,
/7FC84E5B4EF38BC6669C6E97ABA6876A,Adtranz - Bombardier,
/EC9FE316409A553F48E867A629395F4B,Adtranz - Bombardier,
/1AB561994656881DF86FE7B694DB3A9A,BP,
/286AD7AD46089D540FFD3E8EC282CEA7,Blind,
/A5E057364E114AF4C7DDC4A0F2CEBA70,Blind,
/36E915D24BF8518374B679995F077923,Both,
/A30A77984DDAC3683F5AF5BA34BB2766,B{BrakeText},
/22A836364BFDAC27EEC4F0AFC85D02E1,Cab Door Close,
/34829EF94B1D67F5605647AB7FD85A64,Cab Door Release,
/F640962640A0197E5E1D7CB2C996A2B3,Cab Door Release,
/26603C4A4733C860DB760FB3F0CDD6C4,Cab Lights,
/2CAFFE3545FEEFF74D6E0497EBC299F9,Cab Lights,
/827E279E4C20EA006D3D359C74B0C497,Cab Lights,
/1028B0F34B13CE10C18CDC836B41EB36,Cancel,
/FDF0A39347A34F6270B5C99EF922A559,Class 171 BR,
/3EDD195B4D245014095E53AC5BF61EB0,Class 171 DMCL,
/E52609FC46F22F38F5B5E999CCF405ED,Class 171 DMCL(W),
/96D85AD24F42B185769F02A9DBEF6038,Class 171 SN,
/A2B3E6104A4EEC8F3AA5F6ADD2850EFF,Class 171 SN,
/BFCC6E9A4A3279D33B0EA6984AE120D1,Class 171 SN,
/D25C82AD4895866245C48191F526CBFF,Class 171 SN,
/6B63B3A4420AF7DAB0B1DCB61EE3747C,Class 171/7 BR,
/EA55E14147C5D80F542119B7EDAAB3A8,Class 171/8 BR,
/569D34754BDDCABCB41D65A6950C8BEB,Closed,
/85563E7C4CCE14093CCF46A113A44611,Closed,
/04BA235C4C70C8DB39384EA726884BA0,Compressor Speed Up,
/DAC23A554CA9B3474F76D4B37CDA4F96,Confirm,
/61E4C06E4807899EDB26078966B6F647,Contact Signaller,
/BB32B96F43EBDAC12E4F5BB490B4B268,Contact Signaller,
/D3128A0843BDBC3F71D926A35DE5E54E,Contacting Signaller,
/0701BB414509A0713349FEB78C6674EE,Couple,
/CE1A262441D8436F53A3C48BDC557AEC,Coupled Test,
/425B124F4333C8E2219B5DB2E94BBEE2,Coupler,
/B54F701C4E9323064F2FA0A351CED457,Coupler,
/8265E35846E0698E1B38FF92038611A3,Cut-In,
/897406A348E891C8362274A253C4B653,Cut-In,
/935EB08F4B758C5869702BB98957C6E8,Cut-In,
/636829F44F0E8CCBF49DB2BC893E6C74,Cut-Out,
/878158A348B5AD60E745E2B330BF02DE,Cut-Out,
/8AD920EE47BCC591E0493AB2B3DA54C7,Cut-Out,
/629EAA8542F9D1A0731DCAAB67F4D582,DMCL_W,
/A54A0276437374EB55D4829465F1C94B,DRA,
/BACA9F314ED1AE3916D028BB4FC8D754,DRA,
/D3B5929244AA177468580D9E87A5763A,DSD,
/DE9F0E96481FF3C26BA04085556025E7,DSD Holdover,
/9CD92295497336D757E747AEBDB0FBD8,Day,
/5A227B6647D1EBDF99E931A8AE8E41CB,Day Back Up,
/997E6463438BF474B30CE183AB30A359,Day Running,
/01F99613400D3D15E285FBAEFD71F701,Decrease Brightness,
/4BC76E8D4BE37F97188DF59774B26DB2,Decrease Volume,
/5D5DD2FD4C116975A273308B19B47178,Deselect,
/22AC65EC4C3278F96B2B65A7FAE5DDE1,Diesel Multiple Unit,
/4C0F56224B6C2913FD043CBA0CC8DACF,Diesel Multiple Unit,
/BFA60B364A2E46A8CCF30DA1A52A1D9E,Diesel Multiple Unit,
/D1881C4A4FA1BA14AD94C2B8FAFBA8FA,Diesel Multiple Unit,
/163F4466410C2D6C3A7C8E998AA04393,Door Close,
/2A3BBD244B95A01E32C89987D1EFC0AB,Door Close,
/474F45764FBB20C7C00F1DADEF4E65F1,Door Close,
/55D2AAC1438D42B4241A41AE324C3F21,Door Close,
/5606654D4F0029CEB8797A9286F84E70,Door Close,
/6000D15E4397D91D033C128EB052B07F,Door Close,
/C584E992436EBE5424F4A4B1FD12807E,Door Close,
/D27AD7024827BC8922FF93B316198930,Door Close,
/72EBDB8C4F072A1D1550DFA070388857,Door Control,
/7BA4ECF3450B5529D8C34C881D879FD4,Door Control,
/10E7D0264B7F4DD2987BACBBD8D858D5,Door Deselect,
/316E45EE4473D997D37120BBB3C3D7DD,Door Deselect,
/322C7AC845399E207C408290D8572BCD,Door Deselect,
/14EE91C6409DD2F3B6632AA1B4A8E039,Door Open,
/51C5DB8F4420E3C679A1088091B07B41,Door Open,
/65436BFC43B969A99BC039A754D598D4,Door Open,
/6D7F8C144355C8D4FD4C718892629BE8,Door Open,
/7EB675C84B0A5E3CDA20608CEC0392DB,Door Open,
/9C0BB7B94209978D8B57BA918629565C,Door Open,
/9E0DC78040A4EC9955DB82B4D26365C5,Door Open,
/A2142EE244BC27F579F58B95FF83FD98,Door Open,
/A2AB08734C48DFA14147A7BAEF970C42,Door Open,
/A9917E3B4E602FE90EA5C38D17228E0F,Door Open,
/B318A4214AF427C838A852943C67ACBC,Door Open,
/EDB6AD9C49A51365F72C779EDED1CB0B,Door Open,
/C8FE335A4BDF48C7FAC8E5AD0B04AD26,Door Power,
/B84D0C114663A424B7DD068080CA8DA4,Door Release,
/289D9DD14434C4F292D5AFBAB9129FF2,Doors Close,
/2C22B14240D922DAA422D785BF42FE98,Doors Close,
/370C886745754D48C1A707ADAB9531D9,Doors Close,
/3BFBA5544FFFBC6377F3FEB0F51445A1,Doors Close,
/ACE6B92E4E57CFFCCFFD689247AE7908,Doors Close,
/55944E3840EF8075CAC1048A6A320515,Doors Release,
/5773CDB54CDFBB1C75DCFFAC57C7BD91,Doors Release,
/9E6E603745464834BE9E548AA9F77086,Doors Release,
/592CF1624332CF8DE9DC86B327D2B010,Down,
/C8FD40834855C710E59C7C8E7715FDCE,Driven 72 Miles!,
/58E67D8242656C0F06726D8121D74B54,Driven 720 Miles!,
/E6FC986047047F7F0572F48F52B2E72A,Driver,
/010E91ED42CF9E879CD538918EF9350E,Driver Assist,
/10AC949D440FE1458942C6A29DE22207,Driver Assist,
/268D10524DC4301085DCD6987B088E0E,Driver Assist,
/882FC81F433B7B1A3B87C5B6007BC923,Driver Assist,
/A9D596054C239B7024FE0E8708549D32,Driver Assist,
/C0726153474301C92F42768B2467AD40,Driver Assist,
/CD26636D4355B9E69C2D27817C75585B,Driver Assist,
/D20A0ACA4C933BFE90B429BAEE72009D,Driver Assist,
/ED6BB8AC465E345EBAA997B3C1024D4C,Driver Assist,
