key,source,target
/B33A6F914D261C3CD975D88FDDE1712E,750V DC Third Rail,
/F5FD81E64C69944E81AF31B57219A3BB,750V DC Third Rail,
/4FD8F1B342D174CB2524CE9288E09D81,====,
/7502825D407B51D039BF45AFF41B01FC,======,
/EC9F23E344B156A41C3A3EA8E4ECFBE3,======,
/4732B96D4A1CE27B1822A0AA2BD42605,========,
/4921691E4BB6E2B49C36D180A56DF462,================,
/083EF7934C6F19D017AD2996D940E78D,====================,
/65B3B33A4475ACAE96724D81C8E9DBCE,====================,
/E335974E498CE0D56B0CC9AA03E3D634,A Windshield Wiper appears to have become stuck.,
/2F2777B3458054D8A4E6F2B1DEA8A637,A passenger door has become stuck. Identify and manually operate the door to unstick it.,
/762F62B446F6EA44254E36827E256005,A.C,
/519E167045EBAB66FAEB169573B0C017,A.C Temperature,
/061ABB644A8A2D8017222184ED42CF4A,AWS,
/4CEBD465483C6A2A677E6CB48122ADAF,AWS,
/CBD0198E45E57FCCC31A08A36C8F9D6D,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",
/A20DC0FE4006256DBC54129B2A8C8F80,Acknowledge,
/5B5ED1DD4D223E71AE403E97FCA8FF1B,Active,
/D385DAB342D848ED2E3312A4E175E4F9,Active,
/DC3D8B2F4BB4CFCB876B5C88F835639E,Active,
/737E8375430EFB50394817933D9DD0CE,All Release,
/A8947FB0467E4B09403D0A91279B3BD8,All Release,
/B8F309324F464A455EFCA3B858742431,All Release,
/E680C2CB4F9AAB99DA0C239362F9FC51,All Release,
/FC8076D8414FA615B07FD5B315146A9C,All Release,
/916779974490A5A4F97617A4720E8374,Auto,
/FD53229E41E199D3D3F8AA9D73D23CC0,Aux Off,
/483131894C5834E43C1A648540E3C8D8,Aux On,
/1D8775054578A3897BBBD69F11DD0499,Blind,
/855E590947C30F5251EE1E88F2DA1686,Blind,
/91F761314AB075CADA7C1C92D4AFBABF,Blind,
/9C16B82D4A8D7174AC6173A8A07FD2C1,Bombardier Transportation 2003 - 2018,
/BE5791A343704DAAF5EB2CA18D8A8069,Bombardier Transportation 2003 - 2018,
/58E52BCD49D8164BE164A38CB67340CD,Brake Hold,
/AD463EE54C8A1A97D5B3E6ADAE2E72D9,B{BrakeID},
/300BCD7B4E57E6C0E05DC699968558CD,Cab Light,
/6E1ED3764A184FF9D4CA999AB52EBDA4,Cab Light,
/BA73F7C94E288EDC0CCD5292E8D35D78,Cab Light,
/0E7FDCD8482B7FF43E08D3B3A9058D3F,Cab Light Toggle,
/79D771DD4C5D30C219D2F3A9540D5480,Cancel,
/0DACC43B4893FFA7301ED4AB9D765DFE,Class 377/3 SN,
/123ABAE448AB4B388B323F92373B2348,Class 377/3 SN,
/7542BCD54216F3D41EDEAF9EBDDBE4DA,Class 377/3 SN,
/AF68729F4EB52E2BAAA28BBA45DA28B4,Class 377/3 SN,
/CDA9C9844EDADA80B25449ACA6609503,Class 377/3 SN,
/8F4F848A4E4052D05B3215AD376062BF,Class 377/3 SN 6Car,
/38C1A81A40B407F21F876D86D02E70DA,Class377 Driver,
/B71EB2A442A399D1E6AB9F8795D57BB0,Class377 Driver,
/EF19B5BB462CBEA0459F07A7328C18F7,Close,
/CE67F797490587905F1814A39027A345,Closed,
/F628E53C40BE57E7579546BAE1892B84,Confirm,
/2207E8E14874CC38D98E45B7C4F8F047,Confirm Location,
/0DABE5884888976482192B80E8874831,Contact Signaller,
/14B6389144FE0B03EC0230B2B4833B3C,Contact Signaller,
/F1697F1E4033A084885B9A9C6810F27F,Couple,
/C41633CB4267EA36328753A87D8C4899,Coupler,
/F9DD45984BB45F0DE725AA9DEB8E48AB,Coupler,
/8C1C45AF4F2DA543500ED2BBA3273E1E,D.C. System Select,
/52F523564D3A710702C5CA8282BF4965,DMCO A,
/1E1C3FB746441044552110982878AF23,DMCO B,
/1AEF0E0E4A528D4368CDBD8E174BDA98,DRA,
/FA8EA5174AA6E257FA54ACAB8487A229,DRA,
/8AE6E6F84D39ACCF4EE30CAFE8C3EACE,DSD,
/8CF1E69A4385A9A56EDA0DADB6BD3471,DSD Holdover,
/363A10E3479670F28143FAA9591509DE,Day Running,
/46B8F59949F8AF9F1DAD47A2D487CE94,Day Running,
/269D0F94419882393D5D89959531B0CA,Decrease Brightness,
/7430EC36489AA0DD20F8EB9984897DD2,Decrease Volume,
/94ECB39E45428982AA3D2CB00D4246D4,Direction Switch,
/B2D7F12645047BB9F43AAD9B642805BE,Display,
/134FAAF94AF52C21D9B1EAA6B46A0F27,Door,
/13B0C28D46847D558EF529A7E021DE7F,Door,
/3FBC02F94CA2FC02CF60EF80BCEB4052,Door,
/5AB4249F40A9EF402D2EE9B9C90A9EC1,Door,
/5FEF33F34D8113AB2EC628BFFB3C851E,Door,
/74C0D65F454F5263E6A1F6BE2ED1C043,Door,
/7ADE001648B5E48CB38445801E503F46,Door,
/837FD0204721AF8CABB3098FE29D1818,Door,
/0C4F6E1A4EF282171C023B84F09275ED,Door Close,
/1264AEE449CC98119DB4B29B928518A3,Door Close,
/5F0458FF4B6239F93B108D9AE0F5E137,Door Close,
/F4179D3B461FF2B2C34F858708DFC67E,Door Close,
/F838C70D43B62C6333375AA14BAB1B5B,Door Close,
/3FF470FE48AF3C32135475AAC5FD55B7,Door Release,
/44ED344A4CE255A070478CAE9C6A4288,Door Release,
/48D683B14FE141AD9E2F7A90662DD394,Door Release,
/907C7ABB4B87B2456EACAC9DBE377101,Door Release,
/F35CFBB840F28C8AAA20F0967BF8FA0B,Door Release,
/71FEDA90400B7AB4692E3381BB645A05,Down,
/046B05C74CFBD8EC525B41B1942F0E9B,Driven 37 Miles!,
/32CD002347DBB3CD2035C4842B0480DB,Driven 377 Miles!,
/010E91ED42CF9E879CD538918EF9350E,Driver Assist,
/10AC949D440FE1458942C6A29DE22207,Driver Assist,
/268D10524DC4301085DCD6987B088E0E,Driver Assist,
/882FC81F433B7B1A3B87C5B6007BC923,Driver Assist,
/A9D596054C239B7024FE0E8708549D32,Driver Assist,
/C0726153474301C92F42768B2467AD40,Driver Assist,
/CD26636D4355B9E69C2D27817C75585B,Driver Assist,
/D20A0ACA4C933BFE90B429BAEE72009D,Driver Assist,
/ED6BB8AC465E345EBAA997B3C1024D4C,Driver Assist,
/5B2B17FB4661D1EECD4EE8A95AA11F07,Driver Safety Device is in emergency. Bring train to a stop and use vigilance pedal to clear this Emergency Brake,
/4D64F1C542EFEB9BDD7064982B4898D6,"Driver's Seat",
/19D8EC134071DB5792AE79987F1BF9B3,ECW Class 377/3,
/6FAFDBFD4BE335B5A221D7A5142AD52A,ECW Class 377/3,
/22CAA0584AA1BEE3181509A9B0FEFD4F,Electric Multiple Unit,
/48FE947F407B8833999B388C0C920E15,Electric Multiple Unit,
/BED32CA54DE4174F734D3FBF6A28D9D9,Emergency,
/7B809AF04E42995AC089ED9AFABE9E42,Emergency Brake,
/86F02DFB44DAC32258A222B0C5399BCE,Emergency Brake,
/6152BECE48AD9D0312E47FB6020D45E9,Exit,
/575E0C974AD580DAF6B037878F39CFD4,Fast,
/DD856C144E0E0E2564E8FEBE827623B0,Floor Heat Only,
/B66420D948C87A04EF64ECA00A93B130,Forward,
/7F130336476D98805BD2AE85EB88AD5E,Full Heat,
/CF0EE95F4A26761E052E07ADC2311FC7,Guard Key,
/EC09AD1B45E00F0BF321C7B7ECFE4125,Guard Key,
/7F57712243C151693A1245BA976593E5,Hazard Lights,
/A6FCF9174048B5522756918F06B99C6E,Headlights,
/1C3F8E7E437D87E331BD3FB3F0E2D5C0,Headlights Off,
/3C41DAD34F6D2C38FE4E0CAC291FB1D4,Headout Left,
/0143035D44DEFDD25649D2AEA1426A5F,Headout Right,
/6902C524414B29A5E4D193A6C5609BFF,High,
/F1F336C94F9C16DD00528CBCFD3F9DF5,Hold,
/48EEE73C4791CB8828F58A8EDD23A814,Horn,
/CBCCC6614A8F4AB6B16126AB34927CCF,Inactive,
/87A7B40246D10BD69CA29CBB22623F46,Increase Brightness,
/8E681CEB41B7472EB253ABAECDEE62EA,Increase Volume,
/2F6C8F4E4EBA7F14DA9C32A7FF51E0C4,Insert and set the Master Key to ON and set the Reverser away from OFF to activate this cab.,
/8AE3F9EE4A3E219502D162925AEC992A,Intermittent,
/2F1BF43447A8A100C11D60A36007DE27,Isolated,
/588350A145456AE48F3100A6D7A1D170,Isolated,
/89BFB276438B0D954FC8768BFEF28BB3,Isolated,
/9A9970BE41ADECE1659CF5B2374C4A86,Isolated,
/AD0567494BED8F128416839260EEA4BF,Isolated,
/B2DE2EBE436C2FACFC95ED825693B13F,Left Panel,
/9BB82C4B4CE5334EDC8365BCF272A517,Location Not Listed,
/3B565CED4E3B2E71115CE79B6864DDFA,Low,
/20368CC841C55AA510C829A776229C99,MCB,
/C3E0AC474A6FE7FD0FC32B9CCB9906B9,MCB,
/B6927E3748EC81214C97D08F239D73FA,MSO,
/084803F142F748ECA330488A526CA279,Marker Lights Only,
/5BB02A854DCA3AF446DE15A2FB96E7DE,Markers Only,
/6F26F3B546481D06A33A3ABA3774075B,Master Key,
/8ABB4BFF4F015984275D009A1F3E43B0,Max,
/9CCDE2C3479969C43D7AFB87FAF3A0A9,Min,
/B31A7F5446654C62825938940BF8298B,Move Reverser to NEUTRAL before using compressor.,
/73C6CB664EBEF43D9A9D0DA1CC16A2A4,Move the Throttle to OFF and then set the DRA to OFF to disable the DRA.,
/4EB2FBE7480F3130D0DA46978BD0BADD,Neutral,
/137A3D9744A039D3BE75149A63464171,Night Running,
/E81E9B98493F5C05C3AB5B8131F38B2E,Night Running,
/15FBAEA647BD3B0234F6E2A5EC4A5736,Normal,
/BAE6989347EA4E03724E5BBE301E5B9F,Normal,
/BC6E1D68473D86F707EA5F866A8A2530,Normal,
/E2C641B7461057DE80ED1CBF18CA32A5,Normal,
/F99B7E494176BE94BDE8F7A59E895A1C,Normal,
/3FB5F3524AF87CB474FE29B7384C8227,Noticeboard Light,
/05157D434CDFF0644817D3B70C711C87,Off,
/1293E6944226FFB1E99B94BEE7B5C9A5,Off,
/2298C8E04543A563D266309CB10008E5,Off,
/24CDF82A4DB45A1C60E075B5595DC850,Off,
/4808E03D4A73FDB0CAC3EFAA46007C1B,Off,
/7BC2D94B41B693C1BD7DC3B531DFB2B1,Off,
/A99550B34464A60634C72A9944276A78,Off,
/ABAE29904D39EB10024B34921B1ED3B8,Off,
/D6F7B1464D112B3CE3D30785744BF959,Off,
/F0D6557C4CD8AF35D196B7806F767C65,Off,
/1164B6F54E4E86A81D1AAA8C1D105B03,On,
/1F758F894A99F76D1F56DEAE514FE6AD,On,
/385CE36B4104A581DC81A89C2B9B9567,On,
/42860B9C4C0E8CD39850A89A6FB43C21,On,
/4BB9087E48408482E7113F8823F047D6,On,
/77290C794CB9B0AA55D99B869255A277,On,
/E5E09E2940DFFE0AF2EC4882BD33F368,On,
/47C3F313473C70BE737AB99D7680FBD3,On/Off,
/B76476C944D73A9DD8B6BCB05AAA735E,Open,
/0A23C46C44DC34A5D42B31A776B3DF57,Override,
/22E62CD04375C7523F3169B0A5DDDF43,PIS,
/301B75E0473FBC61EE760D8FEF2ED8D2,Passenger,
/3922D60B477823923AC617B42A8DAEED,Passenger,
/568E04D542455D49C00B2FBF1EC38F77,Passenger,
/6F88E6674386C5671F73E4A9F895D6DB,Passenger,
/75D160B345859E53D301CFA9C2C0F16D,Passenger,
/7B0A28D64F8C1CF68026DFA684FADE36,Power / Brake,
/053612C54DEA6B2383B934AFCA8E266E,Pressed,
/07C658E24A4A472513D47F8B4FC610C8,Pressed,
/0DE42BA24D49C4412E6DE8BE2BD95D6A,Pressed,
/19BC5CC84F9BE2D3A0BABB9B78FF8CF2,Pressed,
/1A055FAD4DA95088A2B1D8BC8D1708B3,Pressed,
/27B765464EF9545B095CF5B244E6D709,Pressed,
/2F0B0F6F4ED836E2D96D0D889BCEEE65,Pressed,
/311ED52547FB3C01AFDE40A1ABD353C6,Pressed,
/45905071470E82CBE4AA7CB034907261,Pressed,
/53A960044F3377CDC081A09270BEB8FE,Pressed,
/5710ADBB422ADA72DC2491B07FACF1D5,Pressed,
