key,source,target
/E6E61A0F4D5C596B9908DB96F5B43843,Air Emergency Brake Valve,
/83418DE7413412E79B9BF09384557FFA,Air Release Valve,
/6E528FBA43801D0974A4D2938732B2A0,Applied,
/81F608C940EBC3FD773655A35D229992,Applied,
/50D48EA444F6CDC367EAB9BC8479E504,Attach,
/6C91029049D544809B79A9ADC907C758,Attach,
/3CD04C844CE4109387B47FADD1349EE0,BR Mk1 HST Barrier Coach,
/B81096C343F09B099C5083B5ABF0D59A,BR Mk1 HST Barrier Coach,
/DF61E263495523F3DF7A29A7667F181B,BR Mk1 HST Barrier Coach,
/28B21CD84AC894FA1D9A2AB458742558,Buckeye,
/4712C6A54181B9FA9C7EA9A0C09E234B,Buckeye,
/6C84945645708B9FBDE3B99395BA1BA4,Buckeye,
/715DBCBF4E652268655397B23B5D5C64,Buckeye,
/D9C000E14C132F8A9D6D068C0FF00E2E,Buckeye,
/F57D0089471EBED77695CDB7479767F5,Buckeye,
/20782F5249F69CA3506EF8BB295272FE,Closed,
/2DF6C9F945196D6FD31B8D943897DD2B,Closed,
/3CF7EA234937DA4245FAA399FDE49DF3,Closed,
/6F2846E4438CB7663AA1658C56F8FFE2,Closed,
/7A916CC543B19A8C637A6E92C17E9914,Closed,
/7E8388D843DEA036AF7C0EA8D5431C12,Closed,
/A4BCD4B549E79993641783B884ED16DC,Closed,
/E5EF1DEB42BFE94C7EC7F4AB162540A4,Closed,
/E5FC4EF849CB2F88C1879F896A7A99B8,Closed,
/F28D1072483F78E9DDA8649B9765DA88,Closed,
/7C1F6E304EBDCE2DD57934802BBEB2B8,Coupler Type,
/8CC30AB247F0BF98E49E2AA38981C03E,Coupler Type,
/B317E65E4885F1D466E513B8DE1037BF,Detach,
/C0A30ABA4E6887FBE99C708137ED03DF,Detach,
/0FEC607641D105ABC3984CB16A34297B,Exit the Vehicle,
/3DAC52074FC7CF4083FDC888F448007E,Exit the Vehicle,
/511733504213326B5842FD85B40BC452,Exit the Vehicle,
/5610DA204F5094B3C09A47A8BAD6D593,Exit the Vehicle,
/5E74C3BB49E684B4E0DC17B44EE5D762,Exit the Vehicle,
/63E6B87241C76A5CA905EAB107A5646C,Exit the Vehicle,
/8D26E6F04CE04A9ABBEC2CBA38755102,Exit the Vehicle,
/AEE252744B125BD9CED8838E90B92008,Exit the Vehicle,
/AF172FCF4BEC1AF92BF34DB0E82B313D,Exit the Vehicle,
/E42CFB4043D2C662FE4A4B9FB8370D74,Exit the Vehicle,
/1070488A4AEB5112985153890C4E81EF,GWR HST Farewell Tour,
/5C11E00B402313DAF18F0383FD837810,GWR HST Farewell Tour,
/82EA460C405D2362F6DD5A930104E280,Guard Light,
/4C1B7568492F9AD0423DF7A9F9A47777,Handbrake,
/3223B4B847B9B8F18F91DBBF348AF2A8,Hook,
/9AA6D94E46E36B96A0B528A5BDDC0418,Hook,
/A047DCB1434A1837399677BB5555C33B,Hook,
/AEAA168B4EE0B7BFF9AF948407CAC703,Hook,
/3AB378E34D0C6F26BA1EF58014D8C245,Local Train Lights - Off,
/C7FDF56749EAF81ADF62D39E0107DDE7,Local Train Lights - On,
/54DAF4654F1214B89161469DFEE7FF24,Off,
/F1ADDA5043B8526BA75A70A5DB84978A,On,
/0648E827489B621B27AC9EAD975917C6,Open,
/08C6B632436736DAD9067B87B2D5A510,Open,
/35D7677C4FCC61053EA2F18881466F7A,Open,
/3956FF1F4CF30701B54C0D81587256DA,Open,
/3C3899594C0A4CB8210D05B2A7BBE722,Open,
/48A0C6E04564E167C8C08DB0B1F8D2D0,Open,
/528FE7B34F4366096811F79692D51737,Open,
/618699704B82AE20F045BBB5E4F50A0C,Open,
/735107AC4A994B82D5A1AD87E96246D9,Open,
/9E32D09A420FC09C026D20A446B78702,Open,
/5562A0A643ADE1A84501C3BB62DA1039,Released,
/A74F566A46917FB088DF76BA83D15827,Released,
/0D7176094560F3EA75D3E68D4D3B8E8E,Releasing,
/B84E62CC4450E2E7B67A19B36F3DB86D,Releasing,
/A45D80DA45A2D551CA21C4BAB9CCF856,"Sit In Guard's Seat",
/1D0DA1E9468FF6F55E5F929BDA3E7023,Tail Lamp,
/4C84A61548F07EB5F18BF5948BA52A7F,Tail Lamp,
/DE68DBB34D05D56721247AB1594A80B8,Tail Lamp,
/EBF0A96C4A30AD7119DC1090D5C6B4C5,Train Lighting,
/23AAB81044D5D90A41B5BB84E7CEC9CF,Vacuum Emergency Brake Valve,
/26793BD7420FCE468B8BA88FC8D2B3A7,Vacuum Release Valve,
/02508E954E5A1DFE43487C9267892B33,Window,
/054F5DD2417252D706680A85044FAC6F,Window,
/136131674E2E3D4F9C88D1A7C9E71C5C,Window,
/1BFC422C44F43559FCF8B08E6DCA602B,Window,
/24A0C7844027E5E894D8C7941B77C041,Window,
/4BE4FEDA49E1EAF4A793E8B2E3D837D8,Window,
/94CEED7447A661604792CEAA6FEC54BE,Window,
/C01605894F14D094431428A26783F3D0,Window,
/C373C4A74924F4EC0EE8CE8AAEBBF266,Window,
/FE39EE1A4DA3DD04719AD2892359A60C,Window,
