key,source,target
/0C1C525A4B94A6F07668DCA19C314DDB,+,
/2A6B091E4E83F0E0DB772BB6FA4E6AAE,+,
/2D0863D84978D33384F2E4AC2382D7BF,+,
/2E226E53440B6D327FC8669EEB08CE3D,+,
/62586B7942822838B93535A48BA55420,+,
/6721E7484DAD0D8D33E838AFBD3BBC63,+,
/6C1432724238B0EC11683B940ACBDA24,+,
/7AA82E4B4698DA9C98E0039758890ED2,+,
/DDB8333E4D2F242A50940AB290D66312,+,
/01307C5F47AD5BF06E0082B20356C43B,-,
/0B63A6EC4BF648FCD3BC9FA0A8DF6A6F,-,
/0BB81E5F42BC91CA8755299A0F21F634,-,
/2ED7F57F4739C41DF930B3A87E49418D,-,
/3268C8A749A4A7AF2808DDA9574D7312,-,
/35E6B1F04DE9689C854F058B9A2090C1,-,
/43AE89234A9C3640184437BA0D8D0C19,-,
/77B97B494826036703155AA339A60ACB,-,
/9FFDE1ED4AD58B9C696D9E848452A173,-,
/A655E0A148C7B2A207C5F38DC893D5DB,-,
/A9AA0F484AD12EAF27686C9B26F533FB,-,
/CA96EC6A4CA59972DAAA3EADA0AEFBF3,-,
/D8681D614A45AA86B9BB3B8C555DD453,-,
/DA0A8E3C440FD4FC57568D9E308E60C7,-,
/EAE4646C4862AF21C4EDA6B8B883476C,-,
/EB01AB944B8714651922FB84EF5928CF,-,
/F0A70A5A4F4DF1A7654A0CADA35179BA,-,
/F69B283E46AB1D58D025428B9F7C053E,-,
/690AF12E4DCCE46E1B01A2BDA8825C03,1.EngineStart,
/155C2B01495E597007E4B9992FC489CF,10.Notch2,
/9948C35847323A4C80FA2A9B13180B2A,11.Notch3,
/842B59144458E80A1D65D58AFDE1778B,12.FaultLights_Brakes,
/7531ECA3473040198088EC812B3C6887,13.Notch4,
/5A5B60A44DCB2B4A4AF8C385A8CEDA1B,15.Brakes,
/70C17C0B4C5F5AC49F5568BB31F0BD41,16.FireAlarm,
/185487574BFE4D474804179CDDF37C4D,17.GeneralFault,
/E4E7DB5546A72F1201E41E88A5A922D5,18.EngineStopLight,
/AF67C34C472DA679C383BFA36B9EFFF0,20.Brakes,
/E9ACC6E14E16A699DCBC9DAEFCEE527F,21.Brakes,
/5DE11F384B03C9B28169AAB45BA91A36,22.WheelslipLight,
/FE8ED858420840CB2AA21F96757BD8C0,23.Notch5,
/88704B66485E89881A59E393581E4F61,28.ParkingBrake,
/4D8B8A284504492A3D428A8485E9F25F,3.EngineStop,
/116CB1B440BA9BABAAB362B7F8B00F77,34.TrainLightsOn,
/8CBC426E45E801CC700351A3B4722B4F,35.TrainLightsOff,
/E27A7E244C025A0FF2E253860AFA2F14,36.TrainSupplyOn,
/79B903224D84DAD4D984DF803E0A7B30,4.PCR+SCRV,
/3520651A4835B63B34DE909B9FDFA640,5.PTR_STR,
/933D3E5845D3C33116B6C99CC24DD63D,6.GenFaultLight,
/9185529D476790B89E214F85EF89F62C,7.Direction,
/877BCA384A426B0B3E5D1D8E6898DCE7,8.Direction,
/B74B87ED48ADDB2AAF742BACE4A5FAD6,====,
/94F65B9042DD428ACB6DF7B9239E97F5,======,
/DBD3B3DE4D9E085FE74657803A1182A9,======,
/2F7184D74D196E1084F78EBFB2FBA5B5,========,
/A5ED2ED147ED22F187B5879AF44C23B2,================,
/1314AC174D3259FDD10163BB8CB90171,====================,
/5A60C9004B62D4F47DEDE6ACCEFCDDB8,====================,
/92CFA7BD46E96247350A09B6DAC56AC8,A Windshield Wiper appears to have become stuck.,
/1E4B1E7F4A82A70D6B0443A1E22B32A6,ATP Dimmer,
/66A2BB8949DFB3936015DEBAD821D10A,ATP Dimmer,
/DE8640E940EE754FB8A2A8961EF35393,ATP Pass Stop Signal,
/B666ABDB40D85366730B629DD150B6CA,ATP Shunt,
/591270754D142B5BAB9213BEEB7E34CC,AWS,
/F6305ECA45440D5EE9851BB5B1A7096A,AWS Isolation,
/328B3F51488A7219C1EEB4A90AE8E48B,Active,
/6E004D5844BA30CA418D258F91017817,Active,
/2A3344C54A109462AA9FCE91B7296255,Attach,
/2BD516084A9F75A388B38CAAEAB00AF5,Attach,
/64E9926D408B754D3C34D4B0FBBBBD3E,Attach,
/F1A6EF20451771E593415C8C34E1A089,Attach,
/8860C31A432E22896D5909A6B6B65267,BP,
/7705A2EB4A58DDE14422BB995F4AA111,Blind,
/FE129AF940F2EF34840C109E8FD05DD6,Brake Test,
/16646BF7457289C1DBCBB391FDEE90B6,Bright,
/24035B04433CFF86DDE924AB92174A04,British Rail Engineering Limited 1976-1982,
/4324B5334B7A61ACA4223CB5B84F9DE5,British Rail Engineering Limited 1976-1982,
/4FD5E09D47F1A7A0A64CC7B646D22EE2,British Rail Engineering Limited 1976-1982,
/A43B2EA14A8E5C985539F081D311F5A8,British Rail Engineering Limited 1976-1982,
/C6FA2C3A4E79B6AC1899D68A7459D5BE,British Rail Engineering Limited 1976-1982,
/D5B8974A460A05BB21485391A56E4DC8,British Rail Engineering Limited 1976-1982,
/ED38C9424A1B7610F42A6EBEEE99CB28,British Rail Engineering Limited 1976-1982,
/FA12563C401D8031CBE82D97A33C2A27,British Rail Engineering Limited 1976-1982,
/FAD1A4D24AA73F7B5CEDC6A0218CB4E3,British Rail Engineering Limited 1976-1982,
/1A304FE543DF2EC5BB1291814A4558EE,Buckeye,
/285B370E47D1BF8B3958E99A330DB42B,Buckeye,
/F1398BDA45AC5CBDF0454F86DC59D316,Buckeye,
/FAC8D00649DE44C915D4E080304FB5F5,Buckeye,
/58B73A20418316BFB3421995C51241B5,Cab Light,
/F5BFE79747D29BD472712EA227E606FC,Cab Light,
/AA531F7E4F05DE3CEDADA9A01CACB3A6,Cancel,
/57759B1A418A1800319B2487DFD13540,Class 43 FGB,
/DDF05EF2490D9FFF3198EF893BB61DF2,Class 43 FGB,
/63848851491DDE64513479B220B5100E,Class 43 GWR,
/694E668F453D052B973D1A8AE6AD326C,Class 43 GWR,
/51C6586C4B578E93372C3F804B49D58D,"Class 43 GWR '43002'",
/6BF5BB3A441B95D1B3C19F88030C40EE,"Class 43 GWR '43002'",
/2BEC28A9494688F9CAD6DB8C1E925A7F,"Class 43 GWR '43093'",
/9E8FAFCB45CBDAFAEAA01AA808AFCA03,"Class 43 GWR '43093'",
/5A16211A43721C34855A8593E39E0BF0,"Class 43 GWR '43185'",
