key,source,target
/5A677BD74B7A934CB8E6A281F2E680E6,1L76 Swansea to London Paddington,1L76 斯旺西—伦敦帕丁顿
/9BFE9C644A69172AB3E9F2A9614A568B,1U80 London Paddington to Bristol Temple Meads,1U80 伦敦帕丁顿—布里斯托尔圣殿草地
/02E6956949F484CE96578396EC31A5DD,2T54 London Paddington to Heathrow Airport,2T54 伦敦帕丁顿—希思罗机场
/BB4B9C0C4659098A5501199818B3D7F5,2Y50 Heathrow Airport to London Paddington,2Y50 希思罗机场—伦敦帕丁顿
/5FE65A74438CB57B345D7BB54B3D358D,3 HST sets have arrived at Plymouth to mark the end of GWR’s HST services.,3 列 HST 编组已抵达普利茅斯，标志着大西部铁路的 HST 服务正式结束。
/560D73E24B21EC1840D041B685393644,AUTOMATIC BRAKE,自动制动器
/98B6B80B4E62CB432B642884F17A7FFC,AUTOMATIC BRAKE,自动制动器
/688A90BB4028B6288CE04C994F7DCE9F,"All three trains will sound their horns as a way to say goodbye. On your mark, sound the horn a few times and the rest will follow your lead.",三列火车都将鸣笛以示告别。准备——鸣笛几声，其余的火车会跟在后面鸣笛。
/1BED23524A713060C79070A659307594,And that's the last HST departed. They had a long run and they will be missed by many. Head to the station exit to finish the scenario.,这就是最后一班HST列车了。它们服役已久，许多人都会怀念它们。请前往车站出口以结束本次场景。
/5BA10D444757616826DE2FAF4C830DD2,Andrew,安德鲁
/EF2E6CC146344851D8524E9B8BD9242A,Ann,安
/07C233844D29A67F2AD9FD89C17C7D8C,Apply power to get moving,施加动力以起步
/67BC3C9F4DD2EDB632A53D841B317F1C,Apply power to get moving,施加动力以起步
/8C40E3824073F576D0661D9B35BB9E46,Apply power to get moving,施加动力以起步
/945C60014732C5399070D6AD30E3DE7A,Apply power to get moving,施加动力以起步
/B8A968FC47BC093FC9E870AC9E301CEE,Apply power to get moving,施加动力以起步
/C12E5B914FBB9D8828B9DBB355B3B40D,Apply power to get moving,施加动力以起步
/E164332548DA1C5E39738A92CAF7C0E1,Apply power to get moving,施加动力以起步
/ED0049A14CF9DAF9BF4106B4709B4F80,Apply power to get moving,施加动力以起步
/F99E51824AC7119D0B6E20ABF4594978,Apply power to get moving,施加动力以起步
/FA2335FB462370C8F6BA92A60D3F1376,Apply power to get moving,施加动力以起步
/FAF0628A4F4D1F7C0B89C3808067ECE4,Apply power to get moving,施加动力以起步
/97F7D4264C4C7A8AC09416A30514C76F,Apply some more power and reach a speed of 160 KM/H (100 MPH),进一步施加动力并达到 160 公里/小时（100 英里/小时）的速度
/B4ED6B144D791F244E4DCA92E07035FA,Apply some power to get moving,施加动力以起步
/8C001CA540601BB2B28BF88985C20426,Apply the Train Brake,施加列车制动
/950FB72549D65F9C208B1C83D58E94B2,Attach the Buckeye coupler,安装巴克艾式车钩
/A86DD38C405863CFE3DD438515C18E0D,Attach the rear tail lamp,挂上尾灯
/7BD04B2A47AA3F9524156BBE23612F25,BACK IN BLUE,重现蓝色涂装
/9CEFAD264D91FB500ED8FE900CC1DF06,BR Mk1 HST Barrier Coach Blue,英国铁路 Mk1 HST 蓝色隔离车厢
/3D9F077A4404659925149EA0B6CEF26A,BR Mk1 HST Barrier Coach Green,英国铁路 Mk1 HST 绿色隔离车厢
/9875376B4901FC64A3AF40BE1A224135,Back,返回
/543CC1A748979FA4C79005A16EF0E7C1,Back in Blue,重现蓝色涂装
/187A36B8477A153D5E8A6D859E251C5A,"Before coupling the trains together, you will need to open the exterior coupler hatch and attach the buckeye coupler on both power cars.",在将列车连挂在一起之前，你需要打开外部车钩盖并在两辆动车上安装巴克艾式车钩。
/5ED897384EB257AED833FBABF36EC5D3,"Before you take control of the power car, walk to the rear of the power car and attach the tail lamp. This is an important safety device which wil be needed when driving around the depot.",在你接管动车之前，走向动车尾部并挂上尾灯。这是在机务段内行驶时所需的重要安全装置。
/431A03B147B574193222878961206B4D,Board the train,登上列车
/5E58E39848B9D602206D879109CD437F,Board the train,登上列车
/7C241ABC404B9373265890BAFAE2363E,Board the train,登上列车
/B27F3B884A15321150F70DA04327F1F6,Board the train,登上列车
/C78024BC4D44E506581982AE186F0289,Board the train,登上列车
/E9296A164F111D92FCDBE1B2A851464C,Board the train,登上列车
/B505E87C45159AFB3663608F308B2D68,Brown,布朗
/0D7C823D4C47347A4285B09FFA8AC396,CHANGE ENDS,换端
/9214690544124550A78FC0AADAA30940,CHANGE ENDS,换端
/BBF5E7B94BEF3E8A892D3D9896B8077A,CHANGE ENDS,换端
/616CE1964D77006FB269409E3CEEB0CD,CLASS 43 INTRODUCTION,43 型机车介绍
/1D70DC3548878D2432E1C289E5B7A51B,CLIMB ABOARD,登上列车
/4102DC3846431797F66781A4D8DAB009,CLIMB ABOARD,登上列车
/428784834748498EC2847B8DCBBDAEEA,CLIMB ABOARD,登上列车
/571017C64374C617DB3F9E8425D44E5A,CLIMB ABOARD,登上列车
/69FAB04549193FA9D29E06B759567A41,CLIMB ABOARD,登上列车
/7257B60340C33153EC6ACE9C41F7A909,CLIMB ABOARD,登上列车
/736A1A26456761B1944967805A092336,CLIMB ABOARD,登上列车
/75F9977949282B9A07EAA88EFF518CDE,CLIMB ABOARD,登上列车
/7ACAB32743A51D46CAC4D2B9248296E4,CLIMB ABOARD,登上列车
/823CBD0641C393B1E90F018B9C779143,CLIMB ABOARD,登上列车
/980EDA2244A4EE9ED09C9B9128E6FFBA,CLIMB ABOARD,登上列车
/9A2A0E6745E656E4882126AAA6A82884,CLIMB ABOARD,登上列车
/A27122734AB346510C1A16B46BB6B4AD,CLIMB ABOARD,登上列车
/A4028C6A479F79165AE2919009D4C7B3,CLIMB ABOARD,登上列车
/CBF486194CDE7F223AE39585DB5A78F3,CLIMB ABOARD,登上列车
/CFA1354F4197CB1EAC6407A6F6B331A6,CLIMB ABOARD,登上列车
/DC5509B344916A088B17998681A8DD53,CLIMB ABOARD,登上列车
/E98E6910488C6A45C8C8919DEA7E9F2C,CLIMB ABOARD,登上列车
/C267C62643CFCCEF5089008B63CD0CB6,COASTING,惰性运行
/F13DB8844DA22C1C5F5BD4B2E6795F08,CONTACT SIGNALLER,联系信号员
/CB1A866C4FA3295DB535078AFB0422CE,COUPLE,连挂
/640C361948B11CED1DEB0DB4EB549412,Carol,卡罗尔
/DCCB7B2F415BFF5339B1E1887C5F4A7D,Claire,克莱尔
/49AFEF754B7110972F9F8187B13492C9,Class 43 Introduction,43 型机车介绍
/3933CB084C907106C56C7B8654043943,Click the Right Mouse button to switch between Look and Control modes,点击鼠标右键在观察和控制模式之间切换
/1D5F91BF4FD0AE5F05C194B7604A9CCE,Continue your journey as a driver on the Great Western Main Line with the GWR HST.,驾驶大西部铁路 HST 继续你在大西部干线上的司机职业生涯。
/0C1F28B940FDDB5E4441109BD9400163,Continue your journey as a driver on the Riviera Line with the GWR HST.,驾驶大西部铁路 HST 继续你在里维埃拉线上的司机职业生涯。
/9F05C54E42374150E4A9679E99E16814,DOWN BY DAWLISH,道利什之行
/5DF76FED477CDB0FC86193BB37261BDA,David,大卫
/2209CC614A284683CA39AE83D6BF72E9,Davies,戴维斯
/4DFFCC5649BDCD19FC126C96C0404B99,Dawlish Platform 2,道利什 2 号站台
/CB801D384623B29B31BF13932FAC0880,"Decide which service you want to drive, then talk to the Content Creator",决定你想驾驶的车次，然后与内容创作者交谈
/082B0132454D2EB73A55DF80CD76E297,Detach the tail lamp from the failed power car,从故障动车上摘下尾灯
/E6BFFBA0413E4C0F172E39985589F19A,Detach the tail lamp from the power car,从动车上摘下尾灯
/F0F89A0C48A0FC26254B4AB74B3A8857,Down by Dawlish,道利什之行
/64A1630F4E40EE38B9B98DBB3D92ADFA,Drive a few more services across the Rivera Line.,在里维埃拉线上驾驶更多车次。
/A9A66ECB4015A2C7151CC381A83C1825,Drive a few more services along the Great Western Main Line in challenging conditions.,在具有挑战性的条件下在大西部干线上驾驶更多车次。
/DE52A0954849EA21FFFE7389450C3397,Drive a few services across the Rivera Line.,在里维埃拉线上驾驶部分车次。
/3C1B7E684B8E108CD24671B38AADFA63,Drive one of the final GWR HST services out of Paddington.,驾驶大西部铁路最后一批 HST 服务之一驶离帕丁顿。
/AC4EA4884D68A3CE9FD380AF0F950019,Drive the newly painted Class 43 power car 43002 to London Paddington and prepare it for its first passenger service.,驾驶涂装焕然一新的 43 型机车 43002 号前往伦敦帕丁顿，并为它的首次客运服务做好准备。
/1B5D40D443BBAEAD8A4886841A88839B,Drive this GWR service from London Paddington to Reading.,驾驶这趟大西部铁路车次从伦敦帕丁顿前往雷丁。
/82A7566A4FA7688BCAE9D0AAAEF9208E,Drive this GWR service from Reading to London Paddington.,驾驶这趟大西部铁路车次从雷丁前往伦敦帕丁顿。
/A6DB22CE482A0B262F055F85FF8FE0CD,Drive this HC service from Hayes & Harlington to London Paddington.,驾驶这趟希思罗连接车次从海斯和哈灵顿前往伦敦帕丁顿。
/6DBB24614BAA5BE2DBD95388EBB96E92,Drive this HC service from London Paddington to Hayes & Harlington.,驾驶这趟希思罗连接车次从伦敦帕丁顿前往海斯和哈灵顿。
/96345D714AF18B536CF96FAFE15D0B84,"Due to this, you should expect longer boarding times and a tigher schedule than usual on your journey from Paignton up to Exeter St Davids. Best hurry and get a move on.",因此，在从佩恩顿前往埃克塞特圣戴维斯的旅程中，您应做好登车时间较长、行程安排比平时更紧凑的准备。最好赶紧行动起来。
/710E4C374195E61A3784F2A9318E5A00,EPILOGUE,尾声
/848FE1DC403B6BCC8F96ADB24FFB13DB,EXIT,退出
/503DA7D744D0F38AD8AED9A91BA498F9,EXTERNAL CAMERA,外部摄像机
/F7DD85A448902FCC215029A5469246FD,EXTERNAL CAMERA,外部摄像机
/E6D3C71941E6E960F07F91A257F25F95,Engine and Carriage Line,机车与客车线
/6B843C38429B446C43E3F5AE2AC155D9,Enter the locomotive,进入机车
/C972334047930BCB4146CF9EE06FA615,Enter the locomotive,进入机车
/D52383414986BE443B2B70AE13B90A42,Enter the locomotive,进入机车
/FE0E596640FE5B02A8AA80936D5D9AA6,Epilogue,尾声
/84158A7544FEE6D2141944BCE6B54C8F,Evans,埃文斯
