key,source,target
/9AF789E24B5A19D38365BB91A18612CC,+,+
/2A3FFDFD4F1B7B424A8C6AA16FBE25BE,-,-
/837E76F643D9905A817402AD77CF342C,-,-
/518A28E34E5CA2883CD177A35CC92B77,0,0
/360A7C91412035E91A1397A940EB1869,1,1
/C9B51895492EE33DFEC6E8B7269EEA1E,2,2
/AE82ED1D46E04C57804C5FB3FFE1177D,3,3
/45C8ACCA42D87AB4E1B946840CFFA78C,4,4
/9FF314A54BB19E97D4A18B808612CBA2,5,5
/6CC2A2D84573298DF4B94FA4AC4C61CC,6,6
/167ECFB14DE39303EFFCC6B714CB4243,7,7
/7E8F0F514BAFC8CA1EC7D3A056DAF667,8,8
/5E63625D4B75A18B56A3B8B5B5BA1DA9,9,9
/27AC7FFB423B9C5385650AAFC3396ABE,====,====
/343436F8465452C8CB78FD8706F94149,======,======
/F2991B114E07EC9D94222288DF74CA0E,======,======
/BAB70A554DE21787A5FF8DBC8DF18E84,========,========
/A225CD2843BA199B577CE6A979815AF1,================,================
/713113E44C46CBE19F016EAA69F2D0B3,====================,====================
/8115B90B4A157B52B9E44B9957BF706C,====================,====================
/676DB3304DA96C4D2763ECA9ADBD3E0A,A.W.S (Fuse),A.W.S（保险丝）
/7CDB3FE845DC21C0844697A512B64161,AWS,自动报警系统
/ABB8BFC3407BFB72959B10938266132C,Accept,接受
/1A0B46374F046D3E3304EC9BDC544A1E,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/29AD88DF4896CB9CAFC1CBA279382981,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/677CF20D418759BA88E305AF815750CB,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/80CB4EF041B40E6790147AAB4A8FE4F7,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/8B535DAF44E42705EF97FCBB63622F05,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/96577DEC444AD7004D211F90CF1FB05B,BREL / ABB York 1992 - 1993,英国铁路工程公司/ABB 约克 1992 - 1993
/EB69C71243CD08ADC749B49B2DCC7C72,Blind,百叶窗
/5201253D47A200F715A6519F622DFE1A,Brake (Fuse),制动（保险丝）
/821055E5481C40C0C3805D96296D5EF5,Brake Hold,持续制动
/FFC65A6D45882F40667AFA85FAC0A533,Brake Sanding,制动撒砂
/2E53AC6648EC46E6D96C879BF3188C52,Braking 1,制动 1
/E21625D442ED26C988654698B7DF4CB3,Braking 2,制动 2
/4072402A4DF48AE98442968C76725DEC,Brighter,更亮
/55C37CD545233D9DE8EFC7822367F225,Button +,按键 +
/1438498F4067E723689AA99F05CEE570,Button -,按键 -
/36A695554E6D374F688A4781CDD942EF,Button 1,按键 1
/BA809593409F483375DF2EBD44693EFF,Button 2,按键 2
/8305A5D945BC388D692B15B082645226,Button 3,按键 3
/A4642E6C40105385F0349E88B82137D9,Button 4,按键 4
/14D1951440BC8D4E204A4586FBC1B334,Button 5,按键 5
/B2D14ED9425E18CAD19AF9977A7DD04C,Button 6,按键 6
/0A207E96434D298E9B65F5B16B646D24,Button 7,按键 7
/934923B04F584FC49477918885A69667,Button 8,按键 8
/DE60D32546C49E724EA6758162A8A74B,Button 9,按键 9
/3FF2A358458987F2F0438D8407EFF822,Button OK,按键 OK
/A5164EB042F2ED09A3AF11A3652452D6,Cab Heater (Fuse),驾驶室加热器（保险丝）
/76F457314439E11D78C421AFB0C4AF07,Cab Light,驾驶室灯
/28A3A2AE4485BB0203BDD28DFCF23668,Cancel,取消
/180BFEF8423ADF32C1390BBE34A3947C,Class 166 FGB,大西铁路蓝色涂装 166 型动车组
/1BCDDD6948690897A6958D9F6C0AEBC7,Class 166 FGB,大西铁路蓝色涂装 166 型动车组
/C4C3C86F49A2F8618D6A218C18749DA3,Class 166 FGB,大西铁路蓝色涂装 166 型动车组
/DB02E7A84622EF09E6DBA9957FAF9ACC,Class 166 FGB,大西铁路蓝色涂装 166 型动车组
/968B4F624DFCFBA1A42728B5BF6B4453,Class 166 GWG,大西铁路绿色涂装 166 型动车组
/9C743BAF4FB7999EF792F5843C684905,Class 166 GWG,大西铁路绿色涂装 166 型动车组
/8AE796D341C7562A5DADC1B4F23FAE33,Class 166 GWR,大西铁路 166 型动车组
/096C64A0439D723EACEE02B86747C3EA,Class 166 MSO GWG,大西铁路绿色涂装 166 型标准开放动力车
/86EA37BA41B06677BAED25808FE38A47,Clear,清空
/3396ABF0443F0C39216C10894434EB57,Climate Control,气温控制
/F0B690A2485CF57B54A4A28DFEEFE064,Clipboard Light,告示板灯光
/1695B89147D926DA630FA2A937ED5389,Close,关闭
/3879FD3E4595D5C75C1DABA993DC35A7,Close,关闭
/AC9C4B9F46C5C826B7006F8A363E2C7C,Close,关闭
/C2D9E5C44A353281D01601AFB8C45213,Close,关闭
/202DF4954DBB81A7ED0CF480AA93BDDF,Closed,关闭
/524C35174888323582FC74B6CE5247C5,Closed,已关闭
/6F539E1E4104D6C8A850B3925669EE5A,Closed,关闭
/EDBFD7604F268C340BD0CEA0F4DE76E3,Closed,关闭
/6348FA6545222D3B1D188C81934F62B0,Compressor Speed Up,压缩机加速
/40D8D30E47C7FDDD6E819FBDDB5BFE50,Confirm,确认
/041FCFDF4B55213428C80981C0667497,Contact Signaller,联系信号员
/4B7A4AA74BF8EFD6309304ACC4F44155,Couple,连挂
/87A24ADB49FC3ED3A2022DA441BBA99D,Coupler,车钩
/93595009448F0FEC76FA1AA67C84482E,Coupler,车钩
/F7E36162492AEE0BCC38329118C63B9F,DRA,司机提醒装置
/A3D3EC3F4B3892AB2111DEB88FA38EEC,DSD Isolation,司机安全装置（DSD）隔离
/EF62180F4B04699A5BEEABA778326C84,DSD Pedal,司机安全装置（DSD）踏板
/495B5B0E4CDACC4BF87D3EB88C2D433C,Day,日间模式
/CD88187F4C2685402D23979FEE11FADE,Day,日间模式
/420580F44FD92A4E047D56A536D47889,Decrease Brightness,下调亮度
/481AE16A47BE5EBFE77D5FAC107B3379,Decrease Volume,降低音量
/76FACCCC446B3F0C088F268F68D4BA95,Destination Next,下一站
/27CE9B6947BFDB1906E93286A410445E,Destination Previous,上一站
/51029FAE4D93B8C9CE5D8182FB4E18AD,Diesel Hydraulic Multiple Unit,内燃液力动车组
/6FBE8F824F80EBE4824A5DA7A3F879C9,Diesel Hydraulic Multiple Unit,内燃液力动车组
/765071E3490DCB0ED3E0779DEABE2DCF,Diesel Hydraulic Multiple Unit,内燃液力动车组
/9B6AAC664C8C44485E6DAD8537A208E7,Diesel Hydraulic Multiple Unit,内燃液力动车组
/D85C9F9F4C0674A2E6723FA000C62B00,Diesel Hydraulic Multiple Unit,内燃液力动车组
/D99F153A4679612BB81C3D9569C954AD,Diesel Hydraulic Multiple Unit,内燃液力动车组
/711F610244DC57B3290FAE83D2D51A7E,Dimmer,调光器
/34D280F14BD6EC45CF54E9B62BAE6EBC,Door,车门
/873754164C2180DECA2A8DA860DECCB0,Door,车门
/AF331A844F924D14AB7A44BC4289B1B7,Door,车门
/CE7B551F418CA1CE8B3BBCA215B7357F,Door,车门
/E24FF8C34D0C554AA2D9238C4303BAFB,Door,车门
/8C3883C34199605008BB658D5129580A,Door ,车门
/F3C38A274F004E5D15F2AFAE96767F68,Door Control (Fuse),车门控制（保险丝）
/7F6F154748A0600538CB1DA89DE2B203,Door Supply (Fuse),车门供电（保险丝）
/B884D1B54F73104BE7D78B9E19171567,Driven 100 Miles!,已行驶 100 英里！
/F13C392640176E79107F0DB8721A5ED5,Driven 100 Miles!,已行驶 100 英里！
/262F3D5248674FFE96968491D658A4EB,Driven 1000 Miles!,已行驶 1000 英里！
/988A24804544BAB913EFD38C1E7B2F0A,Driven 1000 Miles!,已行驶 1000 英里！
/5C76CA51454C2D6AC9C614B33BE1C330,Driver,司机
/BB41465343A99DAB07CA6DBA982F93DE,Earth (Fuse),地面（保险丝）
/3BDEDA034E0C2C5ADD40A682EBC9EADF,Emergency Brake,紧急制动
/A681EBC44E6834CD9633B8888E3148EB,Emergency Brake,紧急制动
/9953581246AA947C8AB2D4836E84E5C2,Emergency Brake Supply,启用紧急制动
/D76F9AF642E82A1F9062DF8C996B2EB7,Emergency Lights (Fuse),应急灯（保险丝）
/2DE0982F4567C8782A348DAA4042ED92,End Lights 1 (Fuse),尾灯 1（保险丝）
/DA3C35F2428C748D1F6A1892125C61A7,End Lights 2 (Fuse),尾灯 2（保险丝）
/BB7CA9824CF04E41101D96A2BCD13657,Engaged,已启用
/094D5CA2404C0DF1E44F88AEBE600B27,Engine Start,引擎启动
/98058224421F5976AD037184A37866C2,Engine Start,引擎启动
/5C25B5D64DD375D7EAAFAEAE89C1BA49,Engine Stop,引擎关闭
/E539E328410599C1D3D31F98C8D7731B,Engine Stop,引擎关闭
/CAC5E9384B552157D4DB2EAD347693C3,Fan,风扇
/07689FA64772E6F0A25C72922D257C50,Fault Indicator (Fuse),故障指示（保险丝）
/5E56D82D47F430BF40DBA1A1885C29A1,Fault Light Brighter,故障灯高亮
/C11C318E487E1D92F5DB92B2A610FF8A,Fault Light Dimmer,调光器故障
/00FBEC3341F423D88C84E9AFFFBD2E29,Forward,前牵位
/F2EC81B145728A2A022968B514927938,Fuel Cap,燃料箱盖
/CC5776B442C8CDEF2D88ADB96C49EE54,Full Service,全制动
/8181F68342038E51D0CE0EA9EB9B4315,GSM-R Fuse,铁路版全球移动通信系统（GSM-R）保险丝
/E56211D647ABFBC8939FA7BC84C51033,GWE Class 166,TBT
/6A0493EA45DAEE6E61F66FB41900169A,GWR Driver,大西部铁路公司司机
/7D0F57934D6B41CB088EEE9BEDA63EE3,GWR Driver,大西部铁路公司司机
/152BBB1F4C47D98CD578C69B3B3F9730,Gauge Dimmer,仪表调光器
/AD685DB74FA77FD14FEA128ABAA0D062,Gauge Dimmer,仪表调光器
/B77419CE4D12C9C4CF5118A1D7B93A22,Gauge Dimmer,仪表调光器
/DA06F6BB475B670898565C970BD42473,Gauge Dimmer,仪表调光器
/B9DFF824427569BAC6821A8E964DC27E,Global System Mobile - Railway,铁路版全球移动通信系统（GSM-R）
/274C0A4B49C6F5DF7FAC8E9107B83CE4,Guard Buzzer,警卫蜂鸣器
/46D4FCAA4FC81B9303261E94D6DF0248,HTG (Fuse),HTG（保险丝）
/BFDEB5D84E3D1E6DFDD32EACE8F5503F,Hazard Lights,警示灯
/65FA9C9F4965383918281D80F8B9D0A9,Headlights,前照灯
/98C5E65D4B7A62CDCC064AAFEEC0AA21,Headout Left,向左驶离
/DEE3985943D67603EA28AB85B1E0072C,Headout Right,从右方驶离
/9D0DA7D1429BDCF933B663B2C1C4B8C9,High,高
/66E666DC435A03A0414DF18434015ABC,Increase Brightness,上调亮度
/73E14F5446C4E9FD1B2BA2AB898FB2B3,Increase Volume,提高音量
/9647B17545BD04772B1C2FB27424B6B7,Int Doors (Fuse),内部门（保险丝）
/FF13AC9C45CAA2F9CED240AD1E9092C2,Isolated,隔离
/98B592D9412BD88500DAFDAABC396E6B,LH Screen (Fuse),LH 屏幕（保险丝）
/D128B5684BF1304431D5208FADFD3E86,Local Control (Fuse),本机控制（保险丝）
/731CE09B4E67A34FC767899355133D22,Locked,已锁定
/89B607D543F3F3F4BD085A945C0F117E,Locked,已锁定
/45FDFB7C454FF4F3F08FBFB386053289,Locked ,已锁定
/C9F8E06E498A254283C887812B84D66C,Low,低
/6623BE524AFB85DEA1EFE792E042E6E9,MR,主风缸
/6C7D3B9E4DA39D171C2E87B1E7471286,Main Lights 1 (Fuse),主灯 1（保险丝）
/FB88BF8B49CAA8118B89E28E23477C1E,Main Lights 2 (Fuse),主灯 2（保险丝）
/69C523BC4833F76760A4B2BB7E37DE18,Markers,标志灯
/70C2121C468293CEB0100F870164AB4F,Markers,标志灯
/D84E064C418CECFF8D2C09AD144A5D2F,Markers,标志灯
/BA7DD1D44E0D2BCDF26115B167E3480D,Master Key,主钥匙
/1D7D7B7E4FA38897B0F044BB9FB870DA,Max,最大
/5C82BB9A4BCC873F91094EA5975CACED,Min,最小
/30B5B9FB4D3EC6789844D7A005AB2E67,Neutral,中立
/4CDD2BD54695166E2F6950823857E7B5,Night,夜间
/E137FF2C473AE1E41E5A8C9C2E9D124D,Night,夜间
/C480749F489AC02014D68785F0228CA7,Normal,普通
/086BDBB146521662488E5A8349F23F36,Off,关闭
/2FF398E743918FED98C378A8F38457BD,Off,关闭
/8A22ECC34138E0657A6A279E3960F6B6,Off,关闭
/C3F4933D4EEEB23A4AADFD88830AB3AB,Off,关闭
/CF2E4D044762B6F68DF770B08904CCA3,Off,关闭
/D15F66754A8DE0A6E1A89FB880796AB3,Off,关闭
/E7670255471BB68E687D55B2A78A0E0A,Off,关闭
/0EF7B5584C40B3865B2F3EBDDE813FE4,On,开启
/1CD226C34ACFC027F3B997B797831120,On,开启
/557A37654325C31604C4B0B25A106803,On,开启
/D23837FF4ED8EFC0A52BF8B6D16CB82E,On/Off,开启/关闭
/110F8D2B4A966289F75A8297299BEC2A,Open,打开
/D6FF2BE145ADB9F13415A4804AA6C4BD,Open,打开
/4D1DAC63455C3C2E7E4997B0BEDF7BB3,Opened,打开
/C63D011348A7F923C182B7981B8323CC,Opened,打开
/DA25EF5E4BFB21761CE5989546A8B9C6,Opened,打开
/46DB48BB4599B675A29FFE931C0A1FCA,Override,超驰控制
/86F10F10458B59BD157B0FB0334F0562,Override,超驰控制
/4F535371482D113225892FAE5635D586,P.I.S (Fuse),P.I.S（保险丝）
/8D5AA0C14E177E30267B43BD73793387,Passenger Comms,客运公司
/507B06CF4190CAEBFBC51189B5C83DF0,Passenger Emergency Override,乘客紧急超驰控制
/4D3CB36048F33736F4DD4F902EE51318,Perkins 2006TWH,珀金斯 2006TWH
