key,source,target
/676DB3304DA96C4D2763ECA9ADBD3E0A,A.W.S（保险丝）,
/7CDB3FE845DC21C0844697A512B64161,自动报警系统,
/ABB8BFC3407BFB72959B10938266132C,接受,
/1A0B46374F046D3E3304EC9BDC544A1E,英国铁路工程公司/ABB 约克 1992 - 1993,
/29AD88DF4896CB9CAFC1CBA279382981,英国铁路工程公司/ABB 约克 1992 - 1993,
/677CF20D418759BA88E305AF815750CB,英国铁路工程公司/ABB 约克 1992 - 1993,
/80CB4EF041B40E6790147AAB4A8FE4F7,英国铁路工程公司/ABB 约克 1992 - 1993,
/8B535DAF44E42705EF97FCBB63622F05,英国铁路工程公司/ABB 约克 1992 - 1993,
/96577DEC444AD7004D211F90CF1FB05B,英国铁路工程公司/ABB 约克 1992 - 1993,
/EB69C71243CD08ADC749B49B2DCC7C72,百叶窗,
/5201253D47A200F715A6519F622DFE1A,制动（保险丝）,
/821055E5481C40C0C3805D96296D5EF5,持续制动,
/FFC65A6D45882F40667AFA85FAC0A533,制动撒砂,
/2E53AC6648EC46E6D96C879BF3188C52,制动 1,
/E21625D442ED26C988654698B7DF4CB3,制动 2,
/4072402A4DF48AE98442968C76725DEC,更明亮,
/55C37CD545233D9DE8EFC7822367F225,按键 +,
/1438498F4067E723689AA99F05CEE570,按键 -,
/36A695554E6D374F688A4781CDD942EF,按键 1,
/BA809593409F483375DF2EBD44693EFF,按键 2,
/8305A5D945BC388D692B15B082645226,按键 3,
/A4642E6C40105385F0349E88B82137D9,按键 4,
/14D1951440BC8D4E204A4586FBC1B334,按键 5,
/B2D14ED9425E18CAD19AF9977A7DD04C,按键 6,
/0A207E96434D298E9B65F5B16B646D24,按键 7,
/934923B04F584FC49477918885A69667,按键 8,
/DE60D32546C49E724EA6758162A8A74B,按键 9,
/3FF2A358458987F2F0438D8407EFF822,按键 OK,
/A5164EB042F2ED09A3AF11A3652452D6,驾驶室加热器（保险丝）,
/76F457314439E11D78C421AFB0C4AF07,驾驶室灯,
/28A3A2AE4485BB0203BDD28DFCF23668,取消,
/180BFEF8423ADF32C1390BBE34A3947C,大西铁路蓝色涂装 166 型动车组,
/1BCDDD6948690897A6958D9F6C0AEBC7,大西铁路蓝色涂装 166 型动车组,
/C4C3C86F49A2F8618D6A218C18749DA3,大西铁路蓝色涂装 166 型动车组,
/DB02E7A84622EF09E6DBA9957FAF9ACC,大西铁路蓝色涂装 166 型动车组,
/968B4F624DFCFBA1A42728B5BF6B4453,大西铁路绿色涂装 166 型机车,
/9C743BAF4FB7999EF792F5843C684905,大西铁路绿色涂装 166 型机车,
/8AE796D341C7562A5DADC1B4F23FAE33,大西铁路 166 型动车组,
/096C64A0439D723EACEE02B86747C3EA,大西铁路绿色涂装 166 型标准开放动力车,
/86EA37BA41B06677BAED25808FE38A47,清空,
/3396ABF0443F0C39216C10894434EB57,气候控制,
/F0B690A2485CF57B54A4A28DFEEFE064,告示板灯光,
/1695B89147D926DA630FA2A937ED5389,关闭,
/3879FD3E4595D5C75C1DABA993DC35A7,关闭,
/AC9C4B9F46C5C826B7006F8A363E2C7C,关闭,
/C2D9E5C44A353281D01601AFB8C45213,关闭,
/202DF4954DBB81A7ED0CF480AA93BDDF,关闭,
/524C35174888323582FC74B6CE5247C5,已关闭,
/6F539E1E4104D6C8A850B3925669EE5A,关闭,
/EDBFD7604F268C340BD0CEA0F4DE76E3,关闭,
/6348FA6545222D3B1D188C81934F62B0,压缩机加速,
/40D8D30E47C7FDDD6E819FBDDB5BFE50,确认,
/041FCFDF4B55213428C80981C0667497,联系信号员,
/4B7A4AA74BF8EFD6309304ACC4F44155,连接,
/87A24ADB49FC3ED3A2022DA441BBA99D,车钩,
/93595009448F0FEC76FA1AA67C84482E,车钩,
/F7E36162492AEE0BCC38329118C63B9F,司机提醒装置,
/A3D3EC3F4B3892AB2111DEB88FA38EEC,司机安全装置（DSD）隔离,
/EF62180F4B04699A5BEEABA778326C84,司机安全装置（DSD）踏板,
/495B5B0E4CDACC4BF87D3EB88C2D433C,日间模式,
/CD88187F4C2685402D23979FEE11FADE,日间模式,
/420580F44FD92A4E047D56A536D47889,下调亮度,
/481AE16A47BE5EBFE77D5FAC107B3379,降低音量,
/76FACCCC446B3F0C088F268F68D4BA95,下一站,
/27CE9B6947BFDB1906E93286A410445E,上一站,
/51029FAE4D93B8C9CE5D8182FB4E18AD,柴油液压动车组,
/6FBE8F824F80EBE4824A5DA7A3F879C9,柴油液压动车组,
/765071E3490DCB0ED3E0779DEABE2DCF,柴油液压动车组,
/9B6AAC664C8C44485E6DAD8537A208E7,柴油液压动车组,
/D85C9F9F4C0674A2E6723FA000C62B00,柴油液压动车组,
/D99F153A4679612BB81C3D9569C954AD,柴油液压动车组,
/711F610244DC57B3290FAE83D2D51A7E,调光器,
/34D280F14BD6EC45CF54E9B62BAE6EBC,车门,
/873754164C2180DECA2A8DA860DECCB0,车门,
/AF331A844F924D14AB7A44BC4289B1B7,车门,
/CE7B551F418CA1CE8B3BBCA215B7357F,车门,
/E24FF8C34D0C554AA2D9238C4303BAFB,车门,
/8C3883C34199605008BB658D5129580A,车门,
/F3C38A274F004E5D15F2AFAE96767F68,车门控制（保险丝）,
/7F6F154748A0600538CB1DA89DE2B203,车门供电（保险丝）,
/B884D1B54F73104BE7D78B9E19171567,已行驶 100 英里！,
/F13C392640176E79107F0DB8721A5ED5,已行驶 100 英里！,
/262F3D5248674FFE96968491D658A4EB,已行驶 1000 英里！,
/988A24804544BAB913EFD38C1E7B2F0A,已行驶 1000 英里！,
/5C76CA51454C2D6AC9C614B33BE1C330,司机,
/BB41465343A99DAB07CA6DBA982F93DE,地面（保险丝）,
/3BDEDA034E0C2C5ADD40A682EBC9EADF,紧急制动,
/A681EBC44E6834CD9633B8888E3148EB,紧急制动,
/9953581246AA947C8AB2D4836E84E5C2,启用紧急制动,
/D76F9AF642E82A1F9062DF8C996B2EB7,应急灯（保险丝）,
/2DE0982F4567C8782A348DAA4042ED92,尾灯 1（保险丝）,
/DA3C35F2428C748D1F6A1892125C61A7,尾灯 2（保险丝）,
/BB7CA9824CF04E41101D96A2BCD13657,已启用,
/094D5CA2404C0DF1E44F88AEBE600B27,引擎启动,
/98058224421F5976AD037184A37866C2,引擎启动,
/5C25B5D64DD375D7EAAFAEAE89C1BA49,引擎关闭,
/E539E328410599C1D3D31F98C8D7731B,引擎关闭,
/CAC5E9384B552157D4DB2EAD347693C3,风扇,
/07689FA64772E6F0A25C72922D257C50,故障指示（保险丝）,
/5E56D82D47F430BF40DBA1A1885C29A1,故障灯高亮,
/C11C318E487E1D92F5DB92B2A610FF8A,调光器故障,
/00FBEC3341F423D88C84E9AFFFBD2E29,前牵位,
/F2EC81B145728A2A022968B514927938,燃料箱盖,
/CC5776B442C8CDEF2D88ADB96C49EE54,全制动,
/8181F68342038E51D0CE0EA9EB9B4315,铁路版全球移动通信系统（GSM-R）保险丝,
/6A0493EA45DAEE6E61F66FB41900169A,大西部铁路公司司机,
/7D0F57934D6B41CB088EEE9BEDA63EE3,大西部铁路公司司机,
/152BBB1F4C47D98CD578C69B3B3F9730,仪表调光器,
/AD685DB74FA77FD14FEA128ABAA0D062,仪表调光器,
/B77419CE4D12C9C4CF5118A1D7B93A22,仪表调光器,
/DA06F6BB475B670898565C970BD42473,仪表调光器,
/B9DFF824427569BAC6821A8E964DC27E,铁路版全球移动通信系统（GSM-R）,
/274C0A4B49C6F5DF7FAC8E9107B83CE4,警卫蜂鸣器,
/46D4FCAA4FC81B9303261E94D6DF0248,HTG（保险丝）,
/BFDEB5D84E3D1E6DFDD32EACE8F5503F,警示灯,
/65FA9C9F4965383918281D80F8B9D0A9,前照灯,
/98C5E65D4B7A62CDCC064AAFEEC0AA21,向左驶离,
/DEE3985943D67603EA28AB85B1E0072C,从右方驶离,
/9D0DA7D1429BDCF933B663B2C1C4B8C9,高,
/66E666DC435A03A0414DF18434015ABC,上调亮度,
/73E14F5446C4E9FD1B2BA2AB898FB2B3,提高音量,
/9647B17545BD04772B1C2FB27424B6B7,内部门（保险丝）,
/FF13AC9C45CAA2F9CED240AD1E9092C2,隔离,
/98B592D9412BD88500DAFDAABC396E6B,LH 屏幕（保险丝）,
/D128B5684BF1304431D5208FADFD3E86,本机控制（保险丝）,
/731CE09B4E67A34FC767899355133D22,已锁定,
/89B607D543F3F3F4BD085A945C0F117E,已锁定,
/45FDFB7C454FF4F3F08FBFB386053289,已锁定,
/C9F8E06E498A254283C887812B84D66C,低,
/6623BE524AFB85DEA1EFE792E042E6E9,主风缸,
/6C7D3B9E4DA39D171C2E87B1E7471286,主灯 1（保险丝）,
/FB88BF8B49CAA8118B89E28E23477C1E,主灯光 2（保险丝）,
/69C523BC4833F76760A4B2BB7E37DE18,标志灯,
/70C2121C468293CEB0100F870164AB4F,标志灯,
/D84E064C418CECFF8D2C09AD144A5D2F,标志灯,
/BA7DD1D44E0D2BCDF26115B167E3480D,主密钥,
/1D7D7B7E4FA38897B0F044BB9FB870DA,最大值,
/5C82BB9A4BCC873F91094EA5975CACED,分,
/30B5B9FB4D3EC6789844D7A005AB2E67,空档,
/4CDD2BD54695166E2F6950823857E7B5,夜间,
/E137FF2C473AE1E41E5A8C9C2E9D124D,夜间,
/C480749F489AC02014D68785F0228CA7,普通,
/086BDBB146521662488E5A8349F23F36,关闭,
/2FF398E743918FED98C378A8F38457BD,关闭,
/8A22ECC34138E0657A6A279E3960F6B6,关闭,
/C3F4933D4EEEB23A4AADFD88830AB3AB,关闭,
/CF2E4D044762B6F68DF770B08904CCA3,关闭,
/D15F66754A8DE0A6E1A89FB880796AB3,关闭,
/E7670255471BB68E687D55B2A78A0E0A,关闭,
/0EF7B5584C40B3865B2F3EBDDE813FE4,开启,
/1CD226C34ACFC027F3B997B797831120,开启,
/557A37654325C31604C4B0B25A106803,开启,
/D23837FF4ED8EFC0A52BF8B6D16CB82E,开启/关闭,
/110F8D2B4A966289F75A8297299BEC2A,打开,
/D6FF2BE145ADB9F13415A4804AA6C4BD,打开,
/4D1DAC63455C3C2E7E4997B0BEDF7BB3,打开,
/C63D011348A7F923C182B7981B8323CC,打开,
/DA25EF5E4BFB21761CE5989546A8B9C6,打开,
/46DB48BB4599B675A29FFE931C0A1FCA,超驰控制,
/86F10F10458B59BD157B0FB0334F0562,超驰控制,
/4F535371482D113225892FAE5635D586,P.I.S（保险丝）,
/8D5AA0C14E177E30267B43BD73793387,客运公司,
/507B06CF4190CAEBFBC51189B5C83DF0,乘客紧急超驰控制,
/4D3CB36048F33736F4DD4F902EE51318,珀金斯 2006TWH,
/6C3115964802EB7833B66E832B5F690F,珀金斯 2006TWH,
/C3D6DF8445F32BD6A551BF99973DABAA,珀金斯 2006TWH,
/C50018F545082D4F7D556E9DD28D4B26,珀金斯 2006TWH,
/CD99134443841D1E6AFF6791F7132452,珀金斯 2006TWH,
/F9660CAD4CB6194D09C42AAD37D2C05F,珀金斯 2006TWH,
/19B671AE4B77FD9966CC1FB513393414,按下,
/22E9225F4530A41A95207ABB23A62C29,已按下,
/3A7C43E04E7C9AA4F257FF964F3ACB18,已按下,
/4296253E48C82196D0DF44B9567DC78C,按下,
/57185EAB44546BE2072C799FEAD9B682,已按下,
/84814D794E7CC81F279F59B96D7B48D1,按下,
/87F575FE45E0781DB286FC81E4DF101D,已按下,
/8D11E7DB466A49F5043A6793FBC899A2,已按下,
/90001A5948BAF31787079EA03249DD9E,已按下,
/92E1448A497561A0CB1501A032807EC0,已按下,
/99A588D649AE2A04388C9B973ABA0910,按下,
/B2D5A916435978EA0C28639BDB334C0B,按下,
/BEBD69BB4505CB71146A838065998BD9,已按下,
/DA6BB87048CEDA4C02B3038066AFFB41,按下,
/E38E78304E1061B21B1ADEA5B2B63D3F,已按下,
/86E8B3574BB4916BEA06019D2317F90D,播音（保险丝）,
/A05074514D6E0E21825A57B65308CF14,RH 屏幕（保险丝）,
/126A2A5A4C10FAEAB04C388DE6D4F493,无线电（保险丝）,
/1D598BED4F6DFE5C0389608D7C744494,缓解,
/CE7EB25B4919352BA520F8AE21D318E1,缓解,
/EA115FB54D7CEDC511E9EB9AC20D4F70,缓解,
/64991CA34C65D976527AA48B8A70B4EE,远程供电（保险丝）,
/677B22CB435574781F156897018FDA16,重置,
/6B8E310C4A2C155858457F887B1E8DE0,重置,
/61F2D81A4195D71FE855E6A37212AE3A,后牵位,
/3968F61141C3FE2058034B8EB82E3D9C,反向器,
/B27295BC4387E032C6D1B781C082518B,安全系统,
/50C3F0AD4DC07E6AC34FDE955493788A,沙龙热度 1（保险丝）,
/FE7EBCD944910933B94A9D8A25AAEEE7,头等舱暖气 2 (保险丝),
/CFD672274548808F4F3D459520E7CFF3,牵引撒砂,
/9CA7417447B096F8FF79749AE8BB8086,座位,
/B9B86B1C46B04CDDEA8237A5209BDBBF,副驾驶座位,
/6E31B2524A396C71C7EE36BB86BB11F0,入座,
/708BA5F94F566C397AB65F9DFB27E15C,开始,
/EDDD843E4ED3E8F2A34AFA8073E57463,开始,
/753EFFB9438B720FF5206087C8B7AD97,停车,
/DCA079324794393C277001AC0CFD00F8,停车,
/865BF2D8437A43BB48AF3C94535FD623,TCS（保险丝）,
/5479E3BD472FF633F81FDCB6DE65D410,车尾,
/75ACF6C648FB1CE06E71F0A42A49706C,车尾,
/57C34DEC4D04499E3E178DA128928070,车尾灯,
/9CE3939C4D3A2DE266BD40AF7963671D,测试,
/A3FAF13C47F15ACE825325A7549B8EB2,加速/制动,
/DCEA1E674826183BF44940AEF5750D9B,牵引互锁,
/718AC0834A356F47AEEEC181A52FB035,列车控制（保险丝）,
/8B12764B431BA99D8E0F4191881AB82E,车门关闭,
/3F0E77FB4159E1FAF91F93B63BFF178A,缓解列车车门,
/6335C95B4FC148C22126D98F91CE6408,缓解列车车门,
/FFCB77004E7B527A5DB3EAA662BF21C7,列车火险警报器,
/5DD90CC04A68C5CD15D08DB64F6067D7,列车灯光关闭,
/63D123A0473D9CB7AA9D22B5C16B4CC8,列车灯光开启,
/6F35E3844F16C505606C309C2EBE73CE,列车预热,
/05EA954D4CA804C49B7A82A0D0A11FEE,列车停止超驰,
/34D1F5B14241F2D043C457966B81F2B6,断开,
/3133EBEB44BEDFAA0E27C3A53E7CE937,已解锁,
/05CC7FDC4DD21E2B9C63B494B0A47497,已使用驾驶室门,
/2ABE764C459FA675399EC6B7249B1730,已使用驾驶室门,
/5C603AFF4D05607A1D5793B6962A5D33,已使用驾驶室灯,
/EED4864A49AE0E2CC59620B09CDC4FD0,已使用驾驶室灯,
/09C9128B4F536763B30ADCB8722AA72D,使用加速/制动联合手柄,
/619480B3428CBC72C788F0A782258F12,使用加速/制动联合手柄,
/222C37D84CED00922E32F8A5D42E2252,已使用车门解锁,
/23191BE64AD6743AE629538F3021821A,已使用车门解锁,
/1D1BC52F4691637465F5568AB6CA60F8,已使用前照灯,
/50E5284849A14B39DF145E9D9ED13F1C,已使用前照灯,
/7A0A164B4B86D3DDBA8349B9159E4957,已鸣笛,
/BE1D91DE44D682D22D7C7FB21F31EDF6,已鸣笛,
/329762C84C656B928ADAF0A984E85967,已使用乘客门,
/8D6052A94DE57B1E894A99A80367DF39,已使用乘客门,
/3929A3AB4A2FE499B40CE287FDC16554,使用乘客沙龙灯,
/91A4D4AC45D6001A12B605A358ED19DC,使用乘客沙龙灯,
/32D9DCD345294E634AA84294CCEDC4AE,已使用反向器,
/D77F913C455BE12EA0199EA0305BE347,已使用反向器,
/696AD0EE425B246ED45E649A237E749F,已使用车窗雨刷,
/BD84F19C4A40D198D7C8E0A2674395CE,已使用车窗雨刷,
/29DD0FBB48B8B09154D238BDE56E96B5,真空室,
/DD29FE754450DC358B76CF838F9E042D,真空管,
/E462A9084F66C48FDE4863902A821853,查看乘客信息系统,
/ADB99B3A43A94751E2D81298F5B40F3A,警戒,
/4A01618D473763F9759B94873058E2C4,警笛,
/5FE8CDFF430217123866008F38A2263F,挡风玻璃除雾器,
/A9C2C374406C75751F1885B0D12B9C29,雨刷,
Dispatcher/Denied request pass signal (junctions),已拒绝。检查开关。,
Dispatcher/Denied request pass signal,已拒绝。调度员无法许可列车任何行动。,
Dispatcher/Denied request pass signal (too far),已拒绝。开到信号机前等待指令。,
Dispatcher/Denied request pass signal (no route),已拒绝。无可用路线。,
Dispatcher/Denied request pass signal (service),已拒绝。列车没有进入信号区许可。,
Dispatcher/Denied request pass signal (train ahead),已拒绝。前方有列车占道。,
Dispatcher/Denied request pass signal (wait signal),已拒绝。等待信号灯变化。,
Dispatcher/Denied request pass signal (off path),已拒绝。当前列车偏离轨道。,
Dispatcher/Request pass signal: proceed,按照信号指示前进,
Dispatcher/Request pass signal: proceed restricted,依照限速继续行驶,
