key,source,target
/4A6B964240B1E3F0D2C1C0993857C8A8,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/F320D268447CF68C4071B9BDF398BCAE,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/373F26F04022E12D4045CCBF6C3A75F7,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/732BFFAD43FF69AD0C87AFBEA1BB7E2F,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/742AFC34423F2E9E116BBF891FE6FD30,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/CEA62EA441042C37E729D7B418EF3F68,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/F10C76564E3B67BB6EA2F09FBA0B4836,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/F354FFB347B5309FA52491A0CD94B105,"
Yankees-
E. 153rd Street","
Yankees-
E. 153rd Street"
/7C54B0C84958720F35492AAD2A151063,3.7,3.7
/8D4B06E5425A87573EEDF3955CC07FF5,3.7,3.7
/75A7053F415F7F23727CFE94EFEC14EC,ACSES<br>OFF,ACSES<br>OFF
/787EC3D84524BB55B75E95B326AD3EA5,ACSES<br>ON,ACSES<br>ON
/2C0A22DA42E3DD85A8004289E2593577,Botanical Garden,植物园
/B290BCDA475439C75A6A07A8C14BED43,Botanical Garden Track 3,植物园站 3 号轨道
/F65CB66E41E88A1A808E26B3D82FE725,Botanical Garden Track 4,植物园站 4 号轨道
/35FC6C4042A509A74C587CB51B69A8F3,Bronxville,布朗克斯韦尔
/8E03469C452B2DAFA3E97DBF4B2D150B,Bronxville Track 1,布朗克斯韦尔 1 号轨道
/50C619CD49CA740A91CE6A9380814317,Bronxville Track 4,布朗克斯韦尔 4 号轨道
/99A580E04C4648A60F6B9E8BDCD4734B,CSXPalette,CSXPalette
/096B3F244293E88AB4DAA7A239D32F5D,Center,中心
/43C91A50449CAA2B5FB898BEA09FBFDA,Center,中心
/ACDD363644672DDC712334A9FE863ACB,Crestwood,克莱斯特伍德
/680F0FB546026E3744102C8D225920FC,Crestwood Track 1,克莱斯特伍德 1 号轨道
/DD3CE5C9472B69EE6C2609A450D6AB43,Crestwood Track 2,克莱斯特伍德 2 号轨道
