key,source,target
/9AF789E24B5A19D38365BB91A18612CC,+,
/2A3FFDFD4F1B7B424A8C6AA16FBE25BE,-,
/837E76F643D9905A817402AD77CF342C,-,
/518A28E34E5CA2883CD177A35CC92B77,0,
/360A7C91412035E91A1397A940EB1869,1,
/C9B51895492EE33DFEC6E8B7269EEA1E,2,
/AE82ED1D46E04C57804C5FB3FFE1177D,3,
/45C8ACCA42D87AB4E1B946840CFFA78C,4,
/9FF314A54BB19E97D4A18B808612CBA2,5,
/6CC2A2D84573298DF4B94FA4AC4C61CC,6,
/167ECFB14DE39303EFFCC6B714CB4243,7,
/7E8F0F514BAFC8CA1EC7D3A056DAF667,8,
/5E63625D4B75A18B56A3B8B5B5BA1DA9,9,
/27AC7FFB423B9C5385650AAFC3396ABE,====,
/343436F8465452C8CB78FD8706F94149,======,
/F2991B114E07EC9D94222288DF74CA0E,======,
/BAB70A554DE21787A5FF8DBC8DF18E84,========,
/A225CD2843BA199B577CE6A979815AF1,================,
/713113E44C46CBE19F016EAA69F2D0B3,====================,
/8115B90B4A157B52B9E44B9957BF706C,====================,
/04B929294005F58762E5838E7138DFD9,A Windshield Wiper appears to have become stuck.,
/0A7619244F5B0B0AFB918CB6F509EBAB,A passenger door has become stuck. Identify and manually operate the door to unstick it.,
/B649F38D406E5C38CE7913AD5B601450,A saloon lighting circuit breaker has tripped. Check the fuse panel and reset the Main Lights MCB.,
/676DB3304DA96C4D2763ECA9ADBD3E0A,A.W.S (Fuse),
/7CDB3FE845DC21C0844697A512B64161,AWS,
/ABB8BFC3407BFB72959B10938266132C,Accept,
/6263D047496D3957BE94B7B5D759A110,An engine has shut down without warning. Check the fuse panel for a tripped Local Control MCB.,
/049F55594E063E6D56E25BB49E549188,An exterior lights circuit breaker has tripped. Check the fuse panel and reset the End Lights MCB.,
/2024218343DBB11971085BB4235211AF,BREL / ABB York 1992 - 1993,
/67AAA9344071CA0A4F1721A8228C373B,BREL / ABB York 1992 - 1993,
/EB69C71243CD08ADC749B49B2DCC7C72,Blind,
/5201253D47A200F715A6519F622DFE1A,Brake (Fuse),
/821055E5481C40C0C3805D96296D5EF5,Brake Hold,
/FFC65A6D45882F40667AFA85FAC0A533,Brake Sanding,
/2E53AC6648EC46E6D96C879BF3188C52,Braking 1,
/E21625D442ED26C988654698B7DF4CB3,Braking 2,
/4072402A4DF48AE98442968C76725DEC,Brighter,
/55C37CD545233D9DE8EFC7822367F225,Button +,
/1438498F4067E723689AA99F05CEE570,Button -,
/36A695554E6D374F688A4781CDD942EF,Button 1,
/BA809593409F483375DF2EBD44693EFF,Button 2,
/8305A5D945BC388D692B15B082645226,Button 3,
/A4642E6C40105385F0349E88B82137D9,Button 4,
/14D1951440BC8D4E204A4586FBC1B334,Button 5,
/B2D14ED9425E18CAD19AF9977A7DD04C,Button 6,
/0A207E96434D298E9B65F5B16B646D24,Button 7,
/934923B04F584FC49477918885A69667,Button 8,
/DE60D32546C49E724EA6758162A8A74B,Button 9,
/3FF2A358458987F2F0438D8407EFF822,Button OK,
/A5164EB042F2ED09A3AF11A3652452D6,Cab Heater (Fuse),
/76F457314439E11D78C421AFB0C4AF07,Cab Light,
/98D75C554291AD8B0C761F83018507E4,Cab Light,
/D54D736B4EFE9A30573750BBD9269904,Cab Window,
/28A3A2AE4485BB0203BDD28DFCF23668,Cancel,
/62D7EA274E380F695E897C9AE518A032,Class 165 GWR,
/AE4FF2C84A55395C7FFA688577BCB495,Class 165 GWR 2 car,
/CE0CF26D4BA77B4816AB9591F2E84C19,Class 165 GWR DMSL,
/86EA37BA41B06677BAED25808FE38A47,Clear,
/3396ABF0443F0C39216C10894434EB57,Climate Control,
/F0B690A2485CF57B54A4A28DFEEFE064,Clipboard Light,
/1695B89147D926DA630FA2A937ED5389,Close,
/3879FD3E4595D5C75C1DABA993DC35A7,Close,
/AC9C4B9F46C5C826B7006F8A363E2C7C,Close,
/C2D9E5C44A353281D01601AFB8C45213,Close,
/202DF4954DBB81A7ED0CF480AA93BDDF,Closed,
/524C35174888323582FC74B6CE5247C5,Closed,
/6F539E1E4104D6C8A850B3925669EE5A,Closed,
/EDBFD7604F268C340BD0CEA0F4DE76E3,Closed,
/6348FA6545222D3B1D188C81934F62B0,Compressor Speed Up,
/40D8D30E47C7FDDD6E819FBDDB5BFE50,Confirm,
/041FCFDF4B55213428C80981C0667497,Contact Signaller,
/4B7A4AA74BF8EFD6309304ACC4F44155,Couple,
/87A24ADB49FC3ED3A2022DA441BBA99D,Coupler,
/93595009448F0FEC76FA1AA67C84482E,Coupler,
/AE577DCA4E1BEE268B21ECA2C417E89E,DMCO,
/DA91BA0249D1CD17DE5F2896F6440254,DMSL,
/F7E36162492AEE0BCC38329118C63B9F,DRA,
/A3D3EC3F4B3892AB2111DEB88FA38EEC,DSD Isolation,
/EF62180F4B04699A5BEEABA778326C84,DSD Pedal,
/495B5B0E4CDACC4BF87D3EB88C2D433C,Day,
/CD88187F4C2685402D23979FEE11FADE,Day,
/420580F44FD92A4E047D56A536D47889,Decrease Brightness,
/481AE16A47BE5EBFE77D5FAC107B3379,Decrease Volume,
/76FACCCC446B3F0C088F268F68D4BA95,Destination Next,
/27CE9B6947BFDB1906E93286A410445E,Destination Previous,
/9DD8F65C40C233C2385C9391CE8EDDCD,Diesel Hydraulic Multiple Unit,
/CA595DB5497F04D4E3DD65BCF29931B9,Diesel Hydraulic Multiple Unit,
/711F610244DC57B3290FAE83D2D51A7E,Dimmer,
/34D280F14BD6EC45CF54E9B62BAE6EBC,Door,
/873754164C2180DECA2A8DA860DECCB0,Door,
/AF331A844F924D14AB7A44BC4289B1B7,Door,
/CE7B551F418CA1CE8B3BBCA215B7357F,Door,
/E24FF8C34D0C554AA2D9238C4303BAFB,Door,
/8C3883C34199605008BB658D5129580A,Door ,
/F3C38A274F004E5D15F2AFAE96767F68,Door Control (Fuse),
/7F6F154748A0600538CB1DA89DE2B203,Door Supply (Fuse),
/F13C392640176E79107F0DB8721A5ED5,Driven 100 Miles!,
/988A24804544BAB913EFD38C1E7B2F0A,Driven 1000 Miles!,
/5C76CA51454C2D6AC9C614B33BE1C330,Driver,
/BB41465343A99DAB07CA6DBA982F93DE,Earth (Fuse),
/3BDEDA034E0C2C5ADD40A682EBC9EADF,Emergency Brake,
/A681EBC44E6834CD9633B8888E3148EB,Emergency Brake,
/9953581246AA947C8AB2D4836E84E5C2,Emergency Brake Supply,
/D76F9AF642E82A1F9062DF8C996B2EB7,Emergency Lights (Fuse),
/2DE0982F4567C8782A348DAA4042ED92,End Lights 1 (Fuse),
/DA3C35F2428C748D1F6A1892125C61A7,End Lights 2 (Fuse),
/BB7CA9824CF04E41101D96A2BCD13657,Engaged,
/094D5CA2404C0DF1E44F88AEBE600B27,Engine Start,
/98058224421F5976AD037184A37866C2,Engine Start,
/5C25B5D64DD375D7EAAFAEAE89C1BA49,Engine Stop,
/E539E328410599C1D3D31F98C8D7731B,Engine Stop,
/CAC5E9384B552157D4DB2EAD347693C3,Fan,
/07689FA64772E6F0A25C72922D257C50,Fault Indicator (Fuse),
/5E56D82D47F430BF40DBA1A1885C29A1,Fault Light Brighter,
/C11C318E487E1D92F5DB92B2A610FF8A,Fault Light Dimmer,
/00FBEC3341F423D88C84E9AFFFBD2E29,Forward,
/F2EC81B145728A2A022968B514927938,Fuel Cap,
/CC5776B442C8CDEF2D88ADB96C49EE54,Full Service,
/8181F68342038E51D0CE0EA9EB9B4315,GSM-R Fuse,
/060B14A8454252A00BB0E186A747C3D8,GWR Class 165,
/E56211D647ABFBC8939FA7BC84C51033,GWR Class 165,
/6A0493EA45DAEE6E61F66FB41900169A,GWR Driver,
/7D0F57934D6B41CB088EEE9BEDA63EE3,GWR Driver,
/152BBB1F4C47D98CD578C69B3B3F9730,Gauge Dimmer,
/AD685DB74FA77FD14FEA128ABAA0D062,Gauge Dimmer,
/B77419CE4D12C9C4CF5118A1D7B93A22,Gauge Dimmer,
/DA06F6BB475B670898565C970BD42473,Gauge Dimmer,
/B9DFF824427569BAC6821A8E964DC27E,Global System Mobile - Railway,
/274C0A4B49C6F5DF7FAC8E9107B83CE4,Guard Buzzer,
/46D4FCAA4FC81B9303261E94D6DF0248,HTG (Fuse),
/BFDEB5D84E3D1E6DFDD32EACE8F5503F,Hazard Lights,
/65FA9C9F4965383918281D80F8B9D0A9,Headlights,
/98C5E65D4B7A62CDCC064AAFEEC0AA21,Headout Left,
/DEE3985943D67603EA28AB85B1E0072C,Headout Right,
/9D0DA7D1429BDCF933B663B2C1C4B8C9,High,
/66E666DC435A03A0414DF18434015ABC,Increase Brightness,
/73E14F5446C4E9FD1B2BA2AB898FB2B3,Increase Volume,
/9647B17545BD04772B1C2FB27424B6B7,Int Doors (Fuse),
/FF13AC9C45CAA2F9CED240AD1E9092C2,Isolated,
/98B592D9412BD88500DAFDAABC396E6B,LH Screen (Fuse),
/D128B5684BF1304431D5208FADFD3E86,Local Control (Fuse),
/731CE09B4E67A34FC767899355133D22,Locked,
/89B607D543F3F3F4BD085A945C0F117E,Locked,
/45FDFB7C454FF4F3F08FBFB386053289,Locked ,
/C9F8E06E498A254283C887812B84D66C,Low,
/6623BE524AFB85DEA1EFE792E042E6E9,MR,
/6C7D3B9E4DA39D171C2E87B1E7471286,Main Lights 1 (Fuse),
/FB88BF8B49CAA8118B89E28E23477C1E,Main Lights 2 (Fuse),
/69C523BC4833F76760A4B2BB7E37DE18,Markers,
/70C2121C468293CEB0100F870164AB4F,Markers,
/D84E064C418CECFF8D2C09AD144A5D2F,Markers,
/BA7DD1D44E0D2BCDF26115B167E3480D,Master Key,
/1D7D7B7E4FA38897B0F044BB9FB870DA,Max,
/5C82BB9A4BCC873F91094EA5975CACED,Min,
/30B5B9FB4D3EC6789844D7A005AB2E67,Neutral,
/4CDD2BD54695166E2F6950823857E7B5,Night,
/E137FF2C473AE1E41E5A8C9C2E9D124D,Night,
/C480749F489AC02014D68785F0228CA7,Normal,
/086BDBB146521662488E5A8349F23F36,Off,
/2FF398E743918FED98C378A8F38457BD,Off,
/8A22ECC34138E0657A6A279E3960F6B6,Off,
/C3F4933D4EEEB23A4AADFD88830AB3AB,Off,
/CF2E4D044762B6F68DF770B08904CCA3,Off,
/D15F66754A8DE0A6E1A89FB880796AB3,Off,
/E7670255471BB68E687D55B2A78A0E0A,Off,
/0EF7B5584C40B3865B2F3EBDDE813FE4,On,
/1CD226C34ACFC027F3B997B797831120,On,
/557A37654325C31604C4B0B25A106803,On,
/D23837FF4ED8EFC0A52BF8B6D16CB82E,On/Off,
/CBCC6109482D9CDD63E44BBD6E891DCC,One of the Diesel Engines has stalled. It will need restarting.,
/110F8D2B4A966289F75A8297299BEC2A,Open,
/D6FF2BE145ADB9F13415A4804AA6C4BD,Open,
/4D1DAC63455C3C2E7E4997B0BEDF7BB3,Opened,
/C63D011348A7F923C182B7981B8323CC,Opened,
/DA25EF5E4BFB21761CE5989546A8B9C6,Opened,
/46DB48BB4599B675A29FFE931C0A1FCA,Override,
/86F10F10458B59BD157B0FB0334F0562,Override,
/4F535371482D113225892FAE5635D586,P.I.S (Fuse),
/8D5AA0C14E177E30267B43BD73793387,Passenger Comms,
/507B06CF4190CAEBFBC51189B5C83DF0,Passenger Emergency Override,
/1C6C11FC400BFC3842DE94BD61014E4F,Perkins 2006TWH,
/8D3DC7D94D778490A3B536BE0367929B,Perkins 2006TWH,
/19B671AE4B77FD9966CC1FB513393414,Pressed,
/22E9225F4530A41A95207ABB23A62C29,Pressed,
/3A7C43E04E7C9AA4F257FF964F3ACB18,Pressed,
/4296253E48C82196D0DF44B9567DC78C,Pressed,
/57185EAB44546BE2072C799FEAD9B682,Pressed,
/84814D794E7CC81F279F59B96D7B48D1,Pressed,
/87F575FE45E0781DB286FC81E4DF101D,Pressed,
/8D11E7DB466A49F5043A6793FBC899A2,Pressed,
/90001A5948BAF31787079EA03249DD9E,Pressed,
/92E1448A497561A0CB1501A032807EC0,Pressed,
/99A588D649AE2A04388C9B973ABA0910,Pressed,
/B2D5A916435978EA0C28639BDB334C0B,Pressed,
/BEBD69BB4505CB71146A838065998BD9,Pressed,
/DA6BB87048CEDA4C02B3038066AFFB41,Pressed,
/E38E78304E1061B21B1ADEA5B2B63D3F,Pressed,
/86E8B3574BB4916BEA06019D2317F90D,Public Address (Fuse),
/A05074514D6E0E21825A57B65308CF14,RH Screen (Fuse),
/126A2A5A4C10FAEAB04C388DE6D4F493,Radio (Fuse),
/445CD0D3443B7F020B3A44B56C78B7C8,Random Fault,
/480BC15D478B794FA3EF509A85D173FA,Random Fault,
/56B8AECD49519BDF695A08B0F47C0F1B,Random Fault,
/5BE390CC486C3AB9779F6FBAB5D5CB84,Random Fault,
/690FBCA748D3C34B5A838FAB63F9070E,Random Fault,
/8A7BB9524FBA79D2EE660FBE1E21E13C,Random Fault,
/8BB5A3364964615656D738A5F8F443BD,Random Fault,
/96CAB8594C3CC0E90F865E88DE18828F,Random Fault,
/C465FE2645C85A9330FEDBA5EA82E89E,Random Fault,
/D7174E6449F8A5D94C28A29EE0BD63EE,Random Fault,
/FDC14ECF47478299725AB586EAE633A2,Random Fault,
/1D598BED4F6DFE5C0389608D7C744494,Release,
/CE7EB25B4919352BA520F8AE21D318E1,Release,
/EA115FB54D7CEDC511E9EB9AC20D4F70,Release,
/64991CA34C65D976527AA48B8A70B4EE,Remote Supply (Fuse),
/677B22CB435574781F156897018FDA16,Reset,
/6B8E310C4A2C155858457F887B1E8DE0,Reset,
/61F2D81A4195D71FE855E6A37212AE3A,Reverse,
/3968F61141C3FE2058034B8EB82E3D9C,Reverser,
/B27295BC4387E032C6D1B781C082518B,Safety Systems,
/50C3F0AD4DC07E6AC34FDE955493788A,Sallon Heat 1 (Fuse),
