key,source,target
/1FA4A78440D8DC2AD1698188555DBF20,-,
/28ACE01D4538317CBD6A1D83EB5FD101,1,
/3A330E0D48D2C38EED2928AB536B5DDA,1,
/B2F3E43B4BAB7AA356B4DC908664C389,1,
/525124834019809EA256268F1B46372E,168,
/218378834073A92701C977972DDC3FAA,2State,
/8673A24C4AE50C07A575859AB00EA2A2,30,
/D17D44404ECF20BFAF1AB4BD4B0116C0,300mm,
/7D67135049F241A6E12EB5B445B8BE9C,3State,
/171BFDF648EA0AAEF4EE3FA844C357DD,450mm,
/B087F8394F217F9790EDD4A1150D2347,600mm,
/771D22BE435CE8FD647096B5A9397215,75,
/FC74756C4A2AE414A98DCA9857A5D722,90,
/7699598849C712B69134349A2F683544,9000,
/C1DB370D4CAA9D739E1BAAAEBE0810BB,9000,
/75BD52BE4CF528F49B2AAFAF7C11E4C2,90mm,
/26007CBB4B253EB67979219C51E62385,90s Gantry,
/6899295642C932E3D2826EA0454820BF,AB,
/8A11D4AF46A386F339DC41B392BC209A,Aggregate Unload Point,
/DA80677041D8A1A8AF7BFB9EEB576226,BR Style,
/3641D7AE42D3B59E24AD66832802913D,Banner,
/7487BD5844379A803C6F4A9758B48FC9,Black Circle 90cm,
/C96855F244AE62DD261D4485CD66199C,Blank,
/54487AA14FCD2E8B893E109193432710,Blue,
/4FC6357A42C84AE679D2629AAC2F3977,Both,
/2A3284B447BFF16D4D0BEC83C6BBFCEE,Bourne End,
/53B3C4814060ED9E7CD6578EBED3D8BF,Bourne End Platform 1,
/CE70A0F742047C89B5B0F9BDF6F7EAA7,Bourne End Platform 2,
/DC533EAE441378B4FF9CB68DCEEE911B,CLS,
/F79C3D44436D52E8D8A5288C11ADD651,CSXPalette,
/ACD1A67E410A98D12ABBCAA0A73E7F78,Cardiff Central,
/0F746BF04C0AB0FA365296A221C77291,Caution,
/A765100C49E204CCEDF1F58E019DBDB1,Caution,
/D85FF978444574E502893291D84D6CF4,Caution,
/7ED0528744AEB0C67D5F38B6DDBAC4F5,Center,
/C7716E4447D2F11E7FEAAA96509E2F12,Circle 45cm,
/554828884C27855BC2F3519C5EB0C8A9,Coacting,
/0241B12E4158AF43E60081AD3D88E4DC,Contact Signaller,
/11F4247747BBA1B96436E88D3AAADECB,Cookham,
/54DDB38A42035AAD4D5E43A3E7A92A6F,Cookham,
/D42A523843E9D3C1F988F0A49ED9BD7A,Cookham,
/417492AC4FFC3325AF35948ABC5E19B1,CrossingBlocked,
/B16CA30C48094065DF4704A335A3E9CE,CrossingBlocked,
/E1851A904B4FCE4C4297FBAB28F7EFD1,CrossingBlocked,
/146E77874AE3EE55CE0AFC9BF5D88108,CrossingClear,
/81D8F4B84D41BDD2378E6899BD1DF2D9,CrossingClear,
/8FA9831F4414F21A1A0F60A28C38AF8D,CrossingClear,
/9731A7E04F4C800B6D27A2B4492A211D,Distant,
/B38204464A4BE1244EBBFDB230152576,DivergingCaution,
/B3C791E54C5B21EFED904985824D2CB0,DivergingCaution,
/BA74F83D4D0F3264CF7A51862546A8C8,DivergingCaution,
/0F8A54684DC96B9A5349B2ACEA5A3D40,DivergingPrelimCaution,
/58768B2A4E53E14B3653F3AB6EAC29D7,DivergingPrelimCaution,
/CF44D5754427E46B98ECF599E358FFC9,DivergingPrelimCaution,
/B16D096A46380E90DB3FE398D81E084D,Door,
/8516755A42EA53971CBF6D893DDC105A,Drove 1/4 Mile,
/35D0B7BA46F1658344A388B7489AB072,EPSProceed,
/51919E6D407640DD49104795C619DB5E,EPSProceed,
/C4FBC881479A9552BE2484A4F1DBAA27,EPSProceed,
/309A4F19417DA48BA57FADA896916AEB,Exeter St Davids,
/1FAA826A4A658BD7136B8BAE0ED8B7FC,"Explore the scenic Thames Valley with Thames Branches, featuring three classic offshoots of the Great Western Main Line. Travel to the regatta town of Henley-on-Thames, the royal destination of Windsor & Eton Central, and the charming riverside terminus at Marlow.",
/2C39FA1242209834631DF693962680AF,"Fancy Party 
Location",
/2FBFEAA64F717C66EEF5C594CD67E34C,Furze Platt,
/BB376FB04FC921339A2A92B24038C66F,Furze Platt,
/CBD9F0944A2949A6E8C491B2BE3B3FAA,Furze Platt,
/3271619A43891CE640289691D80BFD0F,GWR Driver,
/9B0489CD46306AB4DBECB3919F1C9AAC,GWR Driver,
/B976FDC74BEDFC20A6CA04B00E90696B,Get Token,
/07A342D34068C792F3F80E9776A7BCD6,Great Western Express,
/FFD5BBA243AF93CF8200ECB157ED70BC,"Great Western Express brings to life the experience of driving high speed and commuter passenger trains on one of Britain’s busiest railways. Take control of the iconic Great Western Railways HST and command it to 125mph along the Great Western Main Line out of London's Paddington Main Line Station.",
/3372609F45BB8ABED7AB1684CF46819A,Great Western Railway,
/95BEDF5E471008B21B2DCB961B9249AF,Green,
/99435BB94E746051D7AE2082C16ED0D8,Green,
/54D64F9342FB6CAAD167D3AF9AFFB9BC,Half,
/912534E04A3B517C60D81280618F82A7,Henley,
/DF9B8CD54D36A691C2FD61AC63C5CB0D,Henley,
/0CD2260D40D8B922B37EC09557AEEDF9,Henley - on -Thames,
/E87156B8447F306D9DEE9987756F2BA0,Henley-on-Thames,
/5E28C87242849832867F89A2EC15D416,Junction,
/823E58F04DEF911F8FBA19A9838F64A6,Junction,
/840069E9482D722315D3BABB353EAE09,Junction,
/8934E1CD4E25EC51F98F6F969F5C0FE0,Junction,
/29FDDB2B4CFFACD919243CB790CD59FF,Junction Lever,
/31497E6D4AD91878DB25BBA9672606E9,Junction Lever,
/026B36284CC53675BC54888FCED97804,LWRound Post,
/275421E74EB6B5C50FB946BE6928605F,LWSquare Post,
/36A51A7F4CD48443A040199D22DDE86F,Left,
/3C33FC664E03FA245E495A88F2C24BF7,Left,
/9266587D4E230F3BE8FCF3BED79D75FE,Left,
/61A03B1B4E42828468BC23ABC2504873,London Euston,
/9C2935A24344A5DC6A5A40BE25A3733F,London Victoria,
/E1312A3D4D35BE611E53EBB895A414A0,Long 300cm,
/3A40F8C841615350C2F893BEB4C9F12A,Lunar White,
/0E6F37D44FE42C68B161D8A503542488,MU,
/8C664F6045166A43BCA83787728B3784,MU,
/03125F324653162E35964A978E61D1C7,Maidenhead,
/E8F38C78497486CD6699D7B2717CFDB1,Maidenhead,
/FB0106FC483C71B490C10E9FDCC8E094,Maidenhead,
/1186DA754EBD5EA0A84A0AB04FCFE2B7,Maidenhead Civil Engineerings Track 1,
/4A95EC85408CE6EA4D80D598FD0E598A,Maidenhead Civil Engineerings Track 1,
/93ABDC2548D02B12AF64DEA7C8FD9DD0,Maidenhead Civil Engineerings Track 1,
/A5AA4D104F50CE68AEB568893D81D89F,Maidenhead Civil Engineerings Track 2,
/AC3E5EC24E16041A2D1ECE8B0A2262ED,Maidenhead Civil Engineerings Track 2,
/B765D3334A444A75A8959984FF3803FF,Maidenhead Civil Engineerings Track 2,
/EFD6E5E34E36CEA21D8FB389640A8F7A,Maidenhead Platform 1,
/0788E13A4D1163080EB60EBC5D1F21A3,Maidenhead Platform 2,
/39FFF91340FE01F411E717A5ADF09A94,Maidenhead Platform 3,
/505451E1454509B7DA214683E35CD797,Maidenhead Platform 4,
/7D4F33294691A63CA18BFBB50C60526A,Maidenhead Platform 4,
/2D62B29A447FA730C0075B93021828A6,Maidenhead Platform 5A,
/72D3E0634D03BB506E9187A937CE0D07,Maidenhead Platform 5A,
/87B20B264EA8BB62DC8856B53947A103,Maidenhead Platform 5A,
/B41ECCD8457433953C339B8DFED92849,Maidenhead Platform 5A,
/E68858F1447203BC194C30A62F289A1B,Maidenhead Platform 5A,
/CA40DEEC4501242F3CEAEB8489AEE2EC,Maidenhead Platform 5B,
/F9E23AAA474FD60CD7564E9ECC07E0D2,Maidenhead Platform 5B,
/FBD02C9D4D7267513A3FA1A714C7B908,Maidenhead Platform 5B,
/1BB0BCBD43A9FD71E8EB1BA120552C13,Marlow,
/B6337E2B4AA76439B90782A52AFDD908,Marlow,
/BC274C6F4E7CD0CB8CAEBB809FEA6679,Marlow,
/1837441848C2CE825B8CDA8B8DABFDCC,Mile,
/B2C79BFF49418D6DB6BE0DA45A2847BF,Modern Feather Left,
/B85647314D97F9CB172715A6CD247A83,Modern Feather Right,
/DCA0916D438CD6673FAEC0ADD4109F69,Modern Gantry,
/1A3EBF454F4F902E8AD5C6AA102EA8B4,Modern Post,
/E0553C7442794D15021209B88B3518E3,No Post,
/413F85704883BEA730D87A891C30BEA2,None,
/19D7E414447E07C52B0B7DA7994DF455,Off,
/4074D614449501B231FCAAAD3E38252B,Off,
/48C609BD41F7FEBFFE84C9A4B2508DBA,Off,
/E4F2156F4AA5F47DD7DB77A053341D33,Off,
/E9F31F894E7D45FC5D00FDB071797F98,Off,
/90E187A74A26F3ED44DC87AA78D61A1C,Oval Circle 65cm,
/8A74DF184E074E21651E049A87239473,PRI,
/95122A1B42A7ACD21E6B0087672E80B7,Paddington,
/A416883A4355D99BEED129867D673C7E,Paignton,
/1FA7EB2141A6D45F8FF0B8A410480938,Pentagon 120cm,
/BE219A074D89498D4A4C8D9D1C366ADA,Pentagon 135cm,
/EC60370B409E398641D6598BBDF4B942,Pentagon 70cm,
/67C5298D4E4C65044815D0AB811F8F6C,Penzance,
/3A33F6E247F879CB23162DA594638209,Plymouth,
/3B75AD134BE67C61F1EE9D877D28A261,PositionLight,
/5B22E8DA4F28012F98C9D2A7A3C33AA1,PositionLight,
/BBA476BA44BF2363EECE62804047E9ED,PositionLight,
/E85BCB0946CB1BE3B9F6099E45675E44,PrelimCaution,
/E8FD35954EB012CA4E3D858015BF1743,PrelimCaution,
/F6B8D782467035A15796488B5431503F,PrelimCaution,
/0C8233D94E72FDB4FDC7979CB4E5438C,Proceed,
/5F29928349BD47E1FC9E579CE41DE50D,Proceed,
/B52CB3D544724DAB717903A2AFEA4D01,Proceed,
/4B876FD64F8889020049EAA35098118D,Pure White,
/5508AED54EBCAEFBB81EB682EC37B9F9,Quarter,
/11EFFF4E4C3BA2D47E24CAB80EB512C2,Red,
/7B4A5122446ED7D4000E4AA3F2BE0E77,Red,
/A42ADE1F439F9F562DB119A4498ADC6A,Red Circle 90cm,
/79826BE14C81BAA38BEE67BC13BA3C2A,RedAndWhite,
/00939DAB423FEF882D737DAFAF3A4464,Right,
/01F4861E4AD631D1FBFCAE99B374A2F0,Right,
/4B83B0BA440AFBCF2C6E868AF1EF5D36,Right,
/F0A1630A41AC5532FEFF52A73D94447B,RouteDEfinition: TODO: Add description,
/AFF09B8B4D4FA271C808BF88BDA5C55E,SHIPLAKE,
/08BDC6864A8EFF1EA07183BC11725E1A,Semaphore,
/1C7C115F4724A417FDD240A91FC5776C,Shiplake,
/2448B2E0459AC4C8E8CD3CAE661A5581,Shiplake,
/E54F51CA46E9CD493AF7AEADC22EB83E,Shiplake,
/13F3678948D65366B53B029D443D0EF5,Short 150cm,
/A594375F4E1FAE1193F9A0B50B4C9D2F,Shunt Base,
/6A8FF76045B5718678F8D28AD49BEFF6,Shunt Post,
/C8B781174949ABCA974160B76141A503,Slough,
/D055BDD14F1E5AC2C4AE68ABEA99F3DC,Slough,
/D281BB8A491E9AD3F6D84189F619DCF6,Slough Platform 1,
/20A4DF4D48FFF3AA7CBBF1B413C7693D,Slough Platform 2,
/59BDE2CB4FECF01AC347FE9B5210D9D9,Slough Platform 2,
/683C8CC6458B24DCA3E574A1DDD93B07,Slough Platform 2,
/84F87F2748988331F486CA84F491475F,Slough Platform 2,
/F98E72414AF27F49C01CAC8D9E34F0FE,Slough Platform 2,
/63D51A844E753CD40BC01A9B33C96E32,Slough Platform 3,
/67D6367B45B21759ABF024B7C7442792,Slough Platform 3,
/B38716F54209AC2B221C259271F1AB2B,Slough Platform 3,
/205873A94CC66B5E800B1981D1855940,Slough Platform 4,
/25120DA8489823CADBBC20BEC7A6233B,Slough Platform 4,
/8E5827824D66CC9F5C8E1DADFE8D1998,Slough Platform 4,
/491C8C1E49EDB5EF34C2A2818B96B765,Slough Platform 5,
/60A182114991323C7FB6CF896A11243C,Slough Platform 5,
/7763115641BAAFC77750E487A5640F87,Slough Platform 5,
/41BA97A344B635311B7BB3A37D69BE56,Slough Platform 6,
/6805068241A1C7D72A99AE94D5DAA00C,Slough Platform 6,
/C09976B04F48EEF45171FBAF55906F4F,Slough Platform 6,
/FAABF89B4CDD178C6C9DA6A0315AD4BB,Slough Platform 6,
/06085D3D4216174D7EFA4AABAE9D4F7F,Slough Trading Estate Track 1,
/3A80D6DE45AD6EBC638E33945CF19D61,Slough Trading Estate Track 1,
/5D6D19334E0AC72D07C59AA6FAC1C685,Slough Trading Estate Track 1,
/9A216A23436CD304D9C26880D3858F72,Slough Trading Estate Track 1,
/F85AAE0F46A6E485069637A96AF880F6,Slough Trading Estate Track 1,
/02BBDDC94090D06E8EA7EAB617F8E1C9,Slough Trading Estate Track 2,
/0AE4EDCB46C4CFE30B052495D198BD31,Slough Trading Estate Track 2,
/25DF3EFA4C30C6BB6BEB81ACE7469E5B,Slough Trading Estate Track 2,
/46E5D2EF4CAD69D6268B93968E38501E,Slough Trading Estate Track 2,
/679A2D2B43B6003123DC78BAB53DF503,Slough Trading Estate Track 3,
/6FF2CF7D44B0585E3038FE91513E3C37,Slough Trading Estate Track 3,
/950DD43A492F893053E8F5A234CE19DB,Slough Trading Estate Track 3,
/BFE51788495581A2BDDA9A811FBDEFE7,Slough Trading Estate Track 3,
/CC27F03644674DC46ABE17995157DDDF,Slough Trading Estate Track 3,
/F437060B4A3E85B398D8288EB51252A2,Slough Trading Estate Track 3,
/6B8972854281FEC3DF78D596DC1E8EFA,Slough Trading Estate Track 4,
/6FCA143346C33A624EFB63BB0487C923,Slough Trading Estate Track 4,
/7DDA7DED49DE7E66975D04B64024E410,Slough Trading Estate Track 4,
/A0BC7890437E9330AC71E2A85077BD0D,Slough Trading Estate Track 4,
/F944E1F2405319AF1DFFDC870D23A84C,Slough Trading Estate Track 4,
/216036CC431435E4599269AF43F7D7AE,Slough Trading Estate Up Goods Loop 1,
