key,source,target
/2CA1F14F4EAD44D41554328E2FAA0338, kV, kV
/573C86F54278290BA443FAB14F880462,#,#
/836976674D1F5D49D7FA9CA57E1CD831,#,#
/9E8989684E4776C37B3778896915830B,#,#
/B5D40C4B403F46356E40E99C063E575E,#,#
/C370C5064DECB79BF5A468BA65863094,#,#
/EB6E76934E783408F4DF6CB88E157EEF,#,#
/FA94344C42E12A36A85445A2F8E775BF,#,#
/0D92DB734D9910B0438017BD94CD6C77,###,###
/18EC74054CA6D6B52F24C8B66EFE7F9F,###,###
/2965B68D481CC5ED0C3F3788BF43A3A5,###,###
/6343A0A348F1A8FE57F948A609A71119,###,###
/63BE384A4D469F869F42D391CB5D3644,###,###
/66AE41534DE85B354737D497B06FE459,"###
##","###
##"
/147621FA4EC7454E6022C983BB0ACEBC,###.###,###.###
/222F72904624892543F45DBFB994FA01,###.###,###.###
/35DDA60947CC0C67C1B080BE75F3208C,###.###,###.###
/6DFE79594CDABB42902EAE89FF87B339,###.###,###.###
/B3FD38374C4F2A00FC8698A8BDF6BD35,###.###,###.###
/A3795DA44A020DC62D746CBAA015213A,"##,#","##,#"
/0B18AAD641B61FF6047BBA9329EA1E82,"##,##","##,##"
/7FF7085E471562A2A87F9B8D70C93530,"##,##","##,##"
/4A8D7EE34248ED0DE4CF869AE6BCDA27,##.##.##,##.##.##
/8E79C96D4723047F3A8BBCA36379BBE1,##.##.##,##.##.##
/C94251E94A8F0F290728129C31E9CA6C,##:##,##:##
/63ABD6F34413C0ED9B94EAB9110EF81B,##:##:##,##:##:##
/73FC84884A0CA861ACCBE1811593FD4C,%,%
/632081CA49ACDBF81F255E854FFF951F,0,%
/BCE7735D4F4CB5FD8833FDBC9C4110E4,0,%
/BF783FDD45192E2E6A6B97A0FE781A72,0,%
/1C43C03D446F6E75A9C51A8A9EC01CE8,0 m,0 m
/283EEE8342DB21096AA9848D10F1ABBC,01:02:03,01:02:03
/FE9707364E27C6B01850BE81952038D3,01:02:03,01:02:03
/02B4DE6746299DDD0E9D5283C8C2BA01,1,1
/1F56B57C45189586663A2EADEF67D618,1,1
/92C3653948D23C8F66420F9425CDC06D,1,1
/996A27024EE27F237826609E9C34B66B,1,1
/D28FD0304204589461411CAE92FDA2B6,1,1
/EBB6FBE64614E5B899FBBE80363B1BE7,1,1
/F1162DFC4DE0CC663800188CED89F967,1,1
/BD2F124C42A58349B017AFB66E8F65F6,100,100
/0E0D82184DBD96F76D56DBBC7B66C350,1000,1000
/06BD7FB4442A85870CF9A59539272651,"1000
Hz","1000
Hz"
/838EF0054416D02AFDE4638AB24CFC97,15.0,15.0
/7924D2304794348B953EEFA97995D05C,15kV AC Overhead,15 千伏交流电高架电缆
/843C211B4D0C6DB4D5FD26A8F5A8B102,15kV AC Overhead,15 千伏交流电高架电缆
/F612270743CC81420E8584A23A89D21C,194,194
/2FC1E5D448AD13BA57B6AF89C828E37E,2,2
/7D44F48F47FADBBA5DFB459B572FD403,2,2
/B0B7A452441DED0CD22B19B0C6D2602C,2,2
/D5F0946F4106DD49A997D5BE12AAF21C,2,2
/EC2751CA4D7ED5BE13B3368652414049,2,2
/8DE20BC249E5FBBC10BB4E8F3BBFD18C,2000,2000
/E4CAD06A45060DBF6A71A2ACD6AC7207,250,250
/CB7271834111260D071E1E8EED165A79,3,3
/DC4811514DE808817D9F06A6FB021220,3,3
/E2D543BD443604F58562BC9977C42788,3,3
/8419129542CEE766273407AC371D4476,3000,3000
/4284877741C12E98585AFEB04C190D5F,4,4
/58D7045245A8A5E401C3F491977C805B,4,4
/5D4BA6CC4B87C7D67916B49484C02522,4,4
/DEFE3CAE4B6173263D4835BE7BC2833D,400.123,400.123
/7DFA1C914F5EB3DADA4516A96C19534B,4000,4000
/02A7EE714FCFEC53B867E0A2CFCE1357,500,500
/E6C179144EEA0618ABFE1EBF6421A220,"500
Hz","500
Hz"
/FE09AB3F4F891DE2167D2AB345F516EB,600,600
/843AEB5F4EC598276C034AA2D0298D38,750,750
/BE27F4CE4771F75391B756A47767D6B0,8,8
/0F1BE70F413977C792C001A813172260,<< Error Message here >>,<< Error Message here >>
/CA6B3AAD4A250F7DE976C9AB15D5373E,<< FAULT TEXT >>,<< FAULT TEXT >>
/F006D4CF48A1B05F4F1794A224D5EF3F,<< Long Placeholder Text >>,<< Long Placeholder Text >>
/6A446236444D5576DFAEB5A177F48CFF,<< Text 1 >>,<< Text 1 >>
/55CE8B2A45710EB6D4ABB9BFFC32F871,<< Text 2 >>,<< Text 2 >>
/B9333FE74DA1AA536A5794BA29CB8C32,<< Text >>,<< Text >>
/0FF38C5A4CC56B3D5F11F3B8F6E63708,<<Alternate Text>>,<<Alternate Text>>
/EA7C37EA472946BD3CBEA18BDCE03CB0,A,A
/74BB80E14C90BE8BBE9A29BF9A6E2747,ACM,ACM
/C419531A492D4F2132337D8D4F17E849,ACM,ACM
/8A550C814676F1FA1739E9881BC0CC56,AUS,AUS
/745976054C33FEA73A964B9055A5999D,Aktualisierung mit Taste E!,Aktualisierung mit Taste E!
/75DC2DF94846E4F33645BB9FF87BF7B6,Apply to Back Bogie,用于后转向架
/44B47A2F48E247F66679CE807337BBAC,Apply to Front Bogie,用于前转向架
/25CC5FE947C4B9348E9D3AAEF6E3AF01,Apply {BrakeAmount},施加 {BrakeAmount}
/2E2D44624A11606D4A0A63AA58397E2B,Aus,开关
/671D45E740F9DC21613846844A9DEC29,Aus,开关
/EA03ABC748A0F4019DCEAA9DF608955A,Aus,开关
/409463DF4022F2EE4E274D8CB9D283C7,Automat. Bremsprobe,Automat. Bremsprobe
/5CF77AAB48543A5E56D450898643A2E8,BR442 Talent 2 DB,德铁 442 “天赋 2” 型机车
/CC05920541A1C2BE155C71B39A702100,BR442 Talent 2 DB,德铁 442 “天赋 2” 型机车
/9E67890348619DFBDC5555B10C96206B,BRH =,BRH =
/B803779C43B9A23D6013CD81528637A5,Battery,电池
/868E2DB744619A3BB99FBAA9F157480F,Blind,遮光帘
/8E6202EA41DE04951D2C93A6E5B332A2,Blind,遮光帘
/B892E0C54474B0A7D46F85ACC52401CA,Blue,蓝色
/78012F6A44D7376B37C718A043FD99A3,Bombardier,庞巴迪
/8AE6A058409B3697BEE079A19C1CDE61,Bombardier 2011-2020,庞巴迪 2011-2020
/148945134094116ABFEF8BA851F0A605,Brightness,亮度
/7797B6184DF0C6596FC5B9A2D6615745,Brightness,亮度
/AAAA1DF64031ABBF35582DAB644B01FC,Brightness,亮度
/6D1D515842CC7539B5F677836751A789,Button 0,按键 0
/8BBE1BBF4B43CDCC7200F3A33555FB8C,Button 0,按键 0
/AD47AD314F7AC20324B3959909358AC8,Button 0,按键 0
/011C2B3D4B34A58119C8FAAE8678033B,Button 1,按键 1
/1C10F1884DB9184961AEAA8E8DD228D5,Button 1,按键 1
/E1DCA0C047FC7FFE6178CD94E23122B9,Button 1,按键 1
/8A69FFB54AF81DB64971368661113388,Button 2,按键 2
/B6C3F34345742CB2172F3AAA1B8E8844,Button 2,按键 2
/DE43A1134E35D59431B40D8733B8917A,Button 2,按键 2
/3508B1714E75C172B822CAA6048DA493,Button 3,按键 3
/415BA8AC49D50160282600ABAAACC66B,Button 3,按键 3
/E22446C74B98AB13DA5E3BB726C4EAB4,Button 3,按键 3
/308488E2480B31333236C79F4619FB8C,Button 4,按键 4
/8EB2BAF843A15D8F814AD5B1A799C389,Button 4,按键 4
/A5E2204447BBACB5E0BC8EB1CD95AD37,Button 4,按键 4
/1F8EE8DF43E16DE7B770058808125736,Button 5,按键 5
/72C6682A4764FEA07A99C8A311D7026D,Button 5,按键 5
/D1181F7E472133C64E1B259BCC6956E2,Button 5,按键 5
/413024FD4B41E235248328AF9D5BEAF6,Button 6,按键 6
/AD8D51EB4323017E81174A93172C75A6,Button 6,按键 6
/EEBC3A26471E446D536D3A8BE4FA6805,Button 6,按键 6
/793AA6A44B4AD1B639C2C699F0D6F9B1,Button 7,按键 7
/CCFCA15A411911321B5698957B0F803E,Button 7,按键 7
/CD50E8364BDC53EE73AD34B8ECA35FD4,Button 7,按键 7
/5435D5024F9CA06A1D34598B55949CE6,Button 8,按键 8
/79B1F3AB4117A851C3C94D9C8A05F738,Button 8,按键 8
/9E7805CF46C8D29A76A50ABE1C6D1410,Button 8,按键 8
/91999A1C4AF09AE0F749E3ABDC774E0E,Button 9,按键 9
/BFB5D6194C5575BE8E38C3AFDA34BC2C,Button 9,按键 9
/C93AF42840D6CFEF6AD261823D06681D,Button 9,按键 9
/3612A2254EDDAE6B89880998832E4C22,C,C
/3C94504449F7184C906E22B688A92946,C,C
/E05966B94586443A2F2BE49C188FD26B,C,C
/63BAC9C74438BD4A47612984607061E9,Cabin Lights,驾驶室灯
/7B27AEDB4C04D1C67A4464B78217C16D,Cabin Lights,驾驶室灯
/9552311440CF7D0DA4FB4988BFF52B08,Cabin Lights Dimmer,驾驶室灯光调光器
/E12898834DDCA9047ED3CB8EB5ECF46B,Cabin Lights Off,关驾驶室灯
/BB12B5A0424F52C6C41E9088FDAFA307,Cabin Lights On,驾驶室灯打开
/2FB404A541CD5D39F3A3139B56857EF1,Close,关闭
/40AFD86343D5278ACE49B6BF2683BC2C,Close,关闭
/508C17DF4857A3F0D8B6FEBE09F79F3E,Close,关闭
/5D16392E4E14C6AAFF0E48A93D8C8436,Close,关闭
/7EDCF0B943C4E5943346AA99BF546E6B,Close,关闭
/81D16C2747FBBC75D2E983B4F8DECC67,Close,关闭
/D95BCD4641B6E31A428534B891CF8E9F,Close,关闭
/E473EFCD49E199A936A5879EEC08FA7A,Close,关闭
/4E7519634690B514F75249899DA30ED6,Close Passenger Doors,关闭乘客车门
/1B484D5349C27E0C7F4B529315E1986E,Closed,关闭
/2757F4E84E03A77DE363589B731FD77E,Closed,关闭
/3DF043EE417F812D6AB3EB88B9F9C331,Closed,关闭
/4CC1FA2D4FD17631D45D5EB8343E6C30,Closed,关闭
/94CC233E4B8B6C478BA6F78BDCF50B5D,Closed,关闭
/163E2F4B4005DC5F439D798C366D3A8D,Contact Signaller,联系信号员
/059A1C9A4ADE798743432FAEA6B5252C,Contrast,对比度
/D0D5867246D320E7A2A5D9A7B06885DD,Contrast,对比度
/F3F75BA14914B3D233222EBC156F6626,Contrast,对比度
/4F486B07425489308F02CDAF12C34CFC,DB Driver,德铁驾驶员
/EF559085425B48B55346A1A6A43934EB,DB Driver,德铁驾驶员
/B96CC0364F6EF1C48DC2BEA3BF9F7561,"Daten
bestä-
tigen","Daten
bestä-
tigen"
/8A722BD445E05534F671DFA35987843B,"Daten
über-
tragen","Daten
über-
tragen"
/2C21288246735A19370036BE435E2AAC,Deep 57cm,高度 57 厘米
/E79DD7E941598A80397CB0BB117BE85B,Dellner Coupler,丹纳车钩
/500B52B1466BCFEB4AEEEBB94C02AC86,"Di, 01.06.10","Di, 01.06.10"
/97CEC1914C06ECE865D7A89FE1963806,Dimmed Beam,近光灯
/BA7B4172444281FA63D5A1A0B286B40E,Dimmed Beam,近光灯
/00F8D4934E73C72D38D785BCC83411FE,Door,车门
/0C2C12574F608074A16379B3CC244781,Door,车门
/2069B7224B5AC602D285988ACE7F1ABC,Door,车门
/277DF38D4DEE6E1DE99F42B864DCDFB3,Door,车门
/345A50C34CEC0906BB5CBF8C258E3C7A,Door,车门
/4049271C457E0B5FF3049BA550326413,Door,车门
/5896CB114538509675C82F9B7CD244EA,Door,车门
/5BEF6F07440B80161EA1D5882CD963EE,Door,车门
/5FE77F1543486E7FF8F553AACEEFBD47,Door,车门
/6A116DC44D25F9555C649DA2F9287871,Door,车门
/896923A0423F06065F3B59BBE1623567,Door,车门
/9ACCCDB642380390E4A971882BECF344,Door,车门
/A0F5F2824FD2B87821E98989AD80A952,Door,车门
/A7E5E8B34D684FC494E3F0B6D6BA3C38,Door,车门
/CA2CF92946B55BC70745FEB8F5AE67BD,Door,车门
/DAECF19A45E989A61E10148565061A30,Door,车门
/EB46EAF14445A1312565E1B0A64C853B,Door,车门
/EBDD47674D0F511EED53DDBA4274BCB2,Door,车门
/2DCC7D854F7ADFBF98A5D6AE12448511,Dot,Dot
/BFACAFC8412056605E8F50A83E44BDB2,Dot,Dot
/C17A7DD246DC001BA7B428B3B87E1D5D,Dot,Dot
/8777200C41C2E53D8304A899AECA56BF,Down,下
/D35D23534E9A1FA04A02B0A512112F78,Down,下
/E4F6ED384652C7C256FD7C9BE07E0E76,Down,下
/4DB15D374CDDB043D2B9428DB65038C7,Driven 160 KM!,已行驶 160 千米！
/B8B2A01E4F46B82BE592148A61460D75,Driven 160 KM!,已行驶 160 千米！
/D9A04C2D4762F680F179CAB8C6C76F39,Driven 1600 KM!,已行驶 1600 千米！
/DF4F83A443B680F326598E9CA2814C77,Driven 1600 KM!,已行驶 1600 千米！
