key,source,target
/947B302A4DD75A360BAE87AA1CADD98F,CDC Eas,CDC Eas
/082EDF9240054E1CD7F402B801AC97F5,Climb Under,从下方爬过
/12B92492445F9BC4084081A6CF45A6D0,Climb Under,从下方爬过
/5F6F719342A4C8CF40DD1789AE184C0D,Climb Under,从下方爬过
/7D5D507E4B1C93157D2F629B4F15E4CB,Climb Under,从下方爬过
/844594C74F96D1E2E0729492C9B6E169,Climb Under,从下方爬过
/8E3F544F4BAA791F75FFE9A731CCEF1C,Climb Under,从下方爬过
/A863BCAB4CD08FCC9F12C7B1AE199378,Climb Under,从下方爬过
/FBE013D940ABC759411161B77FFC9BB5,Climb Under,从下方爬过
/6BAEB6DB48030DACC8215D93857DB2C8,Closed,关闭
/3851BAC94DC8FB8ABC2A68AF303C8481,Coupler,车钩
/D7E1073D428D27DBA4D8948C0B4343C7,Coupler,车钩
/32783D0F45378CC5F43BE880E5ABF671,Distributor Cut-Off,分配器隔离阀
/4A95F680456D7DE434C06DAB2157BADB,Distributor Load Valve,分配器负荷阀
/5C0C8E88438AA3D06682CE9B2DC68A44,Distributor Release Valve,分配器缓解阀
/6D3EF5BA4E06989FEE024DAAFC7478D3,Distributor Release Valve,分配器缓解阀
/090D34EC40DD800EBC23858EB2319E43,Eas 107.11,Eas 107.11
/85B7212C4C9463FD6C0DF590BFE22D5B,Empty,空车
/AF77886D4C1CD64E24D35298AF3A0254,G,G
/EC91659B4C601E3A0518348C27AF352C,G/P Lever,G/P 转换杆
/4FD9CDA34E906A4F9AEF54B87E85CC67,Loaded,重车
/FD46DDA24564985A155E0B8B29D12C75,Open,开启
/A08983F24AC5993CAC5603A89F71B139,P,P
/59A31A15420E6A3CA4BB34B37CA64000,Release,缓解
/7DAA55334281D52FBC15E89CE2046130,Release,缓解
/2D64B61E4AC659E84B25D0BC4019D393,{Tertiary},{辅助}
/5A6A7CC14935FC90465DB2ADB4A24657,{Tertiary},{辅助}
/75E6A4484C1B275B56473E9239180D7C,{Tertiary},{辅助}
/A02BB3D9432CDE8BB755E8A0443C2264,{Tertiary},{辅助}
/B56A10EB45EAC238BCCB1A8D9B3C058F,{Tertiary},{辅助}
/D498553349677A67D9D9C5A44A79123F,{Tertiary},{辅助}
