key,source,target
/66509E81440CEA7B73A49BA3676314D0,0,
/6B21791B45BFBA69F09E89A8D70B15B4,1,
/64F0FEDB461D7B46152536815553BAE9,2,
/2E1F115941D3233E28B4C6846FC2D972,3,
/7E3A103F48AD194417EC1985D3186445,4,
/029A7DCE41C86DFD2FCA309D1D0B7362,5,
/59BFBC1643A01F5E14BFE091458FDA5B,6,
/49A0B1484D965616192B20B8531C7C48,7,
/927BD4094DDB1FD469B4C9AF8E5C2C2B,750V DC Third Rail,
/C6938D7C45BC3D55428B498872F12BD1,750V DC Third Rail,
/79C0FC9A49FA39186FA9D7BB558E5FBD,8,
/97DB3EC94C6A2D2EF0A11ABCE325F988,9,
/9AC481724301F8DD2731B595A5CE5274,A circuit breaker has tripped. Identify the correct one and reset it.,
/BE46075E4F82DE2FD5A8CBAFCADB263F,A door has become stuck. Find and fix the stuck door to continue.,
/24372CCA4673221251535E984A6E96E4,A wiper blade has become stuck. Try turning the wipers off and on again.,
/CAA79CB841311351B1481F975E65FFA2,A.C,
/2E3CA5154F354DA647A34BBB21B2DAD6,A.C Temperature,
/3A16245741D5FA4E859F9B85264D1262,AWS,
/B0765B514B0A7A7F0C529399CDCC379C,AWS Isolation,
/672B086243C44A54DC7EB2A233474ED8,AWS Reset,
/FCCD089442F04C32793E80BC9EB5497F,Accept,
/45B325094C9D64A4DE681A9DEC817F50,Acknowledge,
/6D40DC5442C7ECC2CE3EB8BC67F5FD1B,Active,
/6D79249F44741E7F6ECA24BEEB0AEBCE,Active,
/50DE1585456D2BFE8C6E28915C3D3D1C,All Release,
/9CD30B97424AC4B9D4DB51BC946A789A,All Release,
/C5D9A4B2415E0F0CE18D96BA4F06DF69,All Release,
/5444CAFF44D080F638051EB5BD613D4C,Attached,
/B1ED95E34797714C20A3BB9BB40252B3,Audio Comms,
/04A40E604C62290538CA93809146FA2A,Automatic Warning System,
/378EEAC044C9A9691DC45BB1F8C62CF0,Aux Off,
/364F3830401E20D272AB5794A92CA199,Aux On,
/9EFBFF0A43F0BDC2F06F22B0F77B79AD,BC ,
/30A3FE924DA579761C9F209FD616098C,Blind,
/37B81EB141A44D42F2A4D5A52B3CC51A,Blind,
/50F95CE6440771C6E4B3BDA3C4A110DB,Blind,
/92671DF54DCFC16108DFEC89E942A6F8,Bombardier Transportation 1999 - 2001,
/D5855100448A347903BC82819ABBC3C4,Bombardier Transportation 1999 - 2001,
/C2AEE34E443299CD1B651E8C90EC2BA8,Brake Hold,
/B5A475CA42770E1F703F009030832AAD,Brightness Down,
/1BCFA18C4D8D1826E22E23967A2DAD91,Brightness Up,
/67164E3B4F84D5DEFE15BA82D97AD107,B{BrakeID},
/884845EE48142A1981EC39AF45A50E55,Cab Door,
/8A00FDA344B382C05094B2806598662F,Cab Door Release,
/FBB7E74A411542F1F6F5D996412783A3,Cab Door Release,
/55E011DC4A4BF5687C589B99FDF2C05F,Cab Fan,
/21109FC541073CD5579971A3736BC1E3,Cab Light,
/244D7C40494FB5C47A4ABBA4800C1485,Cab Light,
/D2F1C2174CE6C1DD5A9909A22CFF522B,Cab Light,
/2EBA8849414B6CEA67F4968CAD87DD71,Cab Light Toggle,
/3468FA0A4F90B4A669E59598C155997D,Cancel,
/9370208D421C18F4B99A15A74EDF97EF,Class 375/3 SEB,
/9F1C29AA43E5A3A870B798A74DC8FE3B,Class 375/3 SEB,
/AA2A43DA4BF27D502C8FEB942439C137,Class 375/3 SEB,
/B55C60094DA8DDFD4303E688DD637876,Class 375/3 SEB,
/1292E55C489417F1F17DBF94A08B76C9,Climb Down Steps,
/2403651A408BE772433CE1BE9A402DA1,Climb Down Steps,
