key,source,target
/66509E81440CEA7B73A49BA3676314D0,0,0
/6B21791B45BFBA69F09E89A8D70B15B4,1,1
/64F0FEDB461D7B46152536815553BAE9,2,2
/2E1F115941D3233E28B4C6846FC2D972,3,3
/7E3A103F48AD194417EC1985D3186445,4,4
/029A7DCE41C86DFD2FCA309D1D0B7362,5,5
/59BFBC1643A01F5E14BFE091458FDA5B,6,6
/49A0B1484D965616192B20B8531C7C48,7,7
/8974F5A4427677BB79A6CB9958625C03,750V DC Third Rail / 25kV AC Overhead,750伏直流第三轨/25千伏交流接触网
/A1337E8643316A2E061384A7C87ADDC9,750V DC Third Rail / 25kV AC Overhead,750伏直流第三轨/25千伏交流接触网
/79C0FC9A49FA39186FA9D7BB558E5FBD,8,8
/97DB3EC94C6A2D2EF0A11ABCE325F988,9,9
/9AC481724301F8DD2731B595A5CE5274,A circuit breaker has tripped. Identify the correct one and reset it.,一个断路器已跳闸。找到正确的断路器并将其复位。
/BE46075E4F82DE2FD5A8CBAFCADB263F,A door has become stuck. Find and fix the stuck door to continue.,一扇车门被卡住了。找到并修复卡住的车门以继续。
/24372CCA4673221251535E984A6E96E4,A wiper blade has become stuck. Try turning the wipers off and on again.,雨刷器被卡住了。尝试关闭并重新开启雨刷。
/CAA79CB841311351B1481F975E65FFA2,A.C,交流电
/2E3CA5154F354DA647A34BBB21B2DAD6,A.C Temperature,空调温度
/149BC24945712049DBA43195391B08E1,A.C. System Select,交流系统选择
/3A16245741D5FA4E859F9B85264D1262,AWS,AWS
/B0765B514B0A7A7F0C529399CDCC379C,AWS Isolation,AWS隔离
/672B086243C44A54DC7EB2A233474ED8,AWS Reset,AWS复位
/FCCD089442F04C32793E80BC9EB5497F,Accept,接受
/45B325094C9D64A4DE681A9DEC817F50,Acknowledge,确认
/6D40DC5442C7ECC2CE3EB8BC67F5FD1B,Active,激活
/6D79249F44741E7F6ECA24BEEB0AEBCE,Active,激活
/50DE1585456D2BFE8C6E28915C3D3D1C,All Release,全部缓解
/9CD30B97424AC4B9D4DB51BC946A789A,All Release,全部缓解
/C5D9A4B2415E0F0CE18D96BA4F06DF69,All Release,全部缓解
/5444CAFF44D080F638051EB5BD613D4C,Attached,已连接
/B1ED95E34797714C20A3BB9BB40252B3,Audio Comms,语音通信
/04A40E604C62290538CA93809146FA2A,Automatic Warning System,自动警报系统
