key,source,target
/AEC7AFFE43A9E5C1B6C0BBB725C44C7E,"""Man sieht nur das, was man weiß.""","""人只能看到他所知道的东西。"""
/2435EAD1464E1F469D379FB2CBE3F25E,0,0
/2E3E240F4B568DEE475DECBC488253CC,0,0
/4631D1F14678351027F634B3778C6CA8,1000Hz,1000赫兹
/66A2557B4DD0FFFB8A9C41B9D8AFBDBD,1000Hz/2000Hz,1000赫兹/2000赫兹
/58FBAD244889EEAFF386609DBCA51572,14:30 TRAIN TO GEMÜNDEN,14:30机车TO格明登
/69F6C8F04FCE296AC26475AAB7AA9B0B,2000Hz,2000赫兹
/9EBB01D54207340EA2CF588CE85CB0B0,500Hz,500赫兹
/629CB4AB44D5D8543C75E5B496104264,88,88
/899B35FE46398F6DCE1D7F82575AD6BD,88,88
/F6390D1244C2ABDED005B292B7764DE2,A change of pace as you take on the BR 185.2 freight locomotive and we start with some freight duties.,驾驶 185.2 型货运机车时需要改变机车操作，我们开始尝试一些货运任务吧。
/97E4E29648B0D7451ADACD865ED8207D,A key operational feature of this line is the need for heavy freight trains to be banked using a helper locomotive up the Spessart-Rampe.  Learn how this works and get in some experience.,这条铁路上的一大特征就是你需要用一辆补机来推重型货运列车爬上施佩萨尔特山坡。学习如何操作，积累经验。
/1403C53042F9BC40664F3394898C70BE,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/14AE81994C0F4B947290CB9FE47B9C3E,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/14FCFF30405778B404B242A428F20AD9,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/161EC71B4881968FF296D7B8D715B98F,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/5BC36B644078EEC1FE42E18CEE66B82F,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/647F0B504C1D02AF9F3910BD5B9EBE73,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/7EDED2D24D2FA807CFB001BEF664219C,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/B8B3444648771138162648BDAD0E72B6,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/C653257A4F7F7DB6DD542A9EF8A70FBF,A lot of your time will be spent in the driver’s seat.,你的大部分时间将在司机座位上度过。
/74B8C4DE414C0618699879B5648117FE,"A wondrous mix of steep gradients, scenic hillsides and swooping turns come to life in Train Sim World: Main-Spessart Bahn, a timeless freight-heavy and passenger-laden corridor through the heart of the German countryside.",《模拟火车世界：美因—施佩萨尔特铁路》（Train Sim World: Main Spessart Bahn）结合了陡峭的坡度、风景秀丽的山坡和惊险刺激的急转弯，完美重现了这条穿越德国乡村的客货两用铁路线。
/A0BFC18C48214C854E9E45AAA605095C,AIR COMPRESSOR,空气压缩机
/D863B8D84497947C38EA6E9E7C119482,AUTO RUNNER,汽车运输
/5B4078634C938AC00694978BAFE71744,AWS RESET,AWS重置
/AEDD89D04957082C3F244385F830C095,AWS RESET,AWS重置
/EFEAABA2449A23169329FA91C13ED014,AWS RESET,AWS重置
/C1855A50405FEB917AA5EDA8D9740DA2,Above Signal,信号机上方
/83AF7EE546C41673AD431E9442F45121,"Aid in the delivery of newly refurbished trains to the area, by completing the last leg into Aschaffenburg.",完成去往阿沙芬堡的最后一程，协助运送新装修的列车。
/456CB5B244850A5FAD1D288A30BE847C,Aim to bring the train to a stop within the green section of the marker up ahead,目标在前方绿色区域停车
/531C06B54E25F1FA5DD82D82E3BBF57D,Aim to bring the train to a stop within the green section of the marker up ahead,目标在前方绿色区域停车
/FDE8C4B0496218ECB8F680AC7EDBB10E,Aim to bring the train to a stop within the green section of the marker up ahead,目标在前方绿色区域停车
/4BF3E344482F7EDC2ED34691AA7EB11C,"Arrive at the summit of Heigenbruecken, a station which has now passed into history, ",到达海根布吕肯山峰上年代久远的车站
/AF289C834EDBC03F5AEFEC934C41F40D,"Arrive at the summit of Heigenbruecken, a station which has now passed into history, ",到达海根布吕肯山峰上年代久远的车站
/B20F0FD941E891C6F81B6889F015CF89,"Arrive at the summit of Heigenbruecken, a station which has now passed into history, ",到达海根布吕肯山峰上年代久远的车站
/28BBA37C4EA91E998987AC9E6B9EC421,"As you travel, be sure to repair any damaged fencing, ",在你开车期间，别忘了修复破损的栅栏，
/49A5CCD247CA80424AA4DBB4360BE0E5,"As you travel, be sure to repair any damaged fencing, ",在你开车期间，别忘了修复破损的栅栏，
/A01D630C429C31A770D9DC99590E4825,"As you travel, be sure to repair any damaged fencing, ",在你开车期间，别忘了修复破损的栅栏，
/0CC81239437777D8F27FDEBD3411F90F,Aschaffenburg,阿沙芬堡
/1E078F204FAC0DD28FE7EEAC8AE5D043,Aschaffenburg,阿沙芬堡
/7072B5B24FBDF6CD7B0040A3E1F52B28,Aschaffenburg,阿沙芬堡
/C94A8FF94E5631041D4281B9962D4AF7,Aschaffenburg,阿沙芬堡
/3661B5914EF9193A237AD4B963E87CC0,Aschaffenburg Hbf,阿沙芬堡火车站
/7A4A7DD64C34CEB7F5A6DB989A099D13,Aschaffenburg Hbf,阿沙芬堡火车站
/9799EB904410AE77DCDB239164B4A6AB,Aschaffenburg Hbf,阿沙芬堡火车站
/AA2E85404F263C04CD866F8169476087,Aschaffenburg Hbf,阿沙芬堡火车站
/AD7A3D6B4320B1AC3079CABA12A74606,Aschaffenburg Hbf,阿沙芬堡火车站
/B45B83B741C46190C56F21987040AD23,Aschaffenburg Hbf,阿沙芬堡火车站
/BD332B10417044715FA707B0A25CAA9A,Aschaffenburg Hbf,阿沙芬堡火车站
/BDF51470463062D6EAB4C7A341B8C18E,Aschaffenburg Hbf,阿沙芬堡火车站
/C2126A124E088179AF0BABAF0FD57322,Aschaffenburg Hbf,阿沙芬堡火车站
