key,source,target
/D85AFC81452A7CAE39C0CB8681919C2A,0Y21 - Hoo Junction to Tonbridge West Yard,0Y21 胡交汇站—汤布里奇西场
/8C939CCB41466AB66335A08103540AB5,0Y67 - Hoo Junction to Eastleigh East Yard,0Y67 胡交汇站—伊斯特利东场
/04311290494ECF5349C60097AFD0BCFE,1C09 - Broadstairs to St Pancras International,1C09 布罗德斯泰茨—圣潘克拉斯国际
/09ADE7274F439279BD66308F33BA0FA1,1C09 - Broadstairs to St Pancras International,1C09 布罗德斯泰茨—圣潘克拉斯国际
/376F2F804AFE4827B96B33BE2712F833,1C09 - Broadstairs to St Pancras International,1C09 布罗德斯泰茨—圣潘克拉斯国际
/522547584714F60505FB34A3DD04F930,1C10 - St Pancras International to Ramsgate,1C10 圣潘克拉斯国际—拉姆斯盖特
/727D95034F8C94EF5253CA993C699995,1C10 - St Pancras International to Ramsgate,1C10 圣潘克拉斯国际—拉姆斯盖特
/E5BED70C4897ED9A6EFB989B18FB2516,1C10 - St Pancras International to Ramsgate,1C10 圣潘克拉斯国际—拉姆斯盖特
/6E08027444AD7A347D3C9EA04F01BF44,1C13 - Broadstairs to St Pancras International,1C13 布罗德斯泰茨—圣潘克拉斯国际
/75F0AC104CF72D14E67096AA5B38BD48,1C13 - Broadstairs to St Pancras International,1C13 布罗德斯泰茨—圣潘克拉斯国际
/ED5B94EC4D4B3B0C96CCC5AA35168387,1C13 - Broadstairs to St Pancras International,1C13 布罗德斯泰茨—圣潘克拉斯国际
/2722EF524B5C2FFDF85040AF3305E115,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/4286709744DAC22940AFCEBFA9E814E4,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/A72137D141DBCB7C2B997CB18C0AC2BF,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/E895B728484CF93393E4E7B93E893AF5,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/EC9F89F4468F69227A631987D8FC3161,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/FA382B324027870ADA82DE85A740DFEB,1C14 - St Pancras International to Ramsgate,1C14 圣潘克拉斯国际—拉姆斯盖特
/20EEE07843852F40F5048D8230D337F5,1C15 - Broadstairs to St Pancras International,1C15 布罗德斯泰茨—圣潘克拉斯国际
