key,source,target
/FEA9B6A04FB8CFF85E47AB9018231912,08-23431,08-23431
/7F68C84D4579D98685D2AE9D43076FF9,12,12
/BBCB508E4A77D39C169C198DC41E83AE,2,2
/CFA8A46D43E5299AD0156594D047F260,4,4
/3DD1D3F24A3E110E5F03AB8305750A4E,6,6
/D9B47E9D43F41D7CDF6E8FBB3EA1944E,8,8
/E1F5310E40EF8B2256F0D5BAC0362148,8,8
/92F4CBF044DD922C8A29F0A3AE82C872,AYLESFORD VILLAGE,艾尔斯福德村
/8A11D4AF46A386F339DC41B392BC209A,Aggregate Unload Point,骨料卸载点
/437452524661A09B167C7596ABE6330B,Aggregate Unloader,骨料卸载机
/B105E46F40A594291F316D9FB3F57ADB,Allington Sidings,阿灵顿侧线
/DCC2B20A4BFBE0B15F57CC98858BDBB4,Allington Sidings Track 1,阿灵顿侧线 1 线
/9E996EAF448DC84D215B4FB98BAEFD93,Allington Sidings Track 2,阿灵顿侧线 2 线
/8726CEDA4020011DB67CD2ACEB70BBB7,Andrew,安德鲁
/3DB9902141CCF5EBB500BDB56ACCAFC2,Aylesford,艾尔斯福德
/6472180344049F948E0262A2C3046E23,Aylesford,艾尔斯福德
/D80D728949A18283D16947A5BD4C39B4,Aylesford,艾尔斯福德
/EC5AE93F4E9906DCF14A07B0E0D8642E,Aylesford Platform 1,艾尔斯福德 1 站台
/BC1E9EE6498179CD640B4D999667944F,Aylesford Platform 2,艾尔斯福德 2 站台
/F61848EE4FA72C0A6CF19A9B128011E1,Aylesford Village,艾尔斯福德村
/23363FAB4A2987AFD49B70B5359AE711,Back,后退
/826859C24928510EBF75A4B4F42DA9A7,Beltring,贝尔特林
/E676B2B143087196EAD6B3BD0CEFF945,Beltring Platform 1,贝尔特林 1 站台
/B403194D48ED109C64DBD6864EA34B0D,Beltring Platform 2,贝尔特林 2 站台
/022190D740015DD01FB0D7B7738D860C,Branch,支线
/43F4C82B40DF65C04717D0A957DD4675,Brookgate Siding,布鲁克盖特侧线
/92D56C7648CC692AEC53E398833547D5,Brown,布朗
/0FB7C4764D83224035898C8532A6639D,CUXTON,卡克斯顿
/3E0339D14A78E594E4C035B12CD0F8EF,Call the lift,呼叫升降机
/4F00A6A54945B309B1C353A4EA082D13,Call the lift,呼叫升降机
/669718D6436DDA30A27F6EBFF833D408,Call the lift,呼叫升降机
/A88AF4284B33B95B9CB51F85ABC271B7,Call the lift,呼叫升降机
/C40BAC9B4C8DAEE611AA9A87AF6AC8F3,Call the lift,呼叫升降机
/FADC39C94A7636332CD36585FD4D61D3,Call the lift,呼叫升降机
/CC0343144252333ED63CC18D171718E7,Center,中心
/A6588A944A45D8EDD2FD68A697241020,Chatham,查塔姆
/019B91084D603B99B781F99C1EB11167,Chatham Platform 1,查塔姆 1 站台
/25D300A043B0DDAEF38C1FA89F43A327,Chatham Platform 1,查塔姆 1 站台
/2C03593447974DF2D5C56986F5104BF1,Chatham Platform 1,查塔姆 1 站台
/8E1091F645211C92C2189096D72F5069,Chatham Platform 1,查塔姆 1 站台
/9A4D7CB74BCC4CB32EAA4BB581582859,Chatham Platform 1,查塔姆 1 站台
/D3DB1C9E4BC7AF08F8C19BB67AE2B5FD,Chatham Platform 1,查塔姆 1 站台
/471430854EFC6601787ED5AEB3465526,Chatham Platform 2,查塔姆 2 站台
/656EE8604C6B80F61375DBABF03E47C4,Chatham Platform 2,查塔姆 2 站台
/832EE692405EB34472AA7BB081475C17,Chatham Platform 2,查塔姆 2 站台
/AE746F134A83457A5114548437CC72BA,Chatham Platform 2,查塔姆 2 站台
/C9038F494DAAC2F3EDD2F683922D2F62,Chatham Platform 2,查塔姆 2 站台
