key,source,target
/440EF4BB42A4433C02BDC2BEAA4BD86A,!,!
/68010FB6453E4BA05F0D42B98C7236E4,0,0
/E2DBEA0445E34EF48CECD7892CFC509B,0,0
/F0F2206F4D725E21976B419697FCAB57,0,0
/6091B55247E429D28D08ED9FB0644E96,1,1
/078AF62E477FA831EDDFB3A0067363B4,11,11
/63BEC31F40C4EAC5EEE76688F20036D9,12,12
/FB08B01A4BBB8BFF35AB7C9756BD3635,13,13
/5CAB0A984B4B9708ED2583895497DE75,15kV AC Overhead,高架电缆 15 千伏交流电
/76EC95B840C964A89D0E15840B01E74F,15kV AC Overhead,高架电缆 15 千伏交流电
/A48D53EC4ACFDD182DD8A79C32C35E5B,15kV AC Overhead,高架电缆 15 千伏交流电
/DB6403C34566BAD57235A1BFB1AB1A6B,15kV AC Overhead,高架电缆 15 千伏交流电
/09C364C545C7E3E3C92F81B868A662E9,2,2
/E6A3655541589DDABA27A08D9A25EAFC,3,3
/A52B39D54D8D0F10C4A4DDA959DDB041,4,4
/4258342849E88DA20F29A08BA7C02E48,440-0,440-0
/28CB5E584FD81FC18E84DE9E152BDF17,440-5,440-5
/89B8B36848388814FDCCE8B75719FF1F,441-0,441-0
/9B9D16514624AF72394D0FAC01C719E2,441-5,441-5
/6CEBE41A48DE73157BFEB5A47169691C,5,5
/53F040A646DE080385AF2CBCBAB307CE,6,6
/FF700E1C45EDD49293BF1AB89B546D56,7,7
/C632C9344AD4DE405604F385ED717F42,8,8
/2B680D0543D9778225522DB8A4437197,9,9
/779842DE461E0C310FE69889DA89BA10,A passenger door has become stuck. Indentify and manually operate the door to unstick it.,有扇乘客车门卡住了。找出故障车门的位置，通过手动操作解除卡死状态。
/A7E098F44FBEF54DABAF3FB7046F063A,Air Conditioner,空调
/B5100CDC4770A592C11EF8BDC3943975,Aircon,空调
/68663938426061BC31A39AABEFD6804F,Aircon Fan Speed,空调风扇速度
/55BD9BC241A2052B9F6607B9F7A4A7BC,Aircon Temp,空调温度
/0CBB93E543F4BF704684258290FE688C,Alstom 2008-2010,阿尔斯通 2008—2010
/1F7ACDBB40F0F79B2D6322AE329B48D3,Alstom 2008-2010,阿尔斯通 2008—2010
/6A0D8C3F4BCB88D7936121BFCC376424,Alstom 2008-2010,阿尔斯通 2008—2010
/CD4BC82C4426A216CFA6B388D4BF9BF0,Alstom 2008-2010,阿尔斯通 2008—2010
