key,source,target
/189DEFEB4DB3BCCCDFD06CB666DA09D7,AWS Cover,自动警报系统 (AWS) 保护罩
/678FA68D4FC44F57D2AAA5823640460D,AWS Isolation Lever,AWS 隔离杆
/CE390E6C42DCD33A70A9E08F70DAF5DF,AWS MCB,自动警报系统 (AWS) 主电路断路器
/7063F3DC48945D5475A1D2B4C361CADF,AWS Reset Button,自动警报系统 (AWS) 重置按钮
/D112EE004C4AF0EEDA6F82BEC4B1E1F0,Announcement,广播
/471404EC4D95D23FD0DAF092CD191243,Arm Rest,扶手
/4F85BC2B43835565432EB796974D76C0,Auxilliary MCB,辅助控制主电路断路器
/24D409A847E5DDEC51D073B41162EC45,BC,BC
/DC04E8CA4D504C70AAB13680EA7F1F9F,BC,BC
/103D3D0E4B60F1AFD127E3880E1D31D4,BOTH DOORS,同时开启
/00813A1D47EA60962CFC7DB58F9837F2,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/0AD40CF84FEC684121F42C9F90D9153E,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/19635D1843B743B3AB4531B6FC4A073C,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/1AC895684473031C7BAF608665E2FAE6,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/1B3762EA43D5CCFC2BAD62936923E02B,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/1F6CA62C4637C26EECFBCE8F1D08ED2C,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/1FD9CF7443459F5B72AE41B3B469F372,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/209FF33E46EF2DBBAA5FC68B9798A85C,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/285F3D094D43610F4E406E9892C82EC6,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/52AFC8364D1502058CBC309883D89E48,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/68CD2BF64AE78683A4DA3C953CE9647C,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/9197B581415120E5664326B467EA79F3,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/AC4D3C004A7D10E6DD9F63A4BFE92EFD,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/C8E95DD94BD5D56AFF1DEF8EBAAA0731,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/D285005348C9FA733E696385A4C21CE9,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/E86ACCB5419D6B7F068CE8ABB4A35351,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
/ECECDB1F448306744AB9FDAD71EC8C1A,BREL 1985-1987,英国铁路工程有限公司 (BREL) 1985-1987
