key,source,target
/718BCC00470C6EF3C399AEA61EF0807B,,0A40 老橡树公地车站—伦敦帕丁顿站,
/123EAE60423F88A2347E65965A177CA2,,0C99 伦敦帕丁顿站—老橡树公地车站,
/70553BE64EAA0FE99DBEE1A3BC2D7821,,0Z77 老橡树公地车站—莱拉车库（第 1 部分）,
/7626DA1B4E4C502A943BF78AF30AB5B7,,0Z77 老橡树公地车站—莱拉车库（第 1 部分）,
/20C77D464E546A56D202DD9DA304251A,,0Z77 老橡树公地车站—莱拉车库（第 2 部分）,
/D8E42C2546C2ECB66FA90CAC9EBEFA12,,0Z77 老橡树公地车站—莱拉车库（第 2 部分）,
/380E39B148650718E1FCF58C308AB8F8,,171D-10 汉默史密斯站—巴金站,
/C4FEC0A1412E0A1A79E0F1B6DA82E60B,,171D-10 汉默史密斯站—巴金站,
/3FA6C6CF402F737785BA8FBB05CFB6FB,,171D-11 阿尔德盖特站—汉默史密斯站,
/68E9196C40E5FE38B310A0AAA4AC3574,,171D-11 阿尔德盖特站—汉默史密斯站,
/136FD7004B90EF8D572F1BB639A084AF,,171D-12 汉默史密斯站—巴金站,
/C78592D14717946B177C31ADC4ECEF4C,,171D-12 汉默史密斯站—巴金站,
/0CF2D903418C7DC6BCD5989CF107CF2C,,171D-13 阿尔德盖特站—汉默史密斯站,
/D750D91246EB0B8F299B67AB2DB1B7EC,,171D-13 阿尔德盖特站—汉默史密斯站,
/6E80E3F04C4AD0D0C1BD8D9390633FB3,,171D-13 巴金站—汉默史密斯站,
/053A82D94A29DCAA3BB281BE93ED1611,,171D-2 汉默史密斯站—巴金站,
/F40BF2094D96D2783ACE1D99BA5156AC,,171D-2 汉默史密斯站—巴金站,
/7C39C324428DAB4F09D9B2B7CA13BB6E,,171D-3 巴金站—汉默史密斯站,
/7A7DD7F84D84FDC65EEDF9AF6530BC14,,171D-4 汉默史密斯站—巴金站,
/ABDDAE2C4D53D9BC35F72DB583FA4CCC,,171D-4 汉默史密斯站—巴金站,
/0362030B4286E2C18B246C93DDFC160F,,171D-5 巴金站—汉默史密斯站,
/13FA381E479F5CAAA8B0FF9FA1CFDC43,,171D-5 巴金站—汉默史密斯站,
/1175022E47883C4D36892D92F7EEC2B8,,171D-6 汉默史密斯站—巴金站,
/EB1FB8B54985A0CDA96147AB49B9D726,,171D-6 汉默史密斯站—巴金站,
/DF9839FA44A00EFEF9E2BB99339D41B1,,171D-7 巴金站—汉默史密斯站,
/E9C1811F43DA84D0BF1201A69E6269AD,,171D-7 巴金站—汉默史密斯站,
/6E7D03B14B51B290D884069B0F71243E,,171D-8 汉默史密斯站—巴金站,
/7C6288074362DB1E9C28E28DE1D35485,,171D-8 汉默史密斯站—巴金站,
/0EB81472406A9D72285BDF9D8D7E0172,,171D-9 巴金站—汉默史密斯站,
/C85E5C3640E2C8AB9F73F68A2100AE8F,,171D-9 巴金站—汉默史密斯站,
/11AAB7A24F3FE6E789E2D7A48BB7C253,,175-2 汉默史密斯站—阿尔德盖特站,
/DEF18C734AB15A055922C6A8ADE85179,,1A02 布里斯托圣殿草地站—伦敦帕丁顿站,
/AF0D8F314DE4F5EFDAF16BA2ADA96B51,,1A02 布里斯托圣殿草地站—伦敦帕丁顿,
/E7FF2B4E404442F02DD76899815DE0D4,,1A02 布里斯托圣殿草地站—伦敦帕丁顿,
/F54362F7480FDDAA956303935F75796C,,1A02 布里斯托圣殿草地站—伦敦帕丁顿,
/98AC02BC440F255AAF66D8A47A0D4C25,,1A03 布里斯托圣殿草地站—伦敦帕丁顿站,
/AA746783466EF33A8B6736931775F2CF,,1A03 布里斯托圣殿草地站—伦敦帕丁顿站,
/285911CB411BE748CCE38DB4CB27382E,,1A04 布里斯托圣殿草地站—伦敦帕丁顿,
/8A49146740C5559CE9310E999EF43AC5,,1A04 布里斯托圣殿草地站—伦敦帕丁顿,
/D655968B47E8E13C52D8A69D6840F767,,1A04 布里斯托圣殿草地站—伦敦帕丁顿,
/E0B2051040CF56E3F029E7A2C42D0D9F,,1A04 布里斯托圣殿草地站—伦敦帕丁顿,
/8C240C8D4D45E745016B329DA28100F3,,1A05 迪德科特换乘站—伦敦帕丁顿,
/9A09FB8A4E2E84A12DE20BA5E6A98B3E,,1A05 迪德科特换乘站—伦敦帕丁顿,
/B7E39E1142C11830893C49AD6B53189D,,1A05 迪德科特换乘站—伦敦帕丁顿,
/E01E50164BF3F0F0A4D23BA7C5158667,,1A05 迪德科特换乘站—伦敦帕丁顿,
/937D60EF45433341A89EBBB16F2D6DAA,,1A06 滨海韦斯顿到伦敦帕丁顿,
/D72DBFDD4C1CC0471751089239418019,,1A06 滨海韦斯顿到伦敦帕丁顿,
/DE003EA8433BB9DD52F611B0B0A7E443,,1A06 滨海韦斯顿到伦敦帕丁顿,
/FC3678DC4C99C8069639A1B6B612DBAD,,1A06 滨海韦斯顿到伦敦帕丁顿,
/E1F292FA44196C621FF47D99FF68CEBD,,1A07 滨海韦斯顿站—伦敦帕丁顿站,
/EAB715A9479C88117ADD1EA5BE7D63C1,,1A07 滨海韦斯顿站—伦敦帕丁顿站,
/88ED547E4D3D427DECCBA699B9B57831,,1A08 普利茅斯站—伦敦帕丁顿站,
/B12A88724E1B41DFDE70859809AD002F,,1A08 普利茅斯站—伦敦帕丁顿站,
/59714468467DC4D4FE0B8BB0CBBE1280,,1A09 汤顿站—伦敦帕丁顿站,
/8B15B9AA4345F9E8389B73AD1BC2DFCA,,1A09 汤顿站—伦敦帕丁顿站,
/18DFEDCB4431A31E6B3229AC158E042C,,1A10 布里斯托圣殿草地站—伦敦帕丁顿,
/2914003F43AAB9005C4DD18668CAB459,,1A10 布里斯托圣殿草地站—伦敦帕丁顿,
/C369D949457837BDBB6CE7BA77707C25,,1A10 布里斯托圣殿草地站—伦敦帕丁顿,
/D2DAC46247CDE4AB80DDE398016CB1CF,,1A10 布里斯托圣殿草地站—伦敦帕丁顿,
/315D32C54CAE839B6D39AAB7D61E5969,,1A11 布里斯托圣殿草地站—伦敦帕丁顿,
/4D3695524C7C81A06EEF4E99E5FEB41D,,1A11 布里斯托圣殿草地站—伦敦帕丁顿,
/EA4878C54434166FE36D3B8CE4265968,,1A11 布里斯托圣殿草地站—伦敦帕丁顿,
/F1BF94C44D0D6C3A1FAC038B6154C94E,,1A11 布里斯托圣殿草地站—伦敦帕丁顿,
/00619D3B4EDF16B92A5F8481C0028078,,1A12 佩恩顿站—伦敦帕丁顿站,
/929D7E234E1A9072DB74DA87FA582FC9,,1A12 佩恩顿站—伦敦帕丁顿站,
/0FAEEB9247ADCCAECCE8A3B245066130,,1A13 布里斯托圣殿草地站—伦敦帕丁顿站,
/65FC327E4399103CAE64F7A9EB24D525,,1A13 布里斯托圣殿草地站—伦敦帕丁顿站,
/9F7F473F44C0FF74965234BBA5CD2C44,,1A14 布里斯托圣殿草地站—伦敦帕丁顿站,
/FB74F8AE49C01535A73280A282FBE65A,,1A14 布里斯托圣殿草地站—伦敦帕丁顿站,
/79914AEF4C894645ADA62799A3E62C5F,,1A15 布里斯托圣殿草地站—伦敦帕丁顿站,
/ABA132F74E496F69093D44A1F4F00E0A,,1A15 布里斯托圣殿草地站—伦敦帕丁顿站,
/27687F2043731B75837B5D8E17D3E82A,,1A16 彭赞斯站—伦敦帕丁顿站,
/5CB4441D4E5B02B8187058BFAFC998A8,,1A16 彭赞斯站—伦敦帕丁顿站,
/60E882BE4DF547E7F63CD99CE38BA51D,,1A17 布里斯托圣殿草地站—伦敦帕丁顿站,
/7ACA819045CEF8A15AE461B3A13272CC,,1A17 布里斯托圣殿草地站—伦敦帕丁顿站,
/89A64598440FBCE9384AE8AE3D2D7484,,1A18 布里斯托圣殿草地站—伦敦帕丁顿,
/B0526ADF43A3B27DE3AF369E0F3C8C84,,1A18 布里斯托圣殿草地站—伦敦帕丁顿,
/EB8B1BC94A6FE6FF0DD98A811F120034,,1A18 布里斯托圣殿草地站—伦敦帕丁顿,
/F876B2B74219839F5A534AA505899B49,,1A18 布里斯托圣殿草地站—伦敦帕丁顿,
