key,source,target
/53221E214DD786B0B3147BA9B90430FE,Ansdell & Fairhaven,安斯戴尔和费尔黑文站
/9DB105224D360548278DCBB0D99C0A11,Ansdell & Fairhaven Platform,安斯戴尔和费尔黑文站站台
/F360CA7C436BAE66D918D694FD6F8C70,Blackpool,布莱克浦
/3E09DD3A468E975A0D64EA9F3598996A,Blackpool Branches: Preston - Blackpool & Ormskirk,布莱克浦支线：普雷斯顿—布莱克浦/奥姆斯柯克
/F0C63297401FB0B7C15EB4B1391489E4,Blackpool Branches: Preston - Blackpool & Ormskirk,布莱克浦支线：普雷斯顿—布莱克浦/奥姆斯柯克
/5645E3404B22A139FD6102A8FA4B750F,Blackpool North,布莱克浦北站
/5C2729E447EF135FF15826B9340FB6CF,Blackpool North Carriage Siding 1,布莱克浦北站车厢停放 1 号侧线
/A79D7DCB45D936031826CE8638394ACF,Blackpool North Carriage Siding 10,布莱克浦北站车厢停放 10 号侧线
/02E2034A407DE3F8B8174B85ECFC6A65,Blackpool North Carriage Siding 11,布莱克浦北站车厢停放 11 号侧线
/926D017B4BB9FDB27AACB9A9808C5325,Blackpool North Carriage Siding 12,布莱克浦北站车厢停放 12 号侧线
/0EAD04A44AF1D1DA413A2783D4732BEE,Blackpool North Carriage Siding 13,布莱克浦北站车厢停放 13 号侧线
/A39539EA495F70D2C888BEA60AEEC567,Blackpool North Carriage Siding 14,布莱克浦北站车厢停放 14 号侧线
/1B3468C042F72AAEA09B8A90359D6DB5,Blackpool North Carriage Siding 15,布莱克浦北站车厢停放 15 号侧线
/5478A35A4223108864FCD3B08609B601,Blackpool North Carriage Siding 2,布莱克浦北站车厢停放 2 号侧线
/7A2C8F4B4562A9975931A5B7CB19433D,Blackpool North Carriage Siding 3,布莱克浦北站车厢停放 3 号侧线
/1510D6094CFFDE428DE8C090B24D1EAA,Blackpool North Carriage Siding 4,布莱克浦北站车厢停放 4 号侧线
/5D642AA847DAEAA927159AB22E8BD35F,Blackpool North Carriage Siding 5,布莱克浦北站车厢停放 5 号侧线
/70D823BB40D20855CAE037807B316625,Blackpool North Carriage Siding 6,布莱克浦北站车厢停放 6 号侧线
/ECD865334666B208266C7FA1C7DCD251,Blackpool North Carriage Siding 7,布莱克浦北站车厢停放 7 号侧线
/F6001D8E4F301331B09F3DA1DA0083B2,Blackpool North Carriage Siding 8,布莱克浦北站车厢停放 8 号侧线
/9A74F3ED438EEA0645F45CBEE076DFD1,Blackpool North Carriage Siding 9,布莱克浦北站车厢停放 9 号侧线
/37A402254BDCCC8B39A5E0B1D9D5B3C9,Blackpool North Down Main,布莱克浦北站下行干线
/E921420C4C4A189CA12A158012958105,Blackpool North Engine Loop,布莱克浦北站机车环线
/A17AD33B47E997E58224E6B83DC54D7B,Blackpool North Headshunt,布莱克浦北站机走线
/BB506FFE491D4BE531F157A12FBDB731,Blackpool North Platform 1,布莱克浦北站 1 站台
/D4298C4D4C485B4F652D85B6B26861FF,Blackpool North Platform 1,布莱克浦北站 1 站台
/FDF84AE046AA62C408AEC88E1C2BF256,Blackpool North Platform 2,布莱克浦北站 2 站台
/7C70611E4E7F79A5D235AE8AAF21C0A3,Blackpool North Platform 3,布莱克浦北站 3 站台
/A96524B2448FE92E2A6003B5FA335786,Blackpool North Platform 4,布莱克浦北站 4 站台
/86CE4A9348948973553219A5B50BE191,Blackpool North Platform 5,布莱克浦北站 5 站台
/E4CA4832485CDEF9AB5EA3AE87B92A2E,Blackpool North Platform 6,布莱克浦北站 6 站台
/1B4AF5E248E7BE2944D28485FCDE81FF,Blackpool North Platform 7,布莱克浦北站 7 站台
/2FD63D9F49554F922FBB91B6CA853956,Blackpool North Platform 8,布莱克浦北站 8 站台
/ED99AF764DE51955CDCE45BE0B6949CB,Blackpool North Siding 1,布莱克浦北站 1 号侧线
