key,source,target
/371308264534AAC843349BB7523D3D25,0,
/4588CEC14E0188B9FA8B3199321B7C5D,0,
/6A18EB4047F9F7C505EFCFA20A4490D1,0,
/D46F54174165B4D8D734EDAC07297165,0,
/EA5828524A8CD7549934129C6B9B196A,0,
/F1C0B9F845D14201E9296BB83AAF720C,0,
/1A230BB14656CA2053729AA28CD04BB3,15kV AC Overhead,
/022A0DD94ECBB878F6AE488AD3BD2B63,1A,
/29337275476E74F1781715AD4158EA8D,1A,
/A7FBE46047F83191110CF3BD237DE5EB,1A,
/BE985DF5430E52C7896B89940112289D,1A,
/0602AEFB418FDF3A17B6A88C7DA52253,1B,
/12BFC8BE40FA00E2BA9966A504772C11,1B,
/CED48FAF4B1C5A449B8B1CBAD35C7F5E,1B,
/E2F9DA3545825F10A7A61CB36136943D,1B,
/4AC3F7614FF0DD29340F69B8158132D9,2,
/6230C6394B33EBB9F50A55B7860EA686,2,
/BC0DE624498D1430199195B55C541076,2,
/ED0AC6CA499EFA722485C1986445BD97,2,
/0ABAA2E349D9DB2617FD6BAE7D3F9F8C,3,
/12939865468B838F2949A095D1615D79,3,
/4DAE1BB2481CB8F12792CE95C4FA64BF,3,
/D0D91ED94BC11531C4AB47891F013C86,3,
/1C242DA540B22E6D6D80C5AB8787FDA8,4,
/2C4879AE470359EFF467A396668262D0,4,
/35D9ACBB45188550AC1F2E9874FF212B,4,
/8C628B3B449C4431F36298BD6F4E3EEC,4,
/29D5C3BB4B0A40A61F1BCCBF6881E0C0,5,
/A84FD3454302A4E58E4800A91BA17D08,5,
/C6FD445046109F4C8AE3499832463B0D,5,
/F9D76F254F955E43539D97B683932B68,5,
/02D944EC4A0839D60E70C2BC6CEE9F30,6,
/385BA123409D471AFBD93796BE461724,6,
/625DE9154D30E596E540F5B270D8DDC3,6,
/6A39501C4BEBB4DAFB5DCE91F9C402ED,6,
/71A95F344FDCDBBDC63BA9AFE7EC7B88,6,
/9EFA777C406683C7D9D15FA96DF1BA25,6,
/A974750A475C5A81C6B8FDA355AD8748,6,
/DF6FE51344A9639FEF6B57B50A9AA4D9,6,
/246066A14C1EC98E959BC88DF5C21860,7,
/515548684DC499FAFB10FA83258DE92D,7,
/9DAF8A984DC3CCA08D7B73B671322717,7,
/A1C87755424FA3DFF6061E8BF174DF4C,7,
/C58EF1AF4B0D6B5DF784C3B9EADA3667,7,
/D42A8A4F4002C39FD901FD94D070B1BE,7,
/D5D900864734D80C1BEF088E7CD3E0C9,ADtranz 1996 - 1999,
/1719C3354A3FDE23D110F5BACD081870,AFB,
/ED62F349447959E2D5B4F0813AE4CBEB,AFB,
/4A5877B74B000FE62B61EF9485D812AA,AFB Main Switch,
/DB4ABF3D4D19CE1465A83C910B6F7C9D,AFB Main Switch,
/392972524F1EDC42ED1A2A963D0EE263,Air Compressor,
/ED1EBFFD4BA891A165FF11ACFA6CF440,Air Compressor,
/53ED852448114F498A5BBBBD54527C90,Applied,
/EE373DB6456DAC457860C6A97AC00305,Applied,
/6ED18F124AADEDA94B233C9D4E872CFE,Apply,
/B329F4A74C9E3F250403518935AA3358,Apply,
/17C91AA440184E4EB920B5925408FF3B,Aus,
/48CC83C34E755264BCF41BA456C3FD0C,Aus,
/8DBB13904F2091B53E97E99AF72CF04E,Aus,
/A072DA654808B48CB5C332A251D9CC1D,Aus,
/DB6BDA2C4FF7A1842C00D4A1ECC5B088,Aus,
/DF664C084B8B00DA4BE556BF97F92434,Aus,
/C165C1C1411B2477F5F6DE80D69E06E2,Auto,
/70CB68634C977940DCBEA6A8586F89BF,Automatic,
