key,source,target
/371308264534AAC843349BB7523D3D25,0,0
/4588CEC14E0188B9FA8B3199321B7C5D,0,0
/6A18EB4047F9F7C505EFCFA20A4490D1,0,0
/D46F54174165B4D8D734EDAC07297165,0,0
/EA5828524A8CD7549934129C6B9B196A,0,0
/F1C0B9F845D14201E9296BB83AAF720C,0,0
/1A230BB14656CA2053729AA28CD04BB3,15kV AC Overhead,15kV 交流架空接触网
/022A0DD94ECBB878F6AE488AD3BD2B63,1A,1A
/29337275476E74F1781715AD4158EA8D,1A,1A
/A7FBE46047F83191110CF3BD237DE5EB,1A,1A
/BE985DF5430E52C7896B89940112289D,1A,1A
/0602AEFB418FDF3A17B6A88C7DA52253,1B,1B
/12BFC8BE40FA00E2BA9966A504772C11,1B,1B
/CED48FAF4B1C5A449B8B1CBAD35C7F5E,1B,1B
/E2F9DA3545825F10A7A61CB36136943D,1B,1B
/4AC3F7614FF0DD29340F69B8158132D9,2,2
/6230C6394B33EBB9F50A55B7860EA686,2,2
/BC0DE624498D1430199195B55C541076,2,2
/ED0AC6CA499EFA722485C1986445BD97,2,2
/0ABAA2E349D9DB2617FD6BAE7D3F9F8C,3,3
/12939865468B838F2949A095D1615D79,3,3
/4DAE1BB2481CB8F12792CE95C4FA64BF,3,3
/D0D91ED94BC11531C4AB47891F013C86,3,3
/1C242DA540B22E6D6D80C5AB8787FDA8,4,4
/2C4879AE470359EFF467A396668262D0,4,4
/35D9ACBB45188550AC1F2E9874FF212B,4,4
/8C628B3B449C4431F36298BD6F4E3EEC,4,4
/29D5C3BB4B0A40A61F1BCCBF6881E0C0,5,5
/A84FD3454302A4E58E4800A91BA17D08,5,5
/C6FD445046109F4C8AE3499832463B0D,5,5
/F9D76F254F955E43539D97B683932B68,5,5
/02D944EC4A0839D60E70C2BC6CEE9F30,6,6
/385BA123409D471AFBD93796BE461724,6,6
/625DE9154D30E596E540F5B270D8DDC3,6,6
/6A39501C4BEBB4DAFB5DCE91F9C402ED,6,6
/71A95F344FDCDBBDC63BA9AFE7EC7B88,6,6
/9EFA777C406683C7D9D15FA96DF1BA25,6,6
/A974750A475C5A81C6B8FDA355AD8748,6,6
/DF6FE51344A9639FEF6B57B50A9AA4D9,6,6
/246066A14C1EC98E959BC88DF5C21860,7,7
/515548684DC499FAFB10FA83258DE92D,7,7
/9DAF8A984DC3CCA08D7B73B671322717,7,7
/A1C87755424FA3DFF6061E8BF174DF4C,7,7
/C58EF1AF4B0D6B5DF784C3B9EADA3667,7,7
/D42A8A4F4002C39FD901FD94D070B1BE,7,7
/D5D900864734D80C1BEF088E7CD3E0C9,ADtranz 1996 - 1999,ADtranz 1996 - 1999
/1719C3354A3FDE23D110F5BACD081870,AFB,AFB
/ED62F349447959E2D5B4F0813AE4CBEB,AFB,AFB
/4A5877B74B000FE62B61EF9485D812AA,AFB Main Switch,AFB 主开关
/DB4ABF3D4D19CE1465A83C910B6F7C9D,AFB Main Switch,AFB 主开关
/392972524F1EDC42ED1A2A963D0EE263,Air Compressor,空气压缩机
/ED1EBFFD4BA891A165FF11ACFA6CF440,Air Compressor,空气压缩机
/53ED852448114F498A5BBBBD54527C90,Applied,已施加
/EE373DB6456DAC457860C6A97AC00305,Applied,已施加
/6ED18F124AADEDA94B233C9D4E872CFE,Apply,施加
/B329F4A74C9E3F250403518935AA3358,Apply,施加
/17C91AA440184E4EB920B5925408FF3B,Aus,关
/48CC83C34E755264BCF41BA456C3FD0C,Aus,关
/8DBB13904F2091B53E97E99AF72CF04E,Aus,关
/A072DA654808B48CB5C332A251D9CC1D,Aus,关
/DB6BDA2C4FF7A1842C00D4A1ECC5B088,Aus,关
/DF664C084B8B00DA4BE556BF97F92434,Aus,关
/C165C1C1411B2477F5F6DE80D69E06E2,Auto,自动
/70CB68634C977940DCBEA6A8586F89BF,Automatic,自动
/ADE3B35D471A16A1DC2CEBB1BF91C6AB,Automatic,自动
/4ECA64CE45832DD275C0C8945EB9733F,BP,BP
/21BBCC044B735E650E04BCA22E585E44,Back,后
/FB9E390E4D473E6C9DBCEDA6A184B30F,Battery,蓄电池
/4D47CFCD4642881FCF82269DB605E2D7,Blind,遮阳帘
/563EA82A4F6641D164932F9CF2E468C2,Blind,遮阳帘
/BF8D9E844ABFF03F2919B4A3A991D212,Blind,遮阳帘
/CFCA246B4BABACD2DE1F87A1CB560566,Blind,遮阳帘
/531DEAF443CCE6C77DE2C680DF688BD0,Both,同时
/E6C36C294D6CF2A0FE302D8064E2D310,Brake Key,制动钥匙
/F389C536407374E28C616CA9905FB20D,Brake Key,制动钥匙
/3D1A60344C275CA63871D887E16B7850,Brake Overcharge,制动过充
/B288094246A49DF189F9B4B8B51881C7,Brake Overcharge,制动过充
/1740A9EE4E5AA5BDA7D70B86469315BF,Brake Release,制动缓解
/93DABEA34318F1500D2E34AA6808E25D,Brake Release,制动缓解
/29433C424F5D65845254AC94EBBE0526,Braking Operation,制动操作
/82551D35415D04E6FA3511B49C3A50B1,Braking Operation,制动操作
/841A2E8744B32F55D23A08B16C6578EB,Brightness,亮度
/B8CFD5A24090CC83FEBBA1831E5CA9D5,Brightness,亮度
/C00C3A384112BD5E19DC8B8F9E95C921,Brightness,亮度
/CE04530E4C6895FECE48D6A09DFA39B7,Brightness,亮度
/FA163368449995B534A0B098F1A9A050,Brightness,亮度
/FF09AF6C437E11D7471313BD500431D5,Brightness,亮度
