key,source,target
/1314A3BD43222B247D3D0FBFB2413ABF,%,%
/99CDAB50472BB45F25E8998E55C36C3D,%,%
/48750746487D56776510C3B56AA62A51,0,0
/9FE32CC4441F761014B7AC886DF8A495,0,0
/2C472935442C3C56543322BDFBDBE75F,0000,0000
/2A6A405A4F1F215BDD9EACBD2C925E0A,1,1
/ACD4D2B54AD53A85A52DB2B06B63BB74,1,1
/6467FBCC4827963D41D817B0E55EB9F3,1 Off,1 关
/633B5DF4485B5FE76D9EA393DFDE16FB,100 %,100 %
/742903184FA629C878EE21AC9C607288,12000,12000
/44DB0F9F4C539667D47AB49B62189490,1A,1A
/DB49B63A4D626C741016D3B48A17B1E1,1B,1B
/65C4EA67455849F4009298883858079B,2,2
/91A8C9B748F4B37BAE343388C69EA165,2,2
/99CE8A3E49F72E3C126BFEBD6A87FBAD,2 Off,2 关
/3D09E512429256327FE5FAA525E1365F,25kV AC Overhead,25千伏交流架空接触网
/713659FB43329C592187E28658845702,25kV AC Overhead,25千伏交流架空接触网
/33D5EB46481DE7573C6E74A50B9A7D25,3,3
/7269F2F64BA3E79628C2B09F6793FB9D,3,3
/089A88604336B2E50B2E43ABBAFC3C51,30.9,30.9
/8851DC044512B7BE520B57871C32BE21,4,4
/888689E54C47671402634B8FE6E3E359,4,4
/AD0A0D97463F0C8C0EF5D691FF6C8571,5,5
/D5D759F141AE6C322F3A71A6D76B6B28,5,5
/0CAE7C584B85A19E051290BFE107CEC0,6,6
/96F03BDE4FDD3A622DC80CA43C91AEEC,6,6
/0F4E624341C4FECA25E31BB68B1FA25A,7,7
/4EAE85474D8C1FBED584C4A308296B57,7,7
/C549798844670BE17AF7B7B37FF7FF56,8,8
/CC911D7F4870A3FDC6ECDF89BF1895D8,8,8
/E0F3AE9E4E96C954E8B9DDA6020971F8,9,9
/F0429A3E4065086E9C3F15A930C4214B,9,9
/9731FEED4A7271E74DBECABA7BAB510A,AB,AB
/4438DED849C203094D6B83A54AAC3299,ABC,ABC
/994EEBEC4CD667740F08EC839FF91175,ABC,ABC
/C959A5CE49D23369BFFFD9A6BEAA1073,AFB,AFB
/1D99C3CB43C8F8118C21339A11E557CD,Active,激活
/B0213CB54DC4AFB384243DBE52DC9C0A,Active,激活
/D192B7674A343268F92B269B5220CB53,All,全部
/213DA5474BCBE3326D3AF796A2CA4F5A,Applied,已施加
/7BA4C3E1474C76148A258D828694B17E,Apply Parking Brake,施加停放制动
/03B911A046789FECF4E75F8CDB7AF0AE,BC,制动缸
/50A99B694C83D77F042CE6AE666C9C13,BC,制动缸
/5AFD6C4241EE71681B9FD7B5FCF828A5,BC,制动缸
/F1A115D84B7D23D00D2FB3A3EC95F757,BC,制动缸
/049B3E654FF0659AA471E2B7F9841126,BP,BP
/294EB5BE445C78B7AB07CBB28C18245B,BP,BP
/C78F24D1467DD9F722F678A27830E642,BP,BP
/62AD80B242ACF709599F0799F9910216,BR403 DB,德铁 403 型动车组
/96C0BC304A5C1A06CA84CA87970F0496,BR403 DB,德铁 403 型动车组
/11E9DEF94846779CB54DA6AAB33E9D9F,BSG 1,BSG 1
/5D2684EB49E2B98128234A983917737A,BSG 1+2,BSG 1+2
/5C915FCB49A8CAD9749425B05EDBB133,BSG 2,BSG 2
/3898BD06453ACCAD130A5CA263B7FCB6,Battery,蓄电池
/35E151FF4475A476767F30A02A157EDD,Battery power must be turned on before attempting to drive this train.,在尝试驾驶此列车前，必须打开蓄电池电源。
/117D08D5488672CC258781862148DF05,Blind,遮阳帘
/A2D0172049610969278ED0941012A9C0,Both,同时
/BAA101094757019FD7D1F4A2999BC495,Brake Mode,制动模式
/CA767C2543322ABB7467C5A664F1676D,Brake Mode,制动模式
/642F3D5744FBF58DE8E709AB897B37AA,Brake Release,制动缓解
/433DC4D441734929BE0A58AB62697975,Brightness,亮度
/B195089346FF9FAD599481B1625E2C10,Brightness,亮度
/026EBBCB418293E86D040A8042EC68DB,Buffer Stop,挡车器
/3FE5ACFB4174D27AA0ED8FA5045899AD,Bypass,旁路
/1DE5D4A443DF0E0230B051BB95B60E69,Cab Air Condition,司机室空调
/A11D0AEC4B8CC6727BDC9AB1D5EE6083,Cab Air Condition,司机室空调
/485BE1BE43E5D4033BB979BAFAF48015,Cab Lights,司机室灯
/37864328421F354EC8948299A3E2BDB5,Clear,清除
/9E90ED824480707CCAF5D18629679111,Clear,清除
/BDC1CFE94C070F340DF917B8BA8C0B4A,Climb Up,爬上
/F5B7807243492583A6312E9A29C83AF4,Close,关闭
/BCA31AF24D572FC7E9C34699E137548B,Close Both Sides,关闭两侧
/FBDDA0924743E09F7384E0BBE39D29A4,Close the Main Circuit Breaker to draw power from the overhead wires.,合上主断路器以从架空接触网获取电能。
/71655CC94D98E4F2EE629CB0DF502DB3,Close the passenger doors before applying power.,在施加牵引力前关闭乘客车门。
/2815CB72496259F447DF368E64281AF4,Contact Signaller,联系信号员
/1F6D33FF48B7B5BF20F244846CC661EA,Contrast,对比度
/D32077DC4129555A59C534BC6CB83468,Contrast,对比度
/AD39D34343BA015DBAA9C4BC0267E027,Coupler,车钩
/F23E398848A71FA3B294C1ABE00FE570,Coupler,车钩
/27AA094548280F62864CFE9BB0B65655,Coupling Control,连挂控制
/538A33454C86417C090C5A8FAC3F6EA2,DB BR 403,德铁 BR 403
/41CE6A6F415F7E9821BCB49A6EA29F8C,DB Driver,德铁司机
/4680E67842206D46401D2189777B5464,DB Driver,德铁司机
/737239E54FBDC52EAE3CECBED933EBC8,Decrease Gauge Brightness,降低仪表亮度
/EE1DB03E48C8D26E8EBF6093125D1B56,Decrease Indicators Brightness,降低指示灯亮度
/CC4DF137403EFE71F7A1FA92B7260BE1,Dimmed,调暗
/6D93BFF746650A433650D0821CD8A5CB,Dimmed High Beams,暗远光灯
/019DC5B84B8CFBD9DDC51597825D5354,Disabled,已禁用
/15BE511E4A8C93DD6419A58C8BAE7526,Disabled,已禁用
/51E9599C4B1BAFF32EACD08CE8F2A9B1,Disabled,已禁用
/5852EE064ABF48CCCBA45499D61EE742,Disabled,已禁用
/67BA61924F7BEB4D2163A1948BC73939,Disabled,已禁用
/F7F5CFF84D89FFA77E717FB82C8E7D63,Disabled,已禁用
/5796444F4968E92DDC0F4DB58FCDD1A7,"Do, 16.06.2022","Do, 16.06.2022"
/58CCD5634416C9FC243250881D6A3154,"Do, 16.06.2022","Do, 16.06.2022"
/63370EE44D89FE2FAD6FCF86C5EF8FF5,Door ,车门
/825F7C2A4583920389327A8AC64F3EC7,Door ,车门
/9D681C8440C79AC1CAE1E4A2A23CA59C,Door ,车门
/B751486E4696171742701498113D0B23,Door ,车门
/BBA60FA543A7374C7FF7F2A5914B32BC,Door Control,车门控制
/29FDBB2D4651343A76930BA6A0A59B51,Down,下
/806FAF7D4C9B632FCCD4099EA194039F,Down,下
/80DC0E8144D883833CFF409D09BF6569,Driven 40.3 km!,行驶了 40.3 公里！
/90008B5F435BBAFA52B385A26BA25198,Driven 403 km!,行驶了 403 公里！
/0A44769A45942A88035998B93326FE2C,Driver Assist,驾驶辅助
/0E350D2E4379CD9EEF9928A239F92001,Driver Assist,驾驶辅助
/5E6AE3A841ECA8E3B73C69BCF5E82E06,Driver Assist,驾驶辅助
/66779817471171569F8A948DD4E24A1E,Driver Assist,驾驶辅助
/7DF26525421BEEC3DB7AE4BD7D973E30,Driver Assist,驾驶辅助
/83267CE6457FEF3D3893AF8F546DD570,Driver Assist,驾驶辅助
/A95BA89A499CC40C2D73A3B3964686B3,Driver Assist,驾驶辅助
/B66002144185FE91E68973A3BBA2CE46,Driver Assist,驾驶辅助
/BD8F4C044E3BBA2AC179D7B3551B8016,Driver Assist,驾驶辅助
/BF25E35D4391FC3DF4708185ACE3BB7E,Driver Assist,驾驶辅助
/F428302C4D2A15C3E3A71986592FFDD4,Driver Assist,驾驶辅助
/5100A7A443E1637E888C008E0A186431,Driver's Seat,司机座椅
/BD41F6784108CF84DD3853A8F9B7B86C,ECB,ECB
