key,source,target
/D343E4D247D26E47C1733C8CB9724FD9,+,+
/BF1FA7A647DADA9114DEC28757A0AF73,-,-
/971889C7481BD8FB7DC462AE2F52F2DA,---,---
/0CD26A834A56F393BCE80C948B9BDAB4,0,0
/4520A80749D604B8C05AFBAE41FDEE4D,0,0
/48FF23C847D1B9330CCA23A6CBD69D13,0,0
/AE663E4347A78CA2C9698688A5746B4E,0,0
/C2BBD5044C1BBEACF51ED8BCF88032A7,0,0
/D0B8CAB2411301AAB6BEED87A100D178,0,0
/E690C7C54E5C25D6D982CDAD4FD16989,0,0
/5E4CB7A44BDD6D821091A591A1864995,00-00-0000,00-00-0000
/62AFA7A04BE0151AB7AB3E9EDCE1AA2F,1,1
/BBBB8D1241C7BA580B8230B41B1258CE,1,1
/C28B1CCE4E6DAC646A0FFBB168C6C83E,1,1
/D80D3E0646BDBEA6985176B6EBFAF62A,1,1
/803477D54219232C4F592D93E787A0E0,11,11
/0ECCDFAA4298A40EC9A23D8FC56402CA,12,12
/9C27A600434E0B65C6E155BECE9EFD68,13,13
/28D019334E9425D022B7AEBE9659C977,14,14
/F11281C44D4F5B623647B3B71509EDDE,1A,1A
/0D3826FE4B2057046F6DF2A12CB0952B,1B,1B
/07F23C5842825758DCC2D0B765F56462,2,2
/951E4F9F4C345A48B466A38CC8D81AFD,2,2
/FF92099E4E55A72BE8B5F68B2ACC4FF4,2,2
/2D73E1394DC017852A3929B9DA5CDE99,3,3
/4A92FD1149A77A9CF6F6E48DE30A74FD,3,3
/A76EBAA4439FA57992A462BECB97FC56,3,3
/117E978B4C2CD349211C0CAE278666DB,4,4
/2545EAE240B09D930A835295ED405F1A,4,4
/C89C595E44226834B94EF59A27C977B5,4,4
/2112918E48519CBB6CCE95A1169A4936,5,5
/46B13C5146034516783CFEB38565220E,5,5
/F50CE5F047A5CC86452DBBB00C3CAEBE,5,5
/425AC2D34BAC97F85B47909EFC0AD987,6,6
/7BCC04DC41B4C2B8A202CE933450F515,6,6
/876A340640A2A73A7FC78384F311461A,6,6
/0628A6054C4D4577F5FEB1A8BF956F8A,7,7
/0C583F8442017B6184970CB9B9DFE856,7,7
/A8D00AA748DF3B4C29537A9B4B5E59B4,7,7
