key,source,target
/74200F3443BEC2126A64EA8987B033D5,100km/h expect stop,
/3BF8C8F1459294E721913197552ECE26,100km/h then 40km/h,
/917064FA4E19DE25C8EA1E8340567713,40km/h exspect stop,
/B1D31F10466B96070D6707B214AF8872,40kmh then 40km/h,
/F596AB0C4B290735F5E5E2AAC91004B2,60km/h exspect stop,
/18AC116643F7C632D05791A21DDE0C9A,60km/h then 100km/h,
/48BF11524E3457EB65A350BD78C615FA,60km/h then 40km/h,
/1C48134D4A48DCD864F0D99CB635F364,A 300km/h top speed route linking two big cities in Bavaria.,
/F58F86044ED0768C53B31EAD07CD43BE,Allersberg,
/62984F5B42F226114F0CD78CA94A9035,Allersberg Pl 1,
/AC15851F4F560E87D67E78AEC821EDC9,Allersberg Pl 4,
/4C56FCBD4607D55A0BE66CA9F0AD35D2,Allersberg Track 2,
/A30D4A9D4E644E3B1825B58E4FEA6490,Allersberg Track 3,
/F77245C442F7D29E892456AD9E3B95F9,Auditunnel 1,
/E94E86E54B366D9E5CA2CD9276261A0D,Auditunnel 2,
/FC1CB2D0494763B20BB193AC5E780280,CSXPalette,
/0EDA314F4DAED56A0FBB4EB4D7E1DDB1,Cable component,
/2BC182BE434E1246666ED7983C450BBC,Center,
/EF83A8FB41484ABF218108BECD2D3D12,Denkendorftunnel 1,
/41BC7D694D021D9BEF53AEB953398D2F,Denkendorftunnel 2,
/B9376B7A419AA45E45EE06AE96757188,Drove 1/4 Mile,
/1F0726254BC37920C89481AE5A737F27,Ersatzsignal,
/0DC4C6124C2D5C62A78AFAAC5D097C41,Euerwangtunnel 1,
/2CE1C9574E3CE27F63207B8FBB27ACD4,Euerwangtunnel 1,
/4D5B609D4A8BA41138EC1BB6DF763CCF,Euerwangtunnel 1,
/D52D65474F5CDA38A31037881909FF91,Euerwangtunnel 1,
/3145DF454D2741291EBCA1B5B6FAB04F,Euerwangtunnel 2,
/593A3D4845A067B945E27886CCE41336,Euerwangtunnel 2,
/6C9E71884BA45553084ADE8A61F7FD21,Euerwangtunnel 2,
/7AB1F550422181A443FE369D1799BD2E,Euerwangtunnel 2,
/B04B9B9A486260F587CAEA83ABF7FF12,Euerwangtunnel 2,
/F5B6CC7B441085BF34C015A33E9EFEB1,Euerwangtunnel 2,
/7F30F1584AC486AFCD4C579560DADC9A,Expect Stop,
/D4AC5A7440DB825157E87C89E54E42CA,"Experience the Nürnberg–Ingolstadt high-speed railway and operate modern high-speed trains at speeds of up to 300 km/h through Bavaria. This varied route takes you through numerous tunnels and expansive landscapes, connecting the busy traffic around Nürnberg with fast-paced long-distance services.",
/BE4AF7894E5A2044B694958470F773C6,Feucht,
/A5C67FEF4369AAC0A1108197BB459453,Feucht Pl 1,
/1FA2B80244AD27E59C75DAB3EC9E7731,Feucht Pl 2,
/BD155621488921B26C20F6BF622A3A8A,Feucht Pl 3,
/7007DB0C48D99B71702767BA554B71A6,Feucht Pl 4,
/75A6D35D438F25A588C5328A83C865E7,Feucht Pl 5,
/5D02129449DD639C1B9F46B86F587ED3,Feucht Track 105,
/273A63A642976DE7D38BBDB61DDDA1B5,Feucht Track 107,
/3294289B4EB05BF8706EBBA1308FDB64,Feucht Track 108,
/AD7596B7457B24B4F70901931618C647,Feucht Track 120,
/B91318454907E476C86D58B25D1BD9E1,Feucht Track 130,
/A98B2363413CFD7C70F4F39AF044C418,Feucht Track 6-1,
/131E49FC44073850621305862195FFBC,Feucht Track 6-2,
/913E0F704B90586585C3F49202614F2A,Fischbach,
/3BD189F14AB38BD4CF14C885E63A3FC9,Fischbach Pl 1,
/4D9D0F7C4F4C8BF83FC7639F4BDD4279,Fischbach Pl 2,
/85143663406EBEE7C43151880A887208,Fischbach Track 4,
/C4C897FD49E8D6F1A39E349446C915CC,Fischbach Track 5,
