key,source,target
/E7A01C2A49D5110AE8CFDC92B60CF2C0,101Expert,
/16B78CA74F32C97A2A18B699E7F330D6,555m,
/4717086C4163B9482B087D8426A3D522,"After 1990, the station was renovated and modernized. The concourse floor was removed and two basement levels were dug out to create a large shopping mall. The modified station building was inaugurated on 12 November 1997.",
/62984F5B42F226114F0CD78CA94A9035,Allersberg Pl 1,
/AC15851F4F560E87D67E78AEC821EDC9,Allersberg Pl 4,
/B622510B43254CBE27AD4FAD3EBAFB78,Allersberg Track 4,
/6C5CCC5D471E918294EA4E95D92816AC,Apply Power to get moving,
/B64BA28047BA9D5F0B7D7E9D23C6F59D,Apply a bit of power.,
/0BC081904298789D84F3A3A9DAC093E8,Apply brakes using the Train Brake,
/75969C7145034FF345B0BC978843E34A,Apply power to get moving,
/8EE4422242F20A36179180A9F7C93F2F,Apply power to get moving,
/89BBAF754C1B0E7A8A6EC2A7B213CD31,Apply some more power and reach a speed of 70 KM/H (43MPH),
/C74BAE424F761ECA6CB02D8BE82E80F1,Apply some power to get moving,
/F756D49640C83A2D0CDD58AAC107AC46,Apply some power to get moving,
/FBEE182246A26970AD84C89D3197B7DC,Apply the Train Brakes,
/1F10F4DC443ACD6D8751CEB6491730A6,"As you slow down, use the Train Brake to come to a complete stop and hold the train in position",
/83374D6C4E3B7B6ECFAED8BFB82A646A,"As you slow down, use the Train Brake to come to a complete stop and hold the train in position",
/BEC602FE4CEEF0334E6EA6978A2A6E58,"As you slow down, use the Train Brake to come to a complete stop and hold the train in position",
/E97C323D42A1CA12603645B671490AC7,BR 101 INTRODUCTION,
/25ECDCEF458C699E00A63285F637DCB1,BR 101 Introduction,
/65DB062F4E7EE1B2D26EB89E33BDCD3D,BR 403 INTRODUCTION,
/3F89666A470BC95AD11A4CBD16954629,BR 411 DB,
/6665456C4CFDC099710DCCA85E18EB9A,BR 411 DB,
/86480FD6404579A7FD2F3BBF18C1E626,BR 411 DB x1 [Loaded],
/3BFFCAA84D42523FC2C5C69C49DDC48C,BR 642 DB,
/80BC24C94F0302B289FBD6A893B84F7B,BR S286 INTRODUCTION,
/B9EE30D54F60B7F3E9DBE3AEF3EF39DC,BR S286 Introduction [Nürnberg - Ingolstadt],
/C27511884AC1AB4E51A20B9836503AC9,BR403 ICE3 Introduction [Nürnberg - Ingolstadt],
/E4388CB84364BBA18EF39BB9D2EEDE48,BRAKE FORCE,
/F7D8A2A545B186FF947DAA912818CDDF,BRAKE FORCE,
/E81CD334410ABB5B76C29AB52B2CE9D2,BRAKING,
/B9787B514338FB69BBB52098FC69FFC0,Because of the Begegnungsverbot we need to wait at least 3 minutes for the last ICE to exit the Highspeed line and then we can start our journey to Ingolstadt.,
/8EE3B7924C239DA93FDA48B0186E7E48,"Before you can depart you'll need to make sure the Brake Cylinders (BC) are empty. Release the brakes and allow for the BC to release.",
/9B8FBC184E9DF1577E46FC8502F684E5,"Before you can depart you'll need to make sure the Brake Cylinders (BC) are empty. Release the brakes and allow for the BC to release.",
/F535CAE14DEF83C67010548755A4C606,"Before you can depart you'll need to make sure the Brake Cylinders (BC) are empty. Release the brakes and allow for the BC to release.",
/5FBD42864804DE07457ABEBC05DD01CC,"Both trains should depart at 13:15 sharp. Keep within 400 meters of the other train, the closer you are, the more points you get!",
/74906F5C49304F0F7633609F42EEC859,Bpmmbdzf 286.3 + 5x MüNeX BR 101 +  DB BR 101 [Empty],
/01932517490D06947CB1CDB6D00E957E,Bpmmbdzf 286.3 + 5x MüNeX BR 101 +  DB BR 101 [Loaded],
/ACE1A6D049183C63DD6CB2BA14D5E202,Bpmmbdzf 286.3 + 7x MüNeX BR 101 +  DB BR 101 [Empty],
/5E8F3BDC4558496C4F45919CAFC718A4,Bpmmbdzf 286.3 + 7x MüNeX BR 101 +  DB BR 101 [Loaded],
/8041231943DF268EA31AAFBFCB1237BE,"Break free from the limits of the network and push your train to the max — racing at full speed along the high-speed corridor from Nürnberg to Ingolstadt. Drive modern ICE, Regional and S-Bahn trains out of Nürnberg, Germany.",
/D691AD2E43503F23D1980398942A1EA7,"By 1939, it had become one of Germany's busiest railway stations.",
/F1BA56D042D90F94B0ACA9969CCA4C32,CHECK JUNCTIONS,
/0200007E435B3C97237E259909FD5624,CLIMB ABOARD,
/40891BD84FEF52D2457FB3ABE1032EE1,CLIMB ABOARD,
/E7B33BA242786CC10B213C8BDC6C7C52,CLIMB ABOARD,
/B6F2E0F14ED8C9FC1D92D1B2CDB2B51B,CLIMBING ABOARD,
/71542A304F6E5585365DA28F51F1B098,CLOSE DOORS,
/05F0065A4EE5BA997688BD8117C1E4D2,COASTING,
/53D9ECEE4BB52886CE884EA5FE22AEE0,COASTING,
/F5CC773144595DEFD76DF7BB6DE3A13E,COASTING,
/42CDC43C48A010AB4724E388BA353F45,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/4AFD27DF4E79DDD537FB8FA50105221F,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/4E73050F42C2B3F013F60D8C17F440E1,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/52C329B542D60A32EFA90891107C6368,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/7BE75AE34BFEE5D8BD4269A4DA039AAC,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/D8337FB5403660D86927C69ECD97EE8E,Car Train Ingolstadt Hbf - Ingolstadt Nord,
/235D0819414390FB2A6967ADBF18BFC4,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/420BE6EC414CA54DE7063DA71738E6AB,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/847FA9554B82D1A6C4216EB63FAAD8D5,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/8AC3BDB441F13EDCCFF21CB2BCACC88B,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/90BD99C946BCB4F733AF6E91681630B2,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/A8D0E1BF415AA3B73951A2B46647979E,Car Train Ingolstadt Nord - Ingolstadt Hbf,
/E042E42D44FE2A0520AC2E9E3E9EE3B8,CarTrain,
/C0143F8B4F0402954662EE81F4C27BC3,Click the Right Mouse button to switch between Look and Control modes,
/E387F72C48DE6C2E013F43A3EBE0F28B,Climb aboard the Loco.,
/4DAF765D4EF4CA7004F9DF98AFBA9FED,Close the doors and drive to the next station unguided.,
