key,source,target
/FEA071104E9A59B7C18D03B15BF889A0,    112,112
/D816EB1B4F24702163533FA295E14489,    119,119
/65AA43D54CA0DD27E10D948D803550CC,01632 960323,01632 960323
/68E173A8412CA635138D9C8EA708A734,01632 960323,01632 960323
/DBF365B94D735921405D50AC4737A59B,01632 960323,01632 960323
/238FD8A44A8099F6CCD97FA6A6C015CC,01632 960350,01632 960350
/2ED21FE64484300A10998E8997F80C26,01632 960350,01632 960350
/DD202FBB49189F1978AF12B3DC0F7116,01632 960350,01632 960350
/CAAC9CE241C9D488D9C704A4CC26C801,061,061
/17DDBA444588976548C4B0AFF32FEAC9,075 7323,075 7323
/22858B9D4672AF68C2673EACB139A87F,075 7323,075 7323
/F2A249D848BAC8993E1BCA8ABECDE584,075 7323,075 7323
/8EB426774C54FFC46CC52BABB148ECEF,075 7350,075 7350
/C75FB9124BB52F5A4B3D96A03B6FFB71,075 7350,075 7350
/FC441F844375510C675421884651233B,075 7350,075 7350
/93B4488D428CC871F2F70385D6E4F75F,10X,10X
/F3AAA41C41C11506C0FE04BC13F6696D,122,122
/12CDA9CA4C7C6B921D9835AE88F71CD2,128,128
/315B27474219FCD3361C9DAD9C85FF3F,139,139
/9AE6BF494D745CF9F26B5BB580C70DA8,139,139
/408D419046A9A67D370116867EBCE055,149,149
/7719953740FF7449871967BD0EB9C2E8,151,151
/186B63D34809BEDD57E748B4A9D4C676,1:94,1:94
/59A437E24A2451EA580BE7B9738EB3A9,1:94,1:94
/66F063F244D59A126E2E1788412F2CA2,1:94,1:94
/6F0A37E642FB5487AD5F0696DECCB12D,258 LEC1/258,258 LEC1/258
/F90B7F14482A12806C2241928F3851E4,3<br>M<br>P<br>H,3<br>M<br>P<br>H
/046094634FF605F8D664DCA71997453C,4-8,4-8
/5963BF7D48E77E57388288A7515C60DF,4-8,4-8
/82D2F3484E13E30048609AA646D30227,4-8,4-8
/8CB942D34CD73F2D02E2189E14198E3F,4-8,4-8
/A53F43154FCB94D9D5B2FBAA4E14AF4A,4-8,4-8
/C36B6E9B48C2E97274C4DC818006BE58,4-8,4-8
/C6F7C9A74B640F9CD0E8F891CA6CA69E,4-8,4-8
/C88676B74DE7D4834E8140BD40593A67,4-8,4-8
/E27C291A4858FBC72A0E7E8EE2DFF9DA,4-8,4-8
/F9CB5C1E40C6D366B7E5D291D8F106E5,4-8,4-8
/2310BE5447405949413CEDB85AD9AB00,"52.53849, -2.08271","52.53849, -2.08271"
/3B4874ED408F1DD5A1DCA691EE9BC0D1,"52.53849, -2.08271","52.53849, -2.08271"
/3C5046E54FF1E28C74AFE2955885112C,"52.53849, -2.08271","52.53849, -2.08271"
/1526A7C3498E2DD36DA8B5AC40BFC655,75,75
/4265D35340E19FF144009A8B1F871AB1,75,75
/4295F3AE440D1DEB45D9B2BF23FA73D6,75,75
/469377B149B3E52186CF0BAE50CC91EC,75,75
/6E78162A4DC8AD0AAC8DBE958BE88D63,75,75
/C6AE2BCE454CB475C785E8AD40E9AE0F,75,75
/FEA137AE416273EE3C21C8AAC54F808A,75,75
/4571F68E4EDBBFE611EA99B0D57BFEF4,85MM,85MM
/9E70336B4D3633D0C416FFB52E05AF4F,85MM,85MM
/F226182648BCB71CB480CF8FFE1CFA3E,85MM,85MM
/205224614A2856A64E0B119CD6399ADD,9-12,9-12
/68ED0DDE48C97E8BF97FF79CF554C114,9-12,9-12
