key,source,target
/722B38174FE4C460C29B2DAAA09A9663,"""Arosalinie: Chur - Arosa Route Add-On"" not installed",
/4664956B4F269D7172DB58A87054923B,"""Berninalinie: Tirano - Ospizio Bernina Route Add-On"" not installed",
/EF4204114D0015679AC4059C5DA682D0,"""S-Bahn Zentralschweiz: Luzern - Sursee Route Add-On"" not installed",
/4F77DB2348D9B8D5677A3B9BA3B9FB8F,(Default),
/BAC7970F41EAEA07EC2045A3BC8E1579,(Empty),
/964565054367B3B0A363029DAB9A4D33,(No BitmapTextRenderer Components found for the selected RVV),
/00CC1057434E4FF275E189B29E050358,(No Widget Components found for the selected RVV),
/8519D8E24366E8058CD555B19DF4F495,(TOD3:) Fog density at which Rayleigh effect reaches its full intensity,
/EE906AAC44B9EF209A985BB632BF43D5,(TOD3:) Fog density at which to start applying Rayleigh effect (0 intensity),
/1BCC31ED46A061263FDEFBAC113D35F3,(TOD3:) Minimum permitted fog density,
/2A97478D404B0296EE538B915DD1BBBC,(TOD4:) Fog density at which Rayleigh effect reaches its full intensity,
/EBA71062441D5CF77344EDB95887CF16,(TOD4:) Fog density at which to start applying Rayleigh effect (0 intensity),
/FBFBFB674DF34F0B672B448CC6ACA5F5,(TOD4:) Minimum permitted fog density,
/3CB6B0364B0D78CF2194238CCB24EE0F,(empty),
/13DC0357464B3797C23583B7D8693F78,({Aspect}),
/FB4EEF904D5B655B04AF648C565F07DF,"0: Trains containing non-passenger carrying coaching stock do not get load passenger objectives.
>0: They do. This is if we have a block parcels train in scenario designer.",
/F2A11CB24763618485FEA0A05DD77F92,AI,
/468DD7264D50DC44BCA580B8DBD5F7B2,"Ability to exit the driving seat even if you're not in that camera",
/0371B2DD48865213337E0DBDE2C4A33D,About,
/2D3ABF7341B5231621751497B035EE2D,Access token,
/457497F845A1997964CDACB90D26CC11,Actor,
/0882E4D74BD2F11AFA4796BD534EED8C,"Additional multiplier on lower hemisphere intensity, but which only directly affects the SkyLight",
/6C10D7224E3F775F2A29AB8E30CD1084,"Additional spawn rate multiplier, for debug purposes only",
/E19DB97144A47D9DAE04D2B079A36C05,Addon-Manager,
/D738C8E648A1EA2288175C95447B9316,Adjust the size multiplier for steam particles. Default is 1.0,
/54F869A543F3F373E873679EA866CF74,Adjust the spawn rate multiplier for steam particles. Default is 1.0,
/82E9405745497B2B2BC86393B8019127,Adjusts AO at bottom of clouds after sunset,
/8619032448822044CFE6548863F3708B,Adjusts AO at top of clouds after sunset,
/F2CADEB440CB0B43264EA9904A6F0B1E,Adjusts VolumetricCloudComponent TracingMaxDistance,
/5EC00ACC46ACB27E22BE3B880D8816AF,Adjusts VolumetricCloudComponent TracingStartMaxDistance,
/00F4AB204D93AA99A831899314F70083,Adjusts amount of high frequency noise on volumetric clouds,
/EEF6567E476B2E143E12A3B7929D15FC,Adjusts base noise scale of volumetric clouds,
/E74305E64540EDAFA7207FBC7284D54B,"Adjusts intensity of light pollution applied to volumetric clouds, compared to the sky",
/D507E60245E9F2AEE63451B24F612926,Adjusts intensity of most emissive materials when using new lighting/camera setup,
/7913FA774F15DE5C901C0B9D05BA8C67,Adjusts macro noise scale of volumetric clouds,
/0DD1B8A048AEA98C942CB08EBC3B922D,Adjusts over all scale of volumetric clouds,
/6A80A9094D9D026E7793BB841C073849,Adjusts sub-noise scale of volumetric clouds,
/C699F6F24255F5DC92FF15BE15E6EABE,Adjusts the colour saturation of fog inscatter (excluding Rayleigh effect).,
/7A73DC6F41F92C6CB9B7ECA5E5ED521C,Adjusts the density of non-volumetric high-altitude clouds,
/A7BD47C8472CECDB30041F874555CA38,Adjusts the distance at which directional inscatter starts to be applied.,
/503B50D547B29D06A1E0A9976C54210B,Adjusts the distance at which fog starts rendering.,
/BAE2F32E49C074D350DFDD9AF6B5AC22,Adjusts the intensity of fog directional inscatter (bright region around the sun).,
/BFCBD2294F15D33B102965934B3F1DAC,Adjusts the intensity of fog inscatter.,
/040AAB4944CCC96B1024DE827CFF1AC9,Adjusts the rate at which fog falls off with height.,
/A0AF360644889F7BA0CB5CA66F05BCCF,"Adjusts tonemapper's ExpandGamut property (disabled if < 0)",
/6243474145101AADC557A987E12EB5AB,"Adjusts tonemapper's ToneCurveAmount property (disabled if < 0)",
/6ED819D7467A3FA335DE6AA66408C47E,Adjusts volumetric cloud sample count for reflections,
/829011A84E8180D89B6A40AD3CB59325,Adjusts volumetric cloud sample count for regular view,
/900274A04CE9B01AA55B4C8DF26A36EA,Adjusts volumetric cloud sample count for shadows,
/2C190D254E236CA2E33A9DB0634B2C74,Adjusts volumetric cloud shadow tracing distance,
/C578B97B406A541811090EAAFEEFC343,Adjusts volumetric cloud texture mip level for the bottom (main) cloud layer,
/53739C2A4A758F978EC2A3BDB2FD83C3,Affects rate at which small clouds lose opacity with reduced cloud density values.,
/25513AB1475F3D90319F2BA0F80A86B3,Affects the Strength of HeadTracking,
/C03A767C4CCF95AE9D6A3C8DD3C703FC,Affects the Translation Strength of HeadTracking,
/64F8045F4E90746BD82CC9862FBA80A8,Affects the intensity of motion sway,
/322C43694B7578CC9A0FA69F0AC1110E,"Albedo (0-1) to simulate when calculating lower-hemisphere lighting intensity. Also affects SkyAtmosphere/VolumetricClouds, so should regenerate offline data after changing.",
/B391E79845B57C9D89150C9AE2B1518C,Allow the dispatcher to request entry to yards from the yard manager,
/A988A2F044EF1727E1AF97B74D035D2A,Allow the yard manager to request entering the dispatched network,
/A6B79115410AB9910F357790537D1D77,Already Applied,
/FBA9F19E4520CE8024D1019AC6656B10,Amount by which seated passenger max draw distances are affected by the view distance scale (0-1),
/0EAEBB1D4EAAF45ADD8AE1818C28D59F,Amount of missing passengers to hit CVarMinSpawnInterval,
/CD9303D8499232041FC8F3884A712A17,Appearance,
/98AE50AF44FB8C4D1C764ABFAE08B604,Applied to Pause Menu Route Map,
/4F17C71E42B8BF8DA0AC4BA9C24EE9AC,Apply manually,
/B43FC8024881F801307665BDB0068E3A,Arcing sparks speed threshold in m/s,
/48790F0444EB0DF81DA174AF457AE2E3,Attenuation radius above which lights will be regarded as headlights,
/4B0214AC429A06A4F802B09879DDD89F,Attenuation radius to use for legacy train headlights when using physically based lighting,
/75D42DF046E078F4D21CA78078848FF5,Audio,
/40E26BCF4145717F8E239BA599DD66EF,AutoExposure HighPercent adjustment (disabled if < 0),
/1C44480945F76F437EEEC08ED9553000,AutoExposure LowPercent adjustment (disabled if < 0),
/ABF10F454B0879698B47AB8102E43410,Autumn Tree,
/BF20D21F47C478654E6B26B13795D5EF,Available in Service Mode,
/34C147D44C75ED982E4AA782699DFB69,Base,
/50610E3A4EAC2C0DC566D093C70B8E42,Beacon State,
/6EEADD424DC934182A1273B0D71B1FE5,BitmapTextRenderer Viewer,
/EE8795AC4191C8D9F7AA1086396CB50E,BitmapTextRenderer Viewer,
/C063D6224CB12D2C712301983BF26F1D,BitmapTextRenderers,
/CE85BF46490792A504D333BC4D0AB8B4,Bloom intensity to use,
/B1B2A7CA4FC9C2D7034A5B848188AD40,BloomIntensity adjustment (disabled if < 0),
/6A03E56A4754D3F35F6DA1800AB8FF5F,Boom Camera Maximum Boom Length,
/40645D4549822DE8762F43B25F7ACB6D,Boom Camera Maximum Clearance,
/97C5524B4B2929624DF855B4BF414D65,Boom camera Mouse Wheel adjusts length (when true) or zooms FOV (when false),
/209241C24FA4D98FEE699A9E873D8407,Boom camera movement alternate controls (flip ctrl state for up/down),
/646368B04F19860B6D01109BBA46C741,Boom camera movement invert mouse (inverted mouse only between free camera and boom camera modes),
/063871184474175AB387C291E2B949D8,Boom camera movement speed multiplier,
/839E031445AB8DA8AC10E991F78B58CC,By how much longer should the axis to the current point be,
/A62326D74FA4AFDECFE88FBDCD9A96B3,Call Scripts,
/985F4CA24958AC9052F3259C6E088C40,Camera,
/86C03BFC4D68174F2095E7AF94018944,Cancels queued shader compilation jobs,
/D0A7F9644569A2C7DF5019AA13F3F3B2,Car time delta multiplier,
/4923E5A248CF8014AD8B98A91ABA0C87,Car type length multiplier,
/3B72814A48E14DD0A4B2E89913B422F4,Chance for a passenger to spawn with an accessory,
/EB914E244E00D7E8D26DC78441EAEC17,Change VHID dragging mode,
/A0DA7F3A4D957FC02E611C83E1E45C3F,Check whether a car is visible on-screen before updating its static mesh,
/960842D94EA1861BE7C7E785709676C7,Checking version match...,
/357C0A134FA46F63DA7D22B1BB81355F,Clear the overridden aspect on a signal,
/E715F22546291CD8375A4EBE2A295F1D,Clears the current autosave,
/C5E65A55435AB6097A2A40A37698F8C8,Click again to confirm,
/3CA42B8E43F8F47499379BA3C7CB7787,"Cloud density value below which cloud size will remain roughly consistent, and clouds will reduce in opacity instead.",
/8E111A8E4D0145DF970248AF3B3B6ED4,Cloudiness,
/CA47CDA7490827CD142B44B6F9E7D778,Coal Gauge,
/FA6A48FA4794C83D25AC77888096130A,Completes the current objective in a scenario,
/F3E887774EE2137FCC7889A794CCCA8F,Completes the current scenario,
/1EC0426D4E058DF1BCF243AC5651272C,Console,
/81C110BB4E3EA0FA3DA38B928EB11FC7,Console Commands,
/11B674AA40B6FABD9B355FACE31652BF,Constant bias to apply for the target autoexposure exposure value,
/64613C184376998D1E13F6B9C19B2D42,Contrast adjustment (overall) (disabled if < 0),
/20814CE443E47511698757A3F773C610,Contrast adjustment for highlights (disabled if < 0),
/4B903FD548984CFACE9F4C95BA4B545A,Contrast adjustment for midtones (disabled if < 0),
/3C2908A04A827EE960D0D1B8AA00412A,Contrast adjustment for shadows (disabled if < 0),
/500382D649694522D66153B6B83B399F,Controls approximate star intensity (nits),
/EAD8D6C94AE304F5C2124B8B3EB4DE16,"Controls how much direct sunlight the lower hemisphere should reflect, independant of its albedo",
/24D8A88C49A592EB3D8580A1071408B6,Controls how much light pollution is added to the sky (and also reflected in lower hemisphere),
/B9CA643244A7B630586E06BF2095B4BC,"Controls the ""strength"" of volumetric cloud shadows on the ground (smaller values give softer edges), and on clouds themselves on low settings",
