key,source,target
/722B38174FE4C460C29B2DAAA09A9663,"""Arosalinie: Chur - Arosa Route Add-On"" not installed",未安装“阿罗萨线：库尔 - 阿罗萨线路扩展包” (Arosalinie: Chur - Arosa Route Add-On)
/4664956B4F269D7172DB58A87054923B,"""Berninalinie: Tirano - Ospizio Bernina Route Add-On"" not installed",未安装“贝尔尼纳线：蒂拉诺 - 奥斯皮齐奥贝尔尼纳线路扩展包” (Berninalinie: Tirano - Ospizio Bernina Route Add-On)
/EF4204114D0015679AC4059C5DA682D0,"""S-Bahn Zentralschweiz: Luzern - Sursee Route Add-On"" not installed",未安装“瑞士中部通勤铁路：卢塞恩 - 苏尔塞线路扩展包” (S-Bahn Zentralschweiz: Luzern - Sursee Route Add-On)
/4F77DB2348D9B8D5677A3B9BA3B9FB8F,(Default),(默认)
/BAC7970F41EAEA07EC2045A3BC8E1579,(Empty),(空)
/964565054367B3B0A363029DAB9A4D33,(No BitmapTextRenderer Components found for the selected RVV),(未发现所选 RVV 的 BitmapTextRenderer 组件)
/00CC1057434E4FF275E189B29E050358,(No Widget Components found for the selected RVV),(未发现所选 RVV 的小部件组件)
/8519D8E24366E8058CD555B19DF4F495,(TOD3:) Fog density at which Rayleigh effect reaches its full intensity,(TOD3:) 瑞利效应 (Rayleigh effect) 达到最大强度时的雾气密度
/EE906AAC44B9EF209A985BB632BF43D5,(TOD3:) Fog density at which to start applying Rayleigh effect (0 intensity),(TOD3:) 开始应用瑞利效应 (Rayleigh effect) 的雾气密度（0 强度）
/1BCC31ED46A061263FDEFBAC113D35F3,(TOD3:) Minimum permitted fog density,(TOD3:) 允许的最小雾气密度
/2A97478D404B0296EE538B915DD1BBBC,(TOD4:) Fog density at which Rayleigh effect reaches its full intensity,(TOD4:) 瑞利效应 (Rayleigh effect) 达到最大强度时的雾气密度
/EBA71062441D5CF77344EDB95887CF16,(TOD4:) Fog density at which to start applying Rayleigh effect (0 intensity),(TOD4:) 开始应用瑞利效应 (Rayleigh effect) 的雾气密度（0 强度）
/FBFBFB674DF34F0B672B448CC6ACA5F5,(TOD4:) Minimum permitted fog density,(TOD4:) 允许的最小雾气密度
/3CB6B0364B0D78CF2194238CCB24EE0F,(empty),(空)
/13DC0357464B3797C23583B7D8693F78,({Aspect}),({Aspect})
/FB4EEF904D5B655B04AF648C565F07DF,"0: Trains containing non-passenger carrying coaching stock do not get load passenger objectives.
>0: They do. This is if we have a block parcels train in scenario designer.","0：包含非载客车底的列车不会获得装载乘客目标。
>0：会获得。此项用于场景编辑器中存在整列包裹快运列车的情况。"
/F2A11CB24763618485FEA0A05DD77F92,AI,AI
/468DD7264D50DC44BCA580B8DBD5F7B2,Ability to exit the driving seat even if you're not in that camera,即使不在该摄像机视图中也能离开驾驶席的能力
/0371B2DD48865213337E0DBDE2C4A33D,About,关于
/2D3ABF7341B5231621751497B035EE2D,Access token,访问令牌
/457497F845A1997964CDACB90D26CC11,Actor,Actor
/0882E4D74BD2F11AFA4796BD534EED8C,"Additional multiplier on lower hemisphere intensity, but which only directly affects the SkyLight",对下半球强度的附加倍率，但仅直接影响天光 (SkyLight)
/6C10D7224E3F775F2A29AB8E30CD1084,"Additional spawn rate multiplier, for debug purposes only",附加生成率倍率，仅用于调试目的
/E19DB97144A47D9DAE04D2B079A36C05,Addon-Manager,插件管理器
/D738C8E648A1EA2288175C95447B9316,Adjust the size multiplier for steam particles. Default is 1.0,调整蒸汽粒子的尺寸倍率。默认值为 1.0
/54F869A543F3F373E873679EA866CF74,Adjust the spawn rate multiplier for steam particles. Default is 1.0,调整蒸汽粒子的生成率倍率。默认值为 1.0
/82E9405745497B2B2BC86393B8019127,Adjusts AO at bottom of clouds after sunset,调整日落后云层底部的环境光遮蔽 (AO)
/8619032448822044CFE6548863F3708B,Adjusts AO at top of clouds after sunset,调整日落后云层顶部的环境光遮蔽 (AO)
/F2CADEB440CB0B43264EA9904A6F0B1E,Adjusts VolumetricCloudComponent TracingMaxDistance,调整体积云组件 (VolumetricCloudComponent) 的最大追踪距离 (TracingMaxDistance)
/5EC00ACC46ACB27E22BE3B880D8816AF,Adjusts VolumetricCloudComponent TracingStartMaxDistance,调整体积云组件 (VolumetricCloudComponent) 的起始最大追踪距离 (TracingStartMaxDistance)
/00F4AB204D93AA99A831899314F70083,Adjusts amount of high frequency noise on volumetric clouds,调整体积云上的高频噪声量
/EEF6567E476B2E143E12A3B7929D15FC,Adjusts base noise scale of volumetric clouds,调整体积云的基础噪声缩放
/E74305E64540EDAFA7207FBC7284D54B,"Adjusts intensity of light pollution applied to volumetric clouds, compared to the sky",调整体积云相对于天空的光污染强度
/D507E60245E9F2AEE63451B24F612926,Adjusts intensity of most emissive materials when using new lighting/camera setup,在使用新光照/摄像机设置时调整大多数自发光材质的强度
/7913FA774F15DE5C901C0B9D05BA8C67,Adjusts macro noise scale of volumetric clouds,调整体积云的宏观噪声缩放
/0DD1B8A048AEA98C942CB08EBC3B922D,Adjusts over all scale of volumetric clouds,调整体积云的整体缩放
/6A80A9094D9D026E7793BB841C073849,Adjusts sub-noise scale of volumetric clouds,调整体积云的子噪声缩放
/C699F6F24255F5DC92FF15BE15E6EABE,Adjusts the colour saturation of fog inscatter (excluding Rayleigh effect).,调整雾气内散射（不含瑞利效应）的色彩饱和度。
/7A73DC6F41F92C6CB9B7ECA5E5ED521C,Adjusts the density of non-volumetric high-altitude clouds,调整非体积式高空云的密度
/A7BD47C8472CECDB30041F874555CA38,Adjusts the distance at which directional inscatter starts to be applied.,调整定向内散射开始应用的距离。
/503B50D547B29D06A1E0A9976C54210B,Adjusts the distance at which fog starts rendering.,调整雾气开始渲染的距离。
/BAE2F32E49C074D350DFDD9AF6B5AC22,Adjusts the intensity of fog directional inscatter (bright region around the sun).,调整雾气定向内散射（太阳周围的明亮区域）的强度。
/BFCBD2294F15D33B102965934B3F1DAC,Adjusts the intensity of fog inscatter.,调整雾气内散射的强度。
/040AAB4944CCC96B1024DE827CFF1AC9,Adjusts the rate at which fog falls off with height.,调整雾气随高度衰减的速率。
/A0AF360644889F7BA0CB5CA66F05BCCF,Adjusts tonemapper's ExpandGamut property (disabled if < 0),调整色调映射器的扩展色域 (ExpandGamut) 属性（若 < 0 则禁用）
/6243474145101AADC557A987E12EB5AB,Adjusts tonemapper's ToneCurveAmount property (disabled if < 0),调整色调映射器的色调曲线量 (ToneCurveAmount) 属性（若 < 0 则禁用）
/6ED819D7467A3FA335DE6AA66408C47E,Adjusts volumetric cloud sample count for reflections,调整反射的体积云采样数
/829011A84E8180D89B6A40AD3CB59325,Adjusts volumetric cloud sample count for regular view,调整常规视图的体积云采样数
/900274A04CE9B01AA55B4C8DF26A36EA,Adjusts volumetric cloud sample count for shadows,调整阴影的体积云采样数
/2C190D254E236CA2E33A9DB0634B2C74,Adjusts volumetric cloud shadow tracing distance,调整体积云阴影追踪距离
/C578B97B406A541811090EAAFEEFC343,Adjusts volumetric cloud texture mip level for the bottom (main) cloud layer,调整底部（主）云层的体积云纹理多级渐远纹理 (Mip) 等级
/53739C2A4A758F978EC2A3BDB2FD83C3,Affects rate at which small clouds lose opacity with reduced cloud density values.,影响云密度降低时小云朵失去不透明度的速率。
/25513AB1475F3D90319F2BA0F80A86B3,Affects the Strength of HeadTracking,影响头部追踪 (HeadTracking) 的强度
/C03A767C4CCF95AE9D6A3C8DD3C703FC,Affects the Translation Strength of HeadTracking,影响头部追踪 (HeadTracking) 的平移强度
/64F8045F4E90746BD82CC9862FBA80A8,Affects the intensity of motion sway,影响晃动感强度
/322C43694B7578CC9A0FA69F0AC1110E,"Albedo (0-1) to simulate when calculating lower-hemisphere lighting intensity. Also affects SkyAtmosphere/VolumetricClouds, so should regenerate offline data after changing.",在计算下半球光照强度时模拟的反照率 (Albedo) (0-1)。也会影响大气天空/体积云，因此更改后应重新生成离线数据。
/B391E79845B57C9D89150C9AE2B1518C,Allow the dispatcher to request entry to yards from the yard manager,允许调度员向编组场管理员请求进入编组场
/A988A2F044EF1727E1AF97B74D035D2A,Allow the yard manager to request entering the dispatched network,允许编组场管理员请求进入调度网络
/A6B79115410AB9910F357790537D1D77,Already Applied,已应用
/FBA9F19E4520CE8024D1019AC6656B10,Amount by which seated passenger max draw distances are affected by the view distance scale (0-1),坐姿乘客的最大渲染距离受视距缩放影响的程度 (0-1)
/0EAEBB1D4EAAF45ADD8AE1818C28D59F,Amount of missing passengers to hit CVarMinSpawnInterval,达到 CVarMinSpawnInterval 所需的缺失乘客数量
/CD9303D8499232041FC8F3884A712A17,Appearance,外观
/98AE50AF44FB8C4D1C764ABFAE08B604,Applied to Pause Menu Route Map,已应用至暂停菜单线路图
/4F17C71E42B8BF8DA0AC4BA9C24EE9AC,Apply manually,手动应用
/B43FC8024881F801307665BDB0068E3A,Arcing sparks speed threshold in m/s,电弧火花触发的速度阈值（米/秒）
/48790F0444EB0DF81DA174AF457AE2E3,Attenuation radius above which lights will be regarded as headlights,光照将被视为大灯的衰减半径上限
/4B0214AC429A06A4F802B09879DDD89F,Attenuation radius to use for legacy train headlights when using physically based lighting,使用基于物理的光照时旧版列车大灯所用的衰减半径
/75D42DF046E078F4D21CA78078848FF5,Audio,音频
/40E26BCF4145717F8E239BA599DD66EF,AutoExposure HighPercent adjustment (disabled if < 0),自动曝光 (AutoExposure) 高百分比调整（若 < 0 则禁用）
/1C44480945F76F437EEEC08ED9553000,AutoExposure LowPercent adjustment (disabled if < 0),自动曝光 (AutoExposure) 低百分比调整（若 < 0 则禁用）
/ABF10F454B0879698B47AB8102E43410,Autumn Tree,秋季树木
/BF20D21F47C478654E6B26B13795D5EF,Available in Service Mode,在班次模式中可用
/34C147D44C75ED982E4AA782699DFB69,Base,基础
/50610E3A4EAC2C0DC566D093C70B8E42,Beacon State,信标状态
/6EEADD424DC934182A1273B0D71B1FE5,BitmapTextRenderer Viewer,点阵文字渲染查看器
/EE8795AC4191C8D9F7AA1086396CB50E,BitmapTextRenderer Viewer,点阵文字渲染查看器
/C063D6224CB12D2C712301983BF26F1D,BitmapTextRenderers,点阵文字渲染组件
/CE85BF46490792A504D333BC4D0AB8B4,Bloom intensity to use,使用的泛光强度
/B1B2A7CA4FC9C2D7034A5B848188AD40,BloomIntensity adjustment (disabled if < 0),泛光强度 (BloomIntensity) 调整（若 < 0 则禁用）
/6A03E56A4754D3F35F6DA1800AB8FF5F,Boom Camera Maximum Boom Length,摇臂摄像机最大臂长
/40645D4549822DE8762F43B25F7ACB6D,Boom Camera Maximum Clearance,摇臂摄像机最大间隙
/97C5524B4B2929624DF855B4BF414D65,Boom camera Mouse Wheel adjusts length (when true) or zooms FOV (when false),摇臂摄像机鼠标滚轮调整长度（为真时）或缩放视野 (FOV)（为假时）
/209241C24FA4D98FEE699A9E873D8407,Boom camera movement alternate controls (flip ctrl state for up/down),摇臂摄像机移动替代控制（翻转 Ctrl 状态以进行上升/下降）
/646368B04F19860B6D01109BBA46C741,Boom camera movement invert mouse (inverted mouse only between free camera and boom camera modes),摇臂摄像机移动反转鼠标（仅在自由摄像机和摇臂摄像机模式之间反转）
/063871184474175AB387C291E2B949D8,Boom camera movement speed multiplier,摇臂摄像机移动速度倍率
/839E031445AB8DA8AC10E991F78B58CC,By how much longer should the axis to the current point be,到当前点的轴应当加长多少
/A62326D74FA4AFDECFE88FBDCD9A96B3,Call Scripts,调用脚本
/985F4CA24958AC9052F3259C6E088C40,Camera,摄像机
/86C03BFC4D68174F2095E7AF94018944,Cancels queued shader compilation jobs,取消排队中的着色器编译任务
/D0A7F9644569A2C7DF5019AA13F3F3B2,Car time delta multiplier,汽车时间增量倍率
/4923E5A248CF8014AD8B98A91ABA0C87,Car type length multiplier,汽车类型长度倍率
/3B72814A48E14DD0A4B2E89913B422F4,Chance for a passenger to spawn with an accessory,乘客生成时携带配件的几率
/EB914E244E00D7E8D26DC78441EAEC17,Change VHID dragging mode,更改虚拟人机接口设备 (VHID) 拖拽模式
/A0DA7F3A4D957FC02E611C83E1E45C3F,Check whether a car is visible on-screen before updating its static mesh,在更新静态网格体之前检查汽车在屏幕上是否可见
/960842D94EA1861BE7C7E785709676C7,Checking version match...,正在检查版本匹配...
/357C0A134FA46F63DA7D22B1BB81355F,Clear the overridden aspect on a signal,清除信号机上的覆盖显示态
/E715F22546291CD8375A4EBE2A295F1D,Clears the current autosave,清除当前的自动存档
/C5E65A55435AB6097A2A40A37698F8C8,Click again to confirm,再次点击以确认
/3CA42B8E43F8F47499379BA3C7CB7787,"Cloud density value below which cloud size will remain roughly consistent, and clouds will reduce in opacity instead.",云密度值，低于此值时云的大小将保持基本一致，而是不透明度会降低。
/8E111A8E4D0145DF970248AF3B3B6ED4,Cloudiness,云量
/CA47CDA7490827CD142B44B6F9E7D778,Coal Gauge,煤表压/煤量计
/FA6A48FA4794C83D25AC77888096130A,Completes the current objective in a scenario,完成场景中的当前目标
/F3E887774EE2137FCC7889A794CCCA8F,Completes the current scenario,完成当前场景
/1EC0426D4E058DF1BCF243AC5651272C,Console,控制台
/81C110BB4E3EA0FA3DA38B928EB11FC7,Console Commands,控制台命令
/11B674AA40B6FABD9B355FACE31652BF,Constant bias to apply for the target autoexposure exposure value,应用于目标自动曝光 (Autoexposure) 值的常数偏移
/64613C184376998D1E13F6B9C19B2D42,Contrast adjustment (overall) (disabled if < 0),对比度调节（整体）（若小于0则禁用）
/20814CE443E47511698757A3F773C610,Contrast adjustment for highlights (disabled if < 0),高光对比度调节（若小于0则禁用）
/4B903FD548984CFACE9F4C95BA4B545A,Contrast adjustment for midtones (disabled if < 0),中间调对比度调节（若小于0则禁用）
/3C2908A04A827EE960D0D1B8AA00412A,Contrast adjustment for shadows (disabled if < 0),阴影对比度调节（若小于0则禁用）
/500382D649694522D66153B6B83B399F,Controls approximate star intensity (nits),控制近似恒星强度 (nits)
/EAD8D6C94AE304F5C2124B8B3EB4DE16,"Controls how much direct sunlight the lower hemisphere should reflect, independant of its albedo",控制下半球应反射多少直接阳光，与其反照率 (Albedo) 无关
/24D8A88C49A592EB3D8580A1071408B6,Controls how much light pollution is added to the sky (and also reflected in lower hemisphere),控制添加到天空（并反射到下半球）的光污染量
/B9CA643244A7B630586E06BF2095B4BC,"Controls the ""strength"" of volumetric cloud shadows on the ground (smaller values give softer edges), and on clouds themselves on low settings",控制地面以及低设置下云层自身的体积云 (Volumetric Cloud) 阴影“强度”（值越小边缘越柔和）
/E218C6944EB164B6410A3D91C3583C7F,Controls the amount of SkyLight lower hemisphere lighting applied. Requires skylight recapture to take effect (ts2.dbg.UpdateSceneCapture),控制天光 (SkyLight) 下半球照明的应用量。需重新捕获天光方可生效 (ts2.dbg.UpdateSceneCapture)
/F9E092A74E2647A5B8276384989C836A,"Controls the degree to which the current scene intensity caps the maximum emissive intensity, to avoid bloom-out.",控制当前场景强度限制最大自发光强度的程度，以避免曝光过度 (Bloom-out)
/ECAB497C4C3390DFEEB537888C02900B,Controls the draw distance for platform passengers,控制站台乘客的渲染距离
/EE4FB7244724BE3F9647109BFDC9258D,"Controls the extent to which height variation affects character X,Y scale.",控制高度变化对角色 X、Y 轴缩放的影响程度
/A7CA10E74C0B8435933E748D300DB22D,Controls the max. intensity of the moon disc (nits),控制月盘最大强度 (nits)
/B68595D7415B4315B7DCA7A97FE520EA,Controls the maximum moon intensity (lux),控制最大月光强度 (lux)
/663BD9B74EB0D4BAB189BBB32EA441FE,Controls the maximum sun intensity (lux),控制最大阳光强度 (lux)
/3C0CA4654B51185FD538D9A1D31FA85D,"Controls the minimum speed (Weather scenario ""Cloud Speed"") which clouds move at",控制云层移动的最低速度（天气场景中的“云速”）
/29AE66DD4C574932AABC98A7E077701A,Controls the number of passengers that spawn at platforms and on trains,控制站台及列车上生成的乘客数量
/CB9590C34A5A6259F2A95080F31FDD8E,Controls the number of passengers that spawn at platforms and on trains (for routes with new passenger limits),控制站台及列车上生成的乘客数量（适用于使用新乘客上限的线路）
/9673878D45B7163BB5C20E840B57AADA,Controls the resolution of the volumetric cloud shadow map (multiplied by 512),控制体积云阴影贴图的分辨率（乘以 512）
/5299102348295857E62E598AEA14124B,"Controls the scale of volumetric render targets, relative to screen resolution (1 = 100%)",控制体积渲染目标 (Volumetric Render Targets) 相对于屏幕分辨率的缩放 (1 = 100%)
